,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent
39,34,"WALTERS, EDDISON T",AL,7.0,DEM,2010,0.522854019,17.1,REP,1.0,0,0.6580600000000001,1.0,0.41,True,,31047.0,500,,78.9,1739832.56,1703658.3
42,50,"CAUSEY, CHAD",AR,1.0,DEM,2010,0.38612868,13.7,DEM,1.0,0,0.19296,1.0,0.4,True,4.0,33862.0,30,26.98,77.2,1601831.57,1584473.08
44,49,"CRAWFORD, ERIC ALAN RICK",AR,1.0,REP,2010,0.38612868,13.7,DEM,0.0,0,0.19296,1.0,0.4,False,4.0,33862.0,14,71.79,77.2,1263738.21,1172566.21
53,56,"ELLIOTT, JOYCE ANN",AR,2.0,DEM,2010,0.447858288,25.8,DEM,0.765425467,0,0.25533,0.0,0.4,True,0.0,43685.0,500,39.73,77,1019593.5,1019386.27
54,60,"GRIFFIN, JOHN TIMOTHY",AR,2.0,REP,2010,0.447858288,25.8,DEM,0.0,0,0.25533,1.0,0.4,False,0.0,43685.0,6,61.69,77,1855578.1,1774143.0
67,69,"MOORE, MIKE C",AR,3.0,REP,2010,0.34330547,21.3,DEM,0.78525503,0,0.13725,1.0,0.4,False,4.0,40674.0,1,7.71,77.08667,717879.42,641115.26
69,67,"WHITAKER, DAVID JEFFREY",AR,3.0,DEM,2010,0.34330547,21.3,DEM,0.0,0,0.13725,1.0,0.4,True,4.0,40674.0,4,100.00,77.08667,81704.69,77266.01
70,68,"WOMACK, STEVE",AR,3.0,REP,2010,0.34330547,21.3,DEM,0.78525503,0,0.13725,1.0,0.4,False,4.0,40674.0,159,31.18,77.08667,717879.42,641115.26
73,75,"RANKIN, BETH ANNE",AR,4.0,REP,2010,0.404827686,15.0,DEM,0.0,0,0.29564,0.0,0.4,False,,35312.0,110,55.37,79.3,595499.1,588353.94
74,73,"ROSS, MICHAEL AVERY",AR,4.0,DEM,2010,0.404827686,15.0,DEM,0.8617233790000001,1,0.29564,1.0,0.4,True,,35312.0,1,100.00,79.3,2426280.46,3012726.94
86,90,"KIRKPATRICK, ANN",AZ,1.0,DEM,2010,0.44106819799999997,19.2,REP,0.558817305,1,0.29621,0.0,0.43,True,0.0,40854.0,100,100.00,77.15333,1957921.74,1956363.79
93,97,"FRANKS, TRENT",AZ,2.0,REP,2010,0.439814685,21.9,REP,0.5943796720000001,1,0.13960999999999998,1.0,0.43,False,4.0,47963.0,500,80.87,77.5,965568.88,989036.85
96,96,"THRASHER, JOHN ARMIN",AZ,2.0,DEM,2010,0.439814685,21.9,REP,0.371604891,0,0.13960999999999998,1.0,0.43,True,4.0,47963.0,6,100.00,77.5,21020.76,21020.76
104,112,"HULBURD, JON",AZ,3.0,DEM,2010,0.44544142299999995,33.9,REP,0.42069552,0,0.1439,1.0,0.43,True,1.0,52327.0,97,100.00,76.5,1670024.12,1647489.95
109,111,"QUAYLE, BEN",AZ,3.0,REP,2010,0.44544142299999995,33.9,REP,0.54077431,0,0.1439,1.0,0.43,False,1.0,52327.0,44,22.05,76.5,2653070.2,2645463.16
114,118,"CONTRERAS, JANET L",AZ,4.0,REP,2010,0.44544142299999995,13.6,REP,0.21245388899999998,0,0.31865,0.0,0.43,False,0.0,31498.0,125,60.10,77.19474,80895.64,80858.12
115,116,"DEWITT, REBECCA",AZ,4.0,GRE,2010,0.44544142299999995,13.6,REP,0.035876458,0,0.31865,0.0,0.43,False,0.0,31498.0,13,100.00,77.19474,,
117,117,"PASTOR, ED L",AZ,4.0,DEM,2010,0.44544142299999995,13.6,REP,0.7210734000000001,1,0.31865,1.0,0.43,True,0.0,31498.0,40,100.00,77.19474,1014290.67,1092555.25
123,130,"MITCHELL, HARRY E.",AZ,5.0,DEM,2010,0.44544142299999995,43.6,REP,0.531567778,1,0.16605,1.0,0.43,True,0.0,55876.0,200,100.00,77.49048,2174509.0,2308400.3
125,125,"SCHWEIKERT, DAVID",AZ,5.0,REP,2010,0.44544142299999995,43.6,REP,0.435735559,0,0.16605,1.0,0.43,False,0.0,55876.0,4,37.23,77.49048,1732731.48,1721363.62
131,134,"FLAKE, JEFF MR.",AZ,6.0,REP,2010,0.443988399,28.5,REP,0.6241681029999999,1,0.18269000000000002,1.0,0.43,False,1.0,56691.0,192,64.60,78.7,538758.2,774230.95
134,133,"SCHNEIDER, REBECCA",AZ,6.0,DEM,2010,0.443988399,28.5,REP,0.345497582,0,0.18269000000000002,0.0,0.43,True,1.0,56691.0,13,100.00,78.7,0.0,0.0
138,146,"GRIJALVA, RAUL M",AZ,7.0,DEM,2010,0.46312219600000004,15.3,REP,0.632625745,1,0.26589,1.0,0.43,True,0.0,39777.0,500,100.00,76.1,1470861.03,1463648.18
141,139,"MCCLUNG, RUTH CRAWFORD",AZ,7.0,REP,2010,0.46312219600000004,15.3,REP,0.32788095,0,0.26589,1.0,0.43,False,0.0,39777.0,196,50.95,76.1,732607.51,684747.7
147,151,"GIFFORDS, GABRIELLE",AZ,8.0,DEM,2010,0.502409117,34.1,REP,0.54720562,1,0.14227,0.0,0.43,True,,49825.0,500,100.00,77.7,3504409.93,3888405.81
149,154,"KELLY, JESSE",AZ,8.0,REP,2010,0.502409117,34.1,REP,0.42816801,0,0.14227,1.0,0.43,False,,49825.0,66,48.31,77.7,1692503.57,1653552.57
154,156,"FRANCK, RANDY",CA,1.0,REP,2010,0.704198421,28.4,REP,0.233595665,0,0.22115,1.0,0.56,False,1.0,48003.0,77,39.54,78.88947,114869.11,109276.65
155,158,"HANKS, LOREN L",CA,1.0,REP,2010,0.704198421,28.4,REP,0.233595665,0,0.22115,1.0,0.56,False,1.0,48003.0,500,60.46,78.88947,114869.11,109276.65
156,157,"RODRIGUES, MIKE",CA,1.0,LIB,2010,0.704198421,28.4,REP,0.0,0,0.22115,1.0,0.56,False,1.0,48003.0,1,100.00,78.88947,,
157,159,"THOMPSON, MIKE MR.",CA,1.0,DEM,2010,0.704198421,28.4,REP,0.681001955,1,0.22115,1.0,0.56,True,1.0,48003.0,1,100.00,78.88947,1912475.17,1901459.62
159,163,"HERGER, WALLY",CA,2.0,REP,2010,0.491594728,20.4,REP,0.5789499779999999,1,0.18667,1.0,0.56,False,0.0,42249.0,500,65.26,78.17143,1010414.59,863128.49
160,160,"JENSEN, MARK A.",CA,2.0,W,2010,0.491594728,20.4,REP,0.0,0,0.18667,1.0,0.56,False,0.0,42249.0,18,,78.17143,,
161,161,"REED, JAMES E",CA,2.0,DEM,2010,0.491594728,20.4,REP,0.421050022,0,0.18667,1.0,0.56,True,0.0,42249.0,5,100.00,78.17143,137553.75,135634.67
163,171,"BERA, AMERISH",CA,3.0,DEM,2010,0.595003484,29.0,REP,0.439333728,0,0.30801999999999996,1.0,0.56,True,0.0,61853.0,500,100.00,77.4,2942764.14,2935828.38
164,166,"DAVIS, GARY",CA,3.0,DEM,2010,0.595003484,29.0,REP,0.439333728,0,0.30801999999999996,1.0,0.56,True,0.0,61853.0,47,8.50,77.4,2942764.14,2935828.38
165,164,"DURSTON, BILL",CA,3.0,DEM,2010,0.595003484,29.0,REP,0.439333728,0,0.30801999999999996,1.0,0.56,True,0.0,61853.0,9,,77.4,2942764.14,2935828.38
167,167,"LEIDECKER, JERRY L",CA,3.0,AIP,2010,0.595003484,29.0,REP,0.0,0,0.30801999999999996,1.0,0.56,False,0.0,61853.0,63,100.00,77.4,,
168,169,"LUNGREN, DANIEL E.",CA,3.0,REP,2010,0.595003484,29.0,REP,0.494908389,1,0.30801999999999996,1.0,0.56,False,0.0,61853.0,12,100.00,77.4,2025541.46,1974501.49
169,168,"ROSKEY, MICHAEL",CA,3.0,PAF,2010,0.595003484,29.0,REP,0.0,0,0.30801999999999996,1.0,0.56,False,0.0,61853.0,1,100.00,77.4,,
171,173,"BABICH, MICHAEL",CA,4.0,REP,2010,0.534013145,29.6,REP,0.50243388,0,0.14928,1.0,0.56,False,4.0,60629.0,1,21.52,78.3,1871673.55,1703386.7
172,172,"BROWN, CHARLES",CA,4.0,DEM,2010,0.534013145,29.6,REP,0.49756612,0,0.14928,1.0,0.56,True,4.0,60629.0,23,100.00,78.3,32176.0,24671.68
173,175,"CURTIS, CLINT",CA,4.0,DEM,2010,0.534013145,29.6,REP,0.49756612,0,0.14928,1.0,0.56,True,4.0,60629.0,500,100.00,78.3,32176.0,24671.68
175,176,"MCCLINTOCK, THOMAS",CA,4.0,REP,2010,0.534013145,29.6,REP,0.50243388,1,0.14928,1.0,0.56,False,4.0,60629.0,20,78.48,78.3,1871673.55,1703386.7
178,179,"MATSUI, DORIS",CA,5.0,DEM,2010,0.595243796,25.4,REP,0.7426556040000001,1,0.46878000000000003,0.0,0.56,True,4.0,43953.0,500,100.00,77.1,835400.43,842505.42
179,180,"SMITH, PAUL",CA,5.0,REP,2010,0.595243796,25.4,REP,0.20800795800000002,0,0.46878000000000003,1.0,0.56,False,4.0,43953.0,27,56.68,77.1,19141.29,19534.3
181,186,"HALLIWELL, MIKE",CA,6.0,DEM,2010,0.768707659,40.5,REP,0.716913991,0,0.17882,1.0,0.56,True,0.0,64391.0,1,0.01,77.2,846466.17,898626.51
182,188,"JUDD, JAMES O JR.",CA,6.0,REP,2010,0.768707659,40.5,REP,0.240580968,0,0.17882,1.0,0.56,False,0.0,64391.0,5,67.89,77.2,151842.86,151842.86
187,187,"WOOLSEY, LYNN C.",CA,6.0,DEM,2010,0.768707659,40.5,REP,0.716913991,1,0.17882,0.0,0.56,True,0.0,64391.0,164,99.99,77.2,846466.17,898626.51
188,190,"FITZGERALD, JOHN",CA,7.0,DEM,2010,0.681004684,25.5,REP,0.7282012840000001,0,0.44073999999999997,1.0,0.56,True,4.0,61315.0,6,14.96,77.5,972502.15,1008838.16
190,192,"MILLER, GEORGE",CA,7.0,DEM,2010,0.681004684,25.5,REP,0.7282012840000001,1,0.44073999999999997,1.0,0.56,True,4.0,61315.0,53,85.04,77.5,972502.15,1008838.16
195,200,"DENNIS, JOHN",CA,8.0,REP,2010,0.861222145,50.1,REP,0.09680732800000001,0,0.48147,1.0,0.56,False,4.0,69926.0,6,54.88,76.6,2438013.43,2311477.24
197,199,"PELOSI, NANCY",CA,8.0,DEM,2010,0.861222145,50.1,REP,0.7186613709999999,1,0.48147,0.0,0.56,True,4.0,69926.0,78,100.00,76.6,2597318.64,2762400.22
200,203,"ALLEN, LARRY",CA,9.0,PAF,2010,0.800612436,42.6,REP,0.0,0,0.52491,1.0,0.56,False,4.0,53286.0,58,100.00,76.95333,,
202,201,"HASIMOTO, GERALD",CA,9.0,REP,2010,0.800612436,42.6,REP,0.096963256,0,0.52491,1.0,0.56,False,4.0,53286.0,104,,76.95333,0.0,0.0
203,202,"HELLER, DAVE",CA,9.0,GRE,2010,0.800612436,42.6,REP,0.0,0,0.52491,1.0,0.56,False,4.0,53286.0,4,100.00,76.95333,,
204,205,"LEE, BARBARA",CA,9.0,DEM,2010,0.800612436,42.6,REP,0.860644813,1,0.52491,0.0,0.56,True,4.0,53286.0,76,100.00,76.95333,1156048.78,1156304.13
206,211,"BUCHANAN, JOAN",CA,10.0,DEM,2010,0.695085222,39.4,REP,0.651249301,0,0.3534,0.0,0.56,True,4.0,75457.0,500,,76.9,1764504.06,1714971.13
209,220,"CLIFT, GARY WILLIAM",CA,10.0,REP,2010,0.695085222,39.4,REP,0.311273356,0,0.3534,1.0,0.56,False,4.0,75457.0,47,54.60,76.9,36670.0,36669.0
213,206,"GARAMENDI, JOHN",CA,10.0,DEM,2010,0.695085222,39.4,REP,0.651249301,1,0.3534,1.0,0.56,True,4.0,75457.0,6,100.00,76.9,1764504.06,1714971.13
214,214,"HAMPTON, ADRIEL",CA,10.0,DEM,2010,0.695085222,39.4,REP,0.651249301,0,0.3534,1.0,0.56,True,4.0,75457.0,500,,76.9,1764504.06,1714971.13
216,212,"MCILROY, MARY",CA,10.0,PAF,2010,0.695085222,39.4,REP,0.0,0,0.3534,0.0,0.56,False,4.0,75457.0,15,,76.9,,
217,209,"PETERSON, DAVID",CA,10.0,REP,2010,0.695085222,39.4,REP,0.311273356,0,0.3534,1.0,0.56,False,4.0,75457.0,4,,76.9,36670.0,36669.0
222,222,"BEADLES, ROBERT",CA,11.0,REP,2010,0.715546516,32.2,REP,0.44723402,0,0.32001,1.0,0.56,False,0.0,72075.0,7,,76.3,2931475.07,2858560.6
223,226,"CHRISTENSEN, DAVID",CA,11.0,AIP,2010,0.715546516,32.2,REP,0.0,0,0.32001,1.0,0.56,False,0.0,72075.0,4,100.00,76.3,,
226,227,"GOEHRING, BRAD",CA,11.0,REP,2010,0.715546516,32.2,REP,0.44723402,0,0.32001,1.0,0.56,False,0.0,72075.0,123,27.08,76.3,2931475.07,2858560.6
227,223,"HARMER, DAVID",CA,11.0,REP,2010,0.715546516,32.2,REP,0.44723402,0,0.32001,1.0,0.56,False,0.0,72075.0,4,36.44,76.3,2931475.07,2858560.6
228,228,"MCNERNEY, JERRY",CA,11.0,DEM,2010,0.715546516,32.2,REP,0.55272566,1,0.32001,1.0,0.56,True,0.0,72075.0,63,100.00,76.3,3208078.03,3097236.5
232,235,"MOLONEY, MICHAEL J.",CA,12.0,REP,2010,0.812385074,46.3,REP,0.18458851899999998,0,0.47336999999999996,1.0,0.56,False,4.0,82337.0,1,97.26,76.95789,0.0,0.0
234,236,"SPEIER, JACKIE",CA,12.0,DEM,2010,0.812385074,46.3,REP,0.751132646,1,0.47336999999999996,0.0,0.56,True,4.0,82337.0,500,100.00,76.95789,1060952.74,772791.25
235,233,"WILLIAMS, MARK PAUL",CA,12.0,LIB,2010,0.812385074,46.3,REP,0.020925378,0,0.47336999999999996,1.0,0.56,False,4.0,82337.0,18,100.00,76.95789,,
236,237,"BAKER, FOREST",CA,13.0,REP,2010,0.800612436,36.9,REP,0.235697007,0,0.63546,1.0,0.56,False,4.0,73539.0,500,54.53,77.34762,0.0,0.0
240,239,"STARK, FORTNEY P.",CA,13.0,DEM,2010,0.800612436,36.9,REP,0.7643029929999999,1,0.63546,1.0,0.56,True,4.0,73539.0,500,84.35,77.34762,487385.12,371118.55
241,242,"CHAPMAN, DAVE",CA,14.0,REP,2010,0.728845445,57.0,REP,0.22220511399999998,0,0.34503,1.0,0.56,False,0.0,94740.0,4,52.98,78,0.0,0.0
242,245,"ESHOO, ANNA",CA,14.0,DEM,2010,0.728845445,57.0,REP,0.697671264,1,0.34503,0.0,0.56,True,0.0,94740.0,87,100.00,78,1464392.73,1395749.44
248,251,"HONDA, MIKE",CA,15.0,DEM,2010,0.7088871720000001,46.6,REP,0.716617279,1,0.52886,1.0,0.56,True,0.0,85700.0,1,100.00,77.8,773920.65,850364.24
249,249,"KIRKLAND, SCOTT SPENCER",CA,15.0,REP,2010,0.7088871720000001,46.6,REP,0.23257149300000002,0,0.52886,1.0,0.56,False,0.0,85700.0,17,38.78,77.8,66867.0,66867.0
253,253,"LOFGREN, ZOE",CA,16.0,DEM,2010,0.7088871720000001,32.1,REP,0.713403498,1,0.52509,0.0,0.56,True,0.0,73973.0,500,100.00,76.6,782099.68,790373.93
254,254,"SAHAGUN, DANIEL",CA,16.0,REP,2010,0.7088871720000001,32.1,REP,0.0,0,0.52509,1.0,0.56,False,0.0,73973.0,12,91.15,76.6,,
259,264,"FARR, SAM",CA,17.0,DEM,2010,0.741661681,26.3,REP,0.738791738,1,0.22150999999999998,1.0,0.56,True,4.0,55026.0,64,88.79,76.9,704176.78,718568.64
262,262,"LE BARRE, MICHAEL ROBERT",CA,17.0,REP,2010,0.741661681,26.3,REP,0.258225224,0,0.22150999999999998,1.0,0.56,False,4.0,55026.0,500,0.04,76.9,183520.35,176754.18
264,256,"TAYLOR, JEFFREY E",CA,17.0,REP,2010,0.741661681,26.3,REP,0.258225224,0,0.22150999999999998,1.0,0.56,False,4.0,55026.0,15,61.09,76.9,183520.35,176754.18
265,267,"BERRYHILL, MICHAEL CLARE SR",CA,18.0,REP,2010,0.5139456379999999,10.7,REP,0.0,0,0.32626,0.0,0.56,False,4.0,39297.0,1,100.00,77.5,340355.02,339661.61
266,266,"CARDOZA, DENNIS",CA,18.0,DEM,2010,0.5139456379999999,10.7,REP,1.0,1,0.32626,1.0,0.56,True,4.0,39297.0,59,100.00,77.5,1180308.37,1420229.82
267,268,"DENHAM, JEFF",CA,19.0,REP,2010,0.48936243100000004,21.6,REP,0.984316396,0,0.20874,1.0,0.56,False,4.0,51553.0,192,100.00,78,1106669.57,1060088.28
269,274,"GOODWIN, LORAINE",CA,19.0,DEM,2010,0.48936243100000004,21.6,REP,0.0,0,0.20874,0.0,0.56,True,4.0,51553.0,500,52.56,78,44517.0,46862.0
274,276,"COSTA, JIM MR.",CA,20.0,DEM,2010,0.451172356,7.4,REP,0.7433455059999999,1,0.3971,1.0,0.56,True,4.0,33089.0,5,79.28,77.62667,1795156.04,2076986.04
279,280,"VIDAK, JAMES ANDREW",CA,20.0,REP,2010,0.451172356,7.4,REP,0.256654494,0,0.3971,1.0,0.56,False,4.0,33089.0,5,70.30,77.62667,897504.22,891825.76
281,282,"NUNES, DEVIN G",CA,21.0,REP,2010,0.47736899899999996,17.6,REP,0.683926316,1,0.29441,1.0,0.56,False,4.0,48113.0,500,100.00,76.9,1223375.95,994286.53
282,284,"MCCARTHY, KEVIN",CA,22.0,REP,2010,0.6761523359999999,20.4,REP,1.0,1,0.25769000000000003,1.0,0.56,False,4.0,53626.0,13,100.00,76.3,2091010.31,1693570.59
283,283,"UEBERSAX, JOHN",CA,22.0,W,2010,0.6761523359999999,20.4,REP,0.0,0,0.25769000000000003,1.0,0.56,False,4.0,53626.0,6,,76.3,,
284,291,"CAPPS, LOIS G",CA,23.0,DEM,2010,0.568007585,27.8,REP,0.680743324,1,0.22335,0.0,0.56,True,4.0,54049.0,500,100.00,75.92632,955564.7,991078.62
285,287,"DAVIDSON, JOHN",CA,23.0,REP,2010,0.568007585,27.8,REP,0.319256676,0,0.22335,1.0,0.56,False,4.0,54049.0,6,22.52,75.92632,611864.23,607298.83
287,285,"MILLER, CAROLE LEE",CA,23.0,REP,2010,0.568007585,27.8,REP,0.319256676,0,0.22335,0.0,0.56,False,4.0,54049.0,500,85.04,75.92632,611864.23,607298.83
288,286,"STAFFORD, DARRELL M",CA,23.0,LIB,2010,0.568007585,27.8,REP,0.0,0,0.22335,1.0,0.56,False,4.0,54049.0,137,100.00,75.92632,,
291,292,"WATSON, THOMAS C",CA,23.0,REP,2010,0.568007585,27.8,REP,0.319256676,0,0.22335,1.0,0.56,False,4.0,54049.0,20,36.08,75.92632,611864.23,607298.83
293,298,"ALLISON, TIMOTHY JAMES",CA,24.0,DEM,2010,0.5817609020000001,34.3,REP,0.4184608,0,0.24251999999999999,1.0,0.56,True,4.0,74103.0,21,47.39,75.37143,183711.03,180025.88
294,294,"GALLEGLY, ELTON",CA,24.0,REP,2010,0.5817609020000001,34.3,REP,0.5815392,1,0.24251999999999999,1.0,0.56,False,4.0,74103.0,500,100.00,75.37143,783256.55,811193.84
298,295,"PANEC, MARIE",CA,24.0,DEM,2010,0.5817609020000001,34.3,REP,0.4184608,0,0.24251999999999999,0.0,0.56,True,4.0,74103.0,158,29.93,75.37143,183711.03,180025.88
299,299,"STERN, SHAWN",CA,24.0,DEM,2010,0.5817609020000001,34.3,REP,0.4184608,0,0.24251999999999999,1.0,0.56,True,4.0,74103.0,34,22.68,75.37143,183711.03,180025.88
300,301,"CONAWAY, JACQUESE LYNN",CA,25.0,DEM,2010,0.675909567,21.2,REP,0.422720072,0,0.36696999999999996,0.0,0.56,True,4.0,57862.0,500,100.00,74.9,3890.0,4171.99
301,302,"MCKEON, HOWARD P 'BUCK'",CA,25.0,REP,2010,0.675909567,21.2,REP,0.5772799279999999,1,0.36696999999999996,1.0,0.56,False,4.0,57862.0,188,100.00,74.9,1254589.69,1334109.46
302,308,"BROWN, ROBERT",CA,26.0,NNE,2010,0.676560512,36.7,REP,0.0,0,0.39337,1.0,0.56,False,4.0,75086.0,7,100.00,75.2,,
303,304,"BUTLER, MARK",CA,26.0,REP,2010,0.676560512,36.7,REP,0.526391645,0,0.39337,1.0,0.56,False,4.0,75086.0,18,27.67,75.2,1243191.47,1391075.52
304,306,"DREIER, DAVID",CA,26.0,REP,2010,0.676560512,36.7,REP,0.526391645,1,0.39337,1.0,0.56,False,4.0,75086.0,4,72.33,75.2,1243191.47,1391075.52
306,307,"WARNER, RUSS",CA,26.0,DEM,2010,0.676560512,36.7,REP,0.40444352899999997,0,0.39337,1.0,0.56,True,4.0,75086.0,500,100.00,75.2,305157.48,207192.1
309,312,"REED, MARK STEVEN SR",CA,27.0,REP,2010,0.701108324,29.6,REP,0.24832381899999997,0,0.37793000000000004,1.0,0.56,False,4.0,56836.0,18,100.00,74.6,112836.83,107133.9
310,310,"SHERMAN, BRAD",CA,27.0,DEM,2010,0.701108324,29.6,REP,0.6850940870000001,1,0.37793000000000004,1.0,0.56,True,4.0,56836.0,123,100.00,74.6,1743592.33,818272.53
312,314,"BERMAN, HOWARD L.",CA,28.0,DEM,2010,0.701108324,27.5,REP,0.99891005,1,0.39713000000000004,1.0,0.56,True,4.0,50607.0,188,83.37,74.6,1914073.09,1124914.9
313,316,"FROYD, ERIK MERLIN",CA,28.0,REP,2010,0.701108324,27.5,REP,0.0,0,0.39713000000000004,1.0,0.56,False,4.0,50607.0,87,100.00,74.6,39635.54,39508.86
316,313,"WORMAN, JENNY",CA,28.0,REP,2010,0.701108324,27.5,REP,0.0,0,0.39713000000000004,0.0,0.56,False,4.0,50607.0,132,,74.6,39635.54,39508.86
317,320,"COLBERT, JOHN",CA,29.0,REP,2010,0.701108324,38.5,REP,0.267398559,0,0.4284,1.0,0.56,False,4.0,57700.0,6,100.00,73.4,675595.25,671227.53
321,321,"SCHIFF, ADAM",CA,29.0,DEM,2010,0.701108324,38.5,REP,0.689145109,1,0.4284,1.0,0.56,True,4.0,57700.0,36,100.00,73.4,1378951.49,1222795.04
322,328,"BENNING, DAVID",CA,30.0,REP,2010,0.701108324,59.7,REP,0.0,0,0.21402,1.0,0.56,False,4.0,75700.0,4,32.45,71.1,361908.52,360852.28
327,323,"MILLER, ERICH D",CA,30.0,LIB,2010,0.701108324,59.7,REP,0.0,0,0.21402,1.0,0.56,False,4.0,75700.0,500,85.04,71.1,,
328,330,"WAXMAN, HENRY A.",CA,30.0,DEM,2010,0.701108324,59.7,REP,1.0,1,0.21402,1.0,0.56,True,4.0,75700.0,120,100.00,71.1,1538103.27,1440465.32
329,329,"WILKERSON, CHARLES EDWARD",CA,30.0,REP,2010,0.701108324,59.7,REP,0.0,0,0.21402,1.0,0.56,False,4.0,75700.0,23,32.57,71.1,361908.52,360852.28
330,332,"BECERRA, XAVIER",CA,31.0,DEM,2010,0.701108324,20.0,REP,1.0,1,0.6171800000000001,1.0,0.56,True,0.0,35194.0,500,88.03,72.41333,1716196.21,1699464.63
332,331,"SMITH, STEPHEN CARLTON",CA,31.0,REP,2010,0.701108324,20.0,REP,0.0,0,0.6171800000000001,1.0,0.56,False,0.0,35194.0,33,56.68,72.41333,14761.0,13851.72
336,338,"BLAKE, M. WAYNE",CA,32.0,REP,2010,0.701108324,17.0,REP,0.0,0,0.59262,1.0,0.56,False,4.0,49529.0,500,,75.8,0.0,0.0
338,352,"CHU, BETTY",CA,32.0,REP,2010,0.701108324,17.0,REP,0.0,1,0.59262,0.0,0.56,False,4.0,49529.0,500,100.00,75.8,0.0,0.0
339,355,"CHU, JUDY",CA,32.0,DEM,2010,0.701108324,17.0,REP,0.999938532,1,0.59262,0.0,0.56,True,4.0,49529.0,500,100.00,75.8,2502170.51,1860356.68
346,343,"NADAL, RAFAEL F.",CA,32.0,DEM,2010,0.701108324,17.0,REP,0.999938532,0,0.59262,1.0,0.56,True,4.0,49529.0,500,,75.8,2502170.51,1860356.68
352,337,"SCHMERLING, EDWARD",CA,32.0,REP,2010,0.701108324,17.0,REP,0.0,0,0.59262,1.0,0.56,False,4.0,49529.0,40,100.00,75.8,0.0,0.0
