"","Cand_Name","Cand_Office_St","Cand_Office_Dist","Cand_Party_Affiliation","Year","recent_presidential_vote","percent_bachelor_or_above","gov_party","Party_Previous_Vote_Share","Incumbent","minority_percentage","Gender","Presidential_Approval_Rating","Same_Party_As_President","seat_transition","Median_Income","name_commonness","Primary.Vote.Percent","labor_force","Raised","Spent"
"10","JOHN, ROBERT E JR","AL",2,"IND",2010,0.407023755,19.3,"REP",0,0,0.35261,"1",0.41,FALSE,0,40567,7,"","80",NA,NA
"11","MCKINNEY, JOHN","AL",2,"REP",2010,0.407023755,19.3,"REP",0.496880946,0,0.35261,"1",0.41,FALSE,0,40567,6,"4.48","80",1253557.11,1240275.64
"12","ROBY, MARTHA","AL",2,"REP",2010,0.407023755,19.3,"REP",0.496880946,0,0.35261,"0",0.41,FALSE,0,40567,161,"48.55","80",1253557.11,1240275.64
"15","LAYFIELD, MARK","AL",3,"IND",2010,0.456924713,19.5,"REP",0,0,0.35445,"1",0.41,FALSE,4,35452,18,"","79.34211",NA,NA
"17","ROGERS, MICHAEL","AL",3,"REP",2010,0.456924713,19.5,"REP",0.540995041,1,0.35445,"1",0.41,FALSE,4,35452,1,"100.00","79.34211",1141732.43,943059.56
"16","SEGALL, JOSHUA STEVEN","AL",3,"DEM",2010,0.456924713,19.5,"REP",0.459004959,0,0.35445,"1",0.41,TRUE,4,35452,24,"","79.34211",8750,8750
"14","SEGREST, STEPHEN GRAHAM","AL",3,"DEM",2010,0.456924713,19.5,"REP",0.459004959,0,0.35445,"1",0.41,TRUE,4,35452,33,"100.00","79.34211",8750,8750
"18","ADERHOLT, ROBERT BROWN","AL",4,"REP",2010,0.239855583,13.1,"REP",0.748582669,1,0.08851,"1",0.41,FALSE,0,36715,7,"100.00","78.78095",828588.47,969814.03
"24","BROOKS, MO","AL",5,"REP",2010,0.369056549,26.7,"REP",0.481988496,0,0.23288,"1",0.41,FALSE,4,45856,500,"50.81","77.9",861210.63,810790.4
"25","GRIFFITH, PARKER REP.","AL",5,"REP",2010,0.369056549,26.7,"REP",0.481988496,0,0.23288,"1",0.41,FALSE,4,45856,500,"33.44","77.9",861210.63,810790.4
"23","HOWIE, MITCHELL JOHN","AL",5,"DEM",2010,0.369056549,26.7,"REP",0.518011504,0,0.23288,"1",0.41,TRUE,4,45856,189,"11.70","77.9",929084.38,777837.46
"21","MAKER, DAVID JOEL","AL",5,"DEM",2010,0.369056549,26.7,"REP",0.518011504,0,0.23288,"1",0.41,TRUE,4,45856,4,"3.88","77.9",929084.38,777837.46
"22","PHILLIP, LESTER S","AL",5,"REP",2010,0.369056549,26.7,"REP",0.481988496,0,0.23288,"1",0.41,FALSE,4,45856,500,"15.76","77.9",861210.63,810790.4
"20","RABY, STEPHEN WALKER","AL",5,"DEM",2010,0.369056549,26.7,"REP",0.518011504,0,0.23288,"1",0.41,TRUE,4,45856,33,"61.67","77.9",929084.38,777837.46
"19","SHEPARD, TAZEWELL","AL",5,"DEM",2010,0.369056549,26.7,"REP",0.518011504,0,0.23288,"1",0.41,TRUE,4,45856,500,"22.75","77.9",929084.38,777837.46
"27","BACHUS, SPENCER T.","AL",6,"REP",2010,0.425701714,33.6,"REP",1,1,0.1706,"1",0.41,FALSE,4,55559,500,"75.64","78.9",1415671.8,1634114.19
"28","COOKE, STANLEY KYLE","AL",6,"REP",2010,0.425701714,33.6,"REP",1,0,0.1706,"1",0.41,FALSE,4,55559,186,"24.36","78.9",1415671.8,1634114.19
"26","LAMBERT, PAUL ANTHONY","AL",6,"REP",2010,0.425701714,33.6,"REP",1,0,0.1706,"1",0.41,FALSE,4,55559,27,"","78.9",1415671.8,1634114.19
"31","BOZEMAN, MARTHA RENEE","AL",7,"UNK",2010,0.522854019,17.1,"REP",0,0,0.65806,"0",0.41,FALSE,NA,31047,161,"7.79","78.9",NA,NA
"30","CHAMBERLAIN, DONALD NORWOOD","AL",7,"REP",2010,0.522854019,17.1,"REP",0,0,0.65806,"1",0.41,FALSE,NA,31047,42,"37.58","78.9",43555,42691
"40","HENDRICKSON, CAROL FLORRIE","AL",7,"REP",2010,0.522854019,17.1,"REP",0,0,0.65806,"0",0.41,FALSE,NA,31047,130,"15.91","78.9",43555,42691
"39","HILLIARD, EARL FREDERICK JR","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"1",0.41,TRUE,NA,31047,500,"26.82","78.9",1739832.56,1703658.3
"38","LANKSTER, FRANK","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"1",0.41,TRUE,NA,31047,65,"","78.9",1739832.56,1703658.3
"29","MOKOLO, PATRICIA EVANS","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"1",0.41,TRUE,NA,31047,30,"","78.9",1739832.56,1703658.3
"35","PERKINS, JAMES JR","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"1",0.41,TRUE,NA,31047,5,"","78.9",1739832.56,1703658.3
"37","SALTER, CHRIS","AL",7,"REP",2010,0.522854019,17.1,"REP",0,0,0.65806,"1",0.41,FALSE,NA,31047,109,"29.42","78.9",43555,42691
"33","SEWELL, TERRI A.","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"0",0.41,TRUE,NA,31047,148,"36.80","78.9",1739832.56,1703658.3
"36","SMOOT, SHEILA","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"0",0.41,TRUE,NA,31047,119,"28.59","78.9",1739832.56,1703658.3
"32","WALLER, MICHELE","AL",7,"REP",2010,0.522854019,17.1,"REP",0,0,0.65806,"0",0.41,FALSE,NA,31047,51,"17.09","78.9",43555,42691
"34","WALTERS, EDDISON T","AL",7,"DEM",2010,0.522854019,17.1,"REP",1,0,0.65806,"1",0.41,TRUE,NA,31047,500,"","78.9",1739832.56,1703658.3
"41","ADLER, KEN","AR",1,"GRE",2010,0.38612868,13.7,"DEM",0,0,0.19296,"1",0.4,FALSE,4,33862,31,"","77.2",NA,NA
"47","BRYLES, STEVE MARK","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,159,"10.07","77.2",1601831.57,1584473.08
"50","CAUSEY, CHAD","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,30,"26.98","77.2",1601831.57,1584473.08
"46","COOK, DAVID RAY","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,4,"14.77","77.2",1601831.57,1584473.08
"49","CRAWFORD, ERIC ALAN RICK","AR",1,"REP",2010,0.38612868,13.7,"DEM",0,0,0.19296,"1",0.4,FALSE,4,33862,14,"71.79","77.2",1263738.21,1172566.21
"44","GREEN, TERRY GLENN","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,69,"5.32","77.2",1601831.57,1584473.08
"42","GREGORY, JAMES CHRISTOPHER","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,5,"","77.2",1601831.57,1584473.08
"45","HIGGINS, MICKEY VERNON","AR",1,"UNK",2010,0.38612868,13.7,"DEM",0,0,0.19296,"1",0.4,FALSE,4,33862,500,"","77.2",NA,NA
"48","PONDER, BEN","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"1",0.4,TRUE,4,33862,44,"4.46","77.2",1601831.57,1584473.08
"43","SMITH, PRINCELLA D","AR",1,"REP",2010,0.38612868,13.7,"DEM",0,0,0.19296,"0",0.4,FALSE,4,33862,500,"28.21","77.2",1263738.21,1172566.21
"51","WOOLRIDGE, TYMOTHE (TIM) LYNN","AR",1,"DEM",2010,0.38612868,13.7,"DEM",1,0,0.19296,"0",0.4,TRUE,4,33862,500,"","77.2",1601831.57,1584473.08
"58","ADAMS, JOHN","AR",2,"DEM",2010,0.447858288,25.8,"DEM",0.765425467,0,0.25533,"1",0.4,TRUE,0,43685,6,"6.56","77",1019593.5,1019386.27
"62","BOLING, DAVID ALAN","AR",2,"DEM",2010,0.447858288,25.8,"DEM",0.765425467,0,0.25533,"1",0.4,TRUE,0,43685,4,"19.33","77",1019593.5,1019386.27
"56","ELLIOTT, JOYCE ANN","AR",2,"DEM",2010,0.447858288,25.8,"DEM",0.765425467,0,0.25533,"0",0.4,TRUE,0,43685,500,"39.73","77",1019593.5,1019386.27
"60","GRIFFIN, JOHN TIMOTHY","AR",2,"REP",2010,0.447858288,25.8,"DEM",0,0,0.25533,"1",0.4,FALSE,0,43685,6,"61.69","77",1855578.1,1774143
"53","KENNEDY, LEWIS","AR",2,"GRE",2010,0.447858288,25.8,"DEM",0.232176979,0,0.25533,"1",0.4,FALSE,0,43685,500,"6.57","77",NA,NA
"59","KENNEDY, PATRICK","AR",2,"DEM",2010,0.447858288,25.8,"DEM",0.765425467,0,0.25533,"1",0.4,TRUE,0,43685,37,"6.57","77",1019593.5,1019386.27
"54","LEVI, LANCE","AR",2,"IND",2010,0.447858288,25.8,"DEM",0,0,0.25533,"1",0.4,FALSE,0,43685,129,"","77",NA,NA
"52","MEEKS, DAVID MARK EMERSON","AR",2,"REP",2010,0.447858288,25.8,"DEM",0,0,0.25533,"1",0.4,FALSE,0,43685,4,"","77",1855578.1,1774143
"55","SUITS, DANIAL","AR",2,"UNK",2010,0.447858288,25.8,"DEM",0,0,0.25533,"1",0.4,FALSE,0,43685,500,"","77",NA,NA
"57","WALLACE, SCOTT","AR",2,"REP",2010,0.447858288,25.8,"DEM",0,0,0.25533,"1",0.4,FALSE,0,43685,17,"38.31","77",1855578.1,1774143
"61","WILLS, ROBERT DALE JR","AR",2,"DEM",2010,0.447858288,25.8,"DEM",0.765425467,0,0.25533,"1",0.4,TRUE,0,43685,7,"27.82","77",1019593.5,1019386.27
"66","BLEDSOE, CECILE H","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"0",0.4,FALSE,4,40674,500,"13.25","77.08667",717879.42,641115.26
"71","DELAY, ROBERT GUNNER","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,7,"12.99","77.08667",717879.42,641115.26
"70","LOWRY, STEVE MR.","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,159,"4.00","77.08667",717879.42,641115.26
"65","MADDOX, KURT E","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,180,"9.70","77.08667",717879.42,641115.26
"63","MATAYO, DOUG","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,50,"9.78","77.08667",717879.42,641115.26
"69","MOORE, MIKE C","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,1,"7.71","77.08667",717879.42,641115.26
"64","SKOCH, BERNARD KURT 'BERNIE'","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,500,"11.39","77.08667",717879.42,641115.26
"67","WHITAKER, DAVID JEFFREY","AR",3,"DEM",2010,0.34330547,21.3,"DEM",0,0,0.13725,"1",0.4,TRUE,4,40674,4,"100.00","77.08667",81704.69,77266.01
"68","WOMACK, STEVE","AR",3,"REP",2010,0.34330547,21.3,"DEM",0.78525503,0,0.13725,"1",0.4,FALSE,4,40674,159,"31.18","77.08667",717879.42,641115.26
"72","DRAKE, JOSHUA","AR",4,"GRE",2010,0.404827686,15,"DEM",0.138276621,0,0.29564,"1",0.4,FALSE,NA,35312,24,"","79.3",NA,NA
"74","GALLAS, GLENN EDWARD","AR",4,"REP",2010,0.404827686,15,"DEM",0,0,0.29564,"1",0.4,FALSE,NA,35312,157,"44.63","79.3",595499.1,588353.94
"75","RANKIN, BETH ANNE","AR",4,"REP",2010,0.404827686,15,"DEM",0,0,0.29564,"0",0.4,FALSE,NA,35312,110,"55.37","79.3",595499.1,588353.94
"73","ROSS, MICHAEL AVERY","AR",4,"DEM",2010,0.404827686,15,"DEM",0.861723379,1,0.29564,"1",0.4,TRUE,NA,35312,1,"100.00","79.3",2426280.46,3012726.94
"77","AUMUA, AMATA","AS",0,"REP",2010,NA,NA,"DEM",0,0,NA,"0",NA,FALSE,NA,NA,500,"","character(0)",NA,NA
"78","FALEOMAVAEGA, ENI","AS",0,"DEM",2010,NA,NA,"DEM",0,0,NA,"0",NA,TRUE,NA,NA,500,"","character(0)",NA,NA
"79","LANCASTER, ROSIE FUALA'AU TAGO","AS",0,"IND",2010,NA,NA,"DEM",0,0,NA,"0",NA,FALSE,NA,NA,500,"","character(0)",NA,NA
"76","TUIKA, TUIKA","AS",0,"NNE",2010,NA,NA,"DEM",0,0,NA,"1",NA,FALSE,NA,NA,500,"","character(0)",NA,NA
"85","BEAUCHAMP, BRADLEY DON","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,57,"15.91","77.15333",1169026.19,1168286.68
"87","BOWERS, RUSSELL WESLEY","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,81,"14.78","77.15333",1169026.19,1168286.68
"86","GOSAR, PAUL ANTHONY ANTHONY","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,27,"30.73","77.15333",1169026.19,1168286.68
"84","GRESSLEY, FORREST DAYL","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"0",0.43,FALSE,0,40854,500,"","77.15333",1169026.19,1168286.68
"88","HAY, SYDNEY","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"0",0.43,FALSE,0,40854,500,"22.87","77.15333",1169026.19,1168286.68
"82","JARACZEWSKI, JOE","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,107,"2.14","77.15333",1169026.19,1168286.68
"83","JENSEN, JON RICHARD","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,97,"2.43","77.15333",1169026.19,1168286.68
"90","KIRKPATRICK, ANN","AZ",1,"DEM",2010,0.441068198,19.2,"REP",0.558817305,1,0.29621,"0",0.43,TRUE,0,40854,100,"100.00","77.15333",1957921.74,1956363.79
"91","MEHTA, STEVE","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,159,"8.19","77.15333",1169026.19,1168286.68
"80","PATTI, NICOLE","AZ",1,"LIB",2010,0.441068198,19.2,"REP",0,0,0.29621,"0",0.43,FALSE,0,40854,10,"100.00","77.15333",NA,NA
"81","TOBIN, ANDREW (ANDY)","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,28,"","77.15333",1169026.19,1168286.68
"89","ZALESKI, THOMAS J","AZ",1,"REP",2010,0.441068198,19.2,"REP",0.394293852,0,0.29621,"1",0.43,FALSE,0,40854,20,"2.95","77.15333",1169026.19,1168286.68
"92","BLACK, CHARLES ROLAND","AZ",2,"REP",2010,0.439814685,21.9,"REP",0.594379672,0,0.13961,"1",0.43,FALSE,4,47963,23,"19.13","77.5",965568.88,989036.85
"95","CRUM, WILLIAM STEPHEN","AZ",2,"GRE",2010,0.439814685,21.9,"REP",0,0,0.13961,"1",0.43,FALSE,4,47963,9,"","77.5",NA,NA
"97","FRANKS, TRENT","AZ",2,"REP",2010,0.439814685,21.9,"REP",0.594379672,1,0.13961,"1",0.43,FALSE,4,47963,500,"80.87","77.5",965568.88,989036.85
"94","GAMMILL, POWELL","AZ",2,"LIB",2010,0.439814685,21.9,"REP",0.02331794,0,0.13961,"1",0.43,FALSE,4,47963,500,"100.00","77.5",NA,NA
"93","SCHALLENBERGER, STEVEN CRAIG","AZ",2,"DEM",2010,0.439814685,21.9,"REP",0.371604891,0,0.13961,"1",0.43,TRUE,4,47963,19,"","77.5",21020.76,21020.76
"96","THRASHER, JOHN ARMIN","AZ",2,"DEM",2010,0.439814685,21.9,"REP",0.371604891,0,0.13961,"1",0.43,TRUE,4,47963,6,"100.00","77.5",21020.76,21020.76
"98","ADAIR, CLAY","AZ",3,"LIB",2010,0.445441423,33.9,"REP",0.03853017,0,0.1439,"1",0.43,FALSE,1,52327,500,"0.25","76.5",NA,NA
"103","BAKER, SCOTT","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,17,"","76.5",2653070.2,2645463.16
"113","BRANCH, ROBERT ALLEN","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,7,"1.45","76.5",2653070.2,2645463.16
"107","CHARLES, ROBERT LINCOLN","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,7,"","76.5",2653070.2,2645463.16
"102","CLARK, LEONARD","AZ",3,"GRE",2010,0.445441423,33.9,"REP",0,0,0.1439,"1",0.43,FALSE,1,52327,166,"100.00","76.5",NA,NA
"110","CRUMP, SAMUEL TURRENTINE SR","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,64,"4.92","76.5",2653070.2,2645463.16
"108","GORMAN, PAMELA DIANE","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"0",0.43,FALSE,1,52327,48,"8.20","76.5",2653070.2,2645463.16
"112","HULBURD, JON","AZ",3,"DEM",2010,0.445441423,33.9,"REP",0.42069552,0,0.1439,"1",0.43,TRUE,1,52327,97,"100.00","76.5",1670024.12,1647489.95
"106","HULL, LEANN","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"0",0.43,FALSE,1,52327,500,"1.32","76.5",2653070.2,2645463.16
"105","MOAK, STEVEN CARL","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,19,"18.01","76.5",2653070.2,2645463.16
"114","MORRIS, PAULINA VASQUEZ","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"0",0.43,FALSE,1,52327,500,"7.78","76.5",2653070.2,2645463.16
"109","PARKER, VERNON","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,500,"17.00","76.5",2653070.2,2645463.16
"111","QUAYLE, BEN","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,44,"22.05","76.5",2653070.2,2645463.16
"99","SCOTT, BRIAN ALAN","AZ",3,"IND",2010,0.445441423,33.9,"REP",0,0,0.1439,"1",0.43,FALSE,1,52327,8,"","76.5",NA,NA
"104","SHOEN, MICHAEL LEONARD","AZ",3,"LIB",2010,0.445441423,33.9,"REP",0.03853017,0,0.1439,"1",0.43,FALSE,1,52327,1,"99.75","76.5",NA,NA
"100","WARING, JAMES F","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,5,"17.55","76.5",2653070.2,2645463.16
"101","WINKLER, EDWIN ROBERT MR","AZ",3,"REP",2010,0.445441423,33.9,"REP",0.54077431,0,0.1439,"1",0.43,FALSE,1,52327,185,"1.71","76.5",2653070.2,2645463.16
"118","CONTRERAS, JANET L","AZ",4,"REP",2010,0.445441423,13.6,"REP",0.212453889,0,0.31865,"0",0.43,FALSE,0,31498,125,"60.10","77.19474",80895.64,80858.12
"116","DEWITT, REBECCA","AZ",4,"GRE",2010,0.445441423,13.6,"REP",0.035876458,0,0.31865,"0",0.43,FALSE,0,31498,13,"100.00","77.19474",NA,NA
"115","HILL, BRIAN","AZ",4,"IND",2010,0.445441423,13.6,"REP",0,0,0.31865,"1",0.43,FALSE,0,31498,8,"","77.19474",NA,NA
"117","PASTOR, ED L","AZ",4,"DEM",2010,0.445441423,13.6,"REP",0.7210734,1,0.31865,"1",0.43,TRUE,0,31498,40,"100.00","77.19474",1014290.67,1092555.25
"119","PENALOSA, JOE","AZ",4,"REP",2010,0.445441423,13.6,"REP",0.212453889,0,0.31865,"1",0.43,FALSE,0,31498,107,"39.90","77.19474",80895.64,80858.12
"126","BLACKMAN, RYAN","AZ",5,"GRE",2010,0.445441423,43.6,"REP",0,0,0.16605,"1",0.43,FALSE,0,55876,25,"100.00","77.49048",NA,NA
"124","COONS, NICK","AZ",5,"LIB",2010,0.445441423,43.6,"REP",0.032664562,0,0.16605,"1",0.43,FALSE,0,55876,51,"100.00","77.49048",NA,NA
"122","GENTRY, LEE ADAM","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,131,"1.61","77.49048",1732731.48,1721363.62
"123","HILL, JONATHON RYAN","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,500,"","77.49048",1732731.48,1721363.62
"130","MITCHELL, HARRY E.","AZ",5,"DEM",2010,0.445441423,43.6,"REP",0.531567778,1,0.16605,"1",0.43,TRUE,0,55876,200,"100.00","77.49048",2174509,2308400.3
"129","SALVINO, CHRIS","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,109,"9.99","77.49048",1732731.48,1721363.62
"125","SCHWEIKERT, DAVID","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,4,"37.23","77.49048",1732731.48,1721363.62
"121","SMITH, SUSAN BITTER","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"0",0.43,FALSE,0,55876,27,"35.40","77.49048",1732731.48,1721363.62
"120","SPINKS, MARK VINCENT","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,18,"1.23","77.49048",1732731.48,1721363.62
"128","WARD, JIM","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,5,"25.79","77.49048",1732731.48,1721363.62
"127","WNUCK, ERIC","AZ",5,"REP",2010,0.445441423,43.6,"REP",0.435735559,0,0.16605,"1",0.43,FALSE,0,55876,14,"","77.49048",1732731.48,1721363.62
"132","BERGREN, SCOTT","AZ",6,"REP",2010,0.443988399,28.5,"REP",0.624168103,0,0.18269,"1",0.43,FALSE,1,56691,17,"","78.7",538758.2,774230.95
"134","FLAKE, JEFF MR.","AZ",6,"REP",2010,0.443988399,28.5,"REP",0.624168103,1,0.18269,"1",0.43,FALSE,1,56691,192,"64.60","78.7",538758.2,774230.95
"135","GRAYSON, RICHARD","AZ",6,"GRE",2010,0.443988399,28.5,"REP",0,0,0.18269,"1",0.43,FALSE,1,56691,16,"100.00","78.7",NA,NA
"137","KELSEY, EASTON CLINT","AZ",6,"REP",2010,0.443988399,28.5,"REP",0.624168103,0,0.18269,"1",0.43,FALSE,1,56691,500,"","78.7",538758.2,774230.95
"133","SCHNEIDER, REBECCA","AZ",6,"DEM",2010,0.443988399,28.5,"REP",0.345497582,0,0.18269,"0",0.43,TRUE,1,56691,13,"100.00","78.7",0,0
"136","SMITH, JEFFREY W","AZ",6,"REP",2010,0.443988399,28.5,"REP",0.624168103,0,0.18269,"1",0.43,FALSE,1,56691,15,"35.40","78.7",538758.2,774230.95
"131","TAPP, DARELL","AZ",6,"LIB",2010,0.443988399,28.5,"REP",0,0,0.18269,"1",0.43,FALSE,1,56691,500,"100.00","78.7",NA,NA
"143","FLOWERS, CHRISTOPHER JOHN","AZ",7,"REP",2010,0.463122196,15.3,"REP",0.32788095,0,0.26589,"1",0.43,FALSE,0,39777,2,"4.60","76.1",732607.51,684747.7
"146","GRIJALVA, RAUL M","AZ",7,"DEM",2010,0.463122196,15.3,"REP",0.632625745,1,0.26589,"1",0.43,TRUE,0,39777,500,"100.00","76.1",1470861.03,1463648.18
"140","IBARRA, ANDREW","AZ",7,"LIB",2010,0.463122196,15.3,"REP",0,0,0.26589,"1",0.43,FALSE,0,39777,28,"43.21","76.1",NA,NA
"141","KEANE, GEORGE","AZ",7,"LIB",2010,0.463122196,15.3,"REP",0,0,0.26589,"1",0.43,FALSE,0,39777,53,"56.79","76.1",NA,NA
"139","MCCLUNG, RUTH CRAWFORD","AZ",7,"REP",2010,0.463122196,15.3,"REP",0.32788095,0,0.26589,"1",0.43,FALSE,0,39777,196,"50.95","76.1",732607.51,684747.7
"142","MEYER, HARLEY DEAN","AZ",7,"IND",2010,0.463122196,15.3,"REP",0,0,0.26589,"1",0.43,FALSE,0,39777,500,"","76.1",NA,NA
"145","MYERS, TERRY LON","AZ",7,"REP",2010,0.463122196,15.3,"REP",0.32788095,0,0.26589,"1",0.43,FALSE,0,39777,69,"23.22","76.1",732607.51,684747.7
"144","SWEENEY, JOSEPH DUDLEY","AZ",7,"REP",2010,0.463122196,15.3,"REP",0.32788095,0,0.26589,"1",0.43,FALSE,0,39777,11,"12.20","76.1",732607.51,684747.7
"138","WILSON, ROBERT","AZ",7,"REP",2010,0.463122196,15.3,"REP",0.32788095,0,0.26589,"1",0.43,FALSE,0,39777,7,"9.02","76.1",732607.51,684747.7
