filler,filler,filler,filler,state,district,partyLEFT,filler,filler,filler,filler,Party_Previous_Vote_ShareLEFT,IncumbentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedLEFT,SpentLEFT,filler,filler,filler,candidateRIGHT,filler,filler,partyRIGHT,filler,filler,filler,filler,Party_Previous_Vote_ShareRIGHT,IncumbentRIGHT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedRIGHT,SpentRIGHT,PollingLEFT,PollingRIGHT,Wave,won
1669,10266,10267,"MALIK, ANITA",AZ,6,DEM,2018,0.484673867,42.9,REP,0.383772763,0,0.14997,0,0.47,FALSE,0,73425,154,40.6,77.8,297760.06,148377.42,0,10269,10268,"SCHWEIKERT, DAVID",AZ,6,REP,2018,0.484673867,42.9,REP,0.616227237,1,0.14997,1,0.47,TRUE,0,73425,4,100,77.8,1493956.62,1162687.15,0.44155,0.55845,7.3,0
1670,10280,10279,"LESKO, DEBBIE",AZ,8,REP,2018,0.484673867,28.3,REP,0.685526338,1,0.17359,0,0.47,TRUE,0,67699,61,77.2,77.18421,1797520.42,1289147.72,0,10294,10293,"TIPIRNENI, HIRAL",AZ,8,DEM,2018,0.484673867,28.3,REP,0,0,0.17359,0,0.47,FALSE,0,67699,500,100,77.18421,3705331.08,3236302.48,0.5325,0.4675,7.3,0
1671,10300,10301,"FERRARA, STEVE MD",AZ,9,REP,2018,0.484673867,36.7,REP,0.388770805,0,0.2655,1,0.47,TRUE,,56598,159,58.9,72.7,1326295.26,938658.74,0,10304,10304,"STANTON, GREG",AZ,9,DEM,2018,0.484673867,36.7,REP,0.611229195,0,0.2655,1,0.47,FALSE,,56598,29,,72.7,2125315.56,1529134.73,0.388770805,0.611229195,7.3,0
1672,10196,10198,"CRAWFORD, ERIC ALAN RICK",AR,1,REP,2018,0.345055018,15.7,REP,0.76511694,1,0.2275,1,0.54,TRUE,4,41143,14,100,78.4,948321.16,738143.63,0,10197,10199,"DESAI, CHINTAN",AR,1,DEM,2018,0.345055018,15.7,REP,0,0,0.2275,1,0.54,FALSE,4,41143,500,100,78.4,108134.55,82376.61,0.675,0.325,7.3,0
1673,10202,10202,"HILL, JAMES FRENCH",AR,2,REP,2018,0.44301526,28.4,REP,0.584203612,1,0.29367,1,0.54,TRUE,4,51287,5,100,77.2,2550302.98,1734904.37,0,10205,10201,"TUCKER, EVERETT CLARKE IV",AR,2,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,1,0.54,FALSE,4,51287,500,57.8,77.2,1670546.59,1440062.32,0.543333333,0.456666667,7.3,0
1674,10207,10207,"MAHONY, JOSH",AR,3,DEM,2018,0.32138274,25.6,REP,0,0,0.17109,1,0.54,FALSE,0,51335,500,100,77.7,214334.74,198947.83,0,10211,10212,"WOMACK, STEVE",AR,3,REP,2018,0.32138274,25.6,REP,0.773360379,1,0.17109,1,0.54,TRUE,0,51335,159,83.8,77.7,1049764.2,1019266.54,0.39,0.61,7.3,0
1675,10219,10221,"SHAMEL, HAYDEN CATHERINE",AR,4,DEM,2018,0.321191108,16.1,REP,0,0,0.25909,0,0.54,FALSE,,40903,500,100,78.1,132264.52,108244.92,0,10220,10217,"WESTERMAN, BRUCE",AR,4,REP,2018,0.321191108,16.1,REP,0.748985137,1,0.25909,1,0.54,TRUE,,40903,132,79.9,78.1,1511869.85,817718.03,0.35,0.65,7.3,0
1676,10306,10306,"DENNEY, AUDREY",CA,1,DEM,2018,0.414818171,23.2,DEM,0.404861236,0,0.14035,0,0.35,FALSE,0,51478,500,17.2,78.9,888363.82,456279.53,0,10311,10311,"LAMALFA, DOUG",CA,1,REP,2018,0.414818171,23.2,DEM,0.595138764,1,0.14035,1,0.35,TRUE,0,51478,50,52.5,78.9,809720.61,431388.01,0.404861236,0.595138764,7.3,0
1677,10316,10317,"HUFFMAN, JARED",CA,2,DEM,2018,0.749410905,40,DEM,0.770896409,1,0.20906,1,0.35,FALSE,0,76114,113,70.7,78.74,821700.49,628979.08,0,10317,10316,"MENSING, DALE KENNETH",CA,2,REP,2018,0.749410905,40,DEM,0.229103591,0,0.20906,1,0.35,TRUE,0,76114,148,23.1,78.74,4101,2894.25,0.770896409,0.229103591,7.3,0
1678,10318,10319,"GARAMENDI, JOHN",CA,3,DEM,2018,0.624305608,24.5,DEM,0.582309381,1,0.32289,1,0.35,FALSE,0,65934,6,53.6,77,994729.41,708803.52,0,10320,10321,"SCHAUPP, CHARLES EUGENE",CA,3,REP,2018,0.624305608,24.5,DEM,0.417690619,0,0.32289,1,0.35,TRUE,0,65934,23,42.2,77,25151,10283.01,0.582309381,0.417690619,7.3,0
1679,10325,10325,"MCCLINTOCK, THOMAS",CA,4,REP,2018,0.471879559,32.2,DEM,0.62784764,1,0.15235,1,0.35,TRUE,0,75841,20,52.4,76.9,1548596.64,1061066.53,0,10326,10322,"MORSE, JESSICA",CA,4,DEM,2018,0.471879559,32.2,DEM,0.37215236,0,0.15235,0,0.35,FALSE,0,75841,11,20.1,76.9,2822139.89,1757035.12,0.52,0.48,7.3,0
1680,10330,10330,"MILLS, ANTHONY",CA,5,NOP,2018,0.719004771,30.4,DEM,0,0,0.38267,1,0.35,FALSE,0,78152,22,9.2,77.14737,,,0,10332,10332,"THOMPSON, MIKE MR.",CA,5,DEM,2018,0.719004771,30.4,DEM,0.7717902,1,0.38267,1,0.35,FALSE,0,78152,1,79.1,77.14737,1892822.75,1814483.19,0,0.7717902,7.3,0
1681,10335,10335,"JEFFERSON, JRMAR",CA,6,DEM,2018,0.643959188,26.8,DEM,0.752486701,0,0.51558,1,0.35,FALSE,0,54243,500,100,77.33333,0,0,0,10336,10336,"MATSUI, DORIS",CA,6,DEM,2018,0.643959188,26.8,DEM,0.752486701,1,0.51558,0,0.35,FALSE,0,54243,500,100,77.33333,0,0,0.752486701,0.752486701,7.3,0
1682,10338,10344,"BERA, AMERISH",CA,7,DEM,2018,0.632057804,32.6,DEM,0.511914961,1,0.37299,1,0.35,FALSE,0,74608,500,51.7,77.9,2681013.71,1046165.92,0,10340,10338,"GRANT, ANDREW",CA,7,REP,2018,0.632057804,32.6,DEM,0.488085039,0,0.37299,1,0.35,TRUE,0,74608,28,32.6,77.9,487169.13,414702.4,0.545,0.455,7.3,0
1683,10345,10349,"COOK, PAUL",CA,8,REP,2018,0.555388977,16,DEM,0.627464451,1,0.23406,1,0.35,TRUE,0,52428,27,41.4,76.9,157625.67,149200.15,0,10346,10351,"DONNELLY, TIM",CA,8,REP,2018,0.555388977,16,DEM,0.627464451,0,0.23406,1,0.35,TRUE,0,52428,21,,76.9,157625.67,149200.15,0.627464451,0.627464451,7.3,0
1684,10352,10354,"LIVENGOOD, MARLA",CA,9,REP,2018,0.660084488,19.7,DEM,0.423702523,0,0.47534,0,0.35,TRUE,0,65392,500,40.6,77.2,51290.5,29662.12,0,10353,10353,"MCNERNEY, GERALD MARK",CA,9,DEM,2018,0.660084488,19.7,DEM,0.576297477,1,0.47534,1,0.35,FALSE,0,65392,104,53.6,77.2,1093325.75,630267.46,0.423702523,0.576297477,7.3,0
1685,10358,10359,"DENHAM, JEFF",CA,10,REP,2018,0.547732178,17.2,DEM,0.52369324,1,0.2586,1,0.35,TRUE,4,63223,192,37.8,77.2,4087019.31,2477327.99,0,10360,10358,"HARDER, JOSH",CA,10,DEM,2018,0.547732178,17.2,DEM,0.47630676,0,0.2586,1,0.35,FALSE,4,63223,500,16.7,77.2,6045041.41,4522149.21,0.472516667,0.527483333,7.3,0
1686,10367,10369,"DESAULNIER, MARK",CA,11,DEM,2018,0.733583309,42.6,DEM,0.717622167,1,0.40492,1,0.35,FALSE,0,90155,18,67.8,77.3,530980.07,424980.9,0,10368,10370,"FITZGERALD, JOHN",CA,11,REP,2018,0.733583309,42.6,DEM,0.282377833,0,0.40492,1,0.35,TRUE,0,90155,6,24,77.3,0,0,0.717622167,0.282377833,7.3,0
1687,10377,10374,"PELOSI, NANCY",CA,12,DEM,2018,0.901539298,56.3,DEM,0.810402809,1,0.52273,0,0.35,FALSE,4,111717,78,68.8,77.4,3835610.11,4236870.9,0,10378,10373,"REMMER, LISA",CA,12,REP,2018,0.901539298,56.3,DEM,0,0,0.52273,0,0.35,TRUE,4,111717,6,9.5,77.4,18983.18,5928.24,0.810402809,0,7.3,0
1688,10379,10380,"LEE, BARBARA",CA,13,DEM,2018,0.865520726,46.1,DEM,0.907087242,1,0.58612,0,0.35,FALSE,0,76915,76,100,77.33333,1585339.12,1527355.33,0,10380,10381,"WELLS, LAURA",CA,13,GRE,2018,0.865520726,46.1,DEM,0,0,0.58612,0,0.35,FALSE,0,76915,20,,77.33333,,,0.907087242,0,7.3,0
1689,10381,10383,"OSMENA, CRISTINA",CA,14,REP,2018,0.85909314,44.7,DEM,0.191160823,0,0.57648,0,0.35,TRUE,4,110507,500,100,80.2,0,0,0,10382,10382,"SPEIER, JACKIE",CA,14,DEM,2018,0.85909314,44.7,DEM,0.808839177,1,0.57648,0,0.35,FALSE,4,110507,500,100,80.2,867078.13,590119.72,0.191160823,0.808839177,7.3,0
1690,10383,10385,"PETERS, RUDY PETERS",CA,15,REP,2018,0.797441126,42.4,DEM,0.262442286,0,0.57799,1,0.35,TRUE,0,116710,500,27.5,79.3,41270.43,30802.52,0,10385,10386,"SWALWELL, ERIC MICHAEL",CA,15,DEM,2018,0.797441126,42.4,DEM,0.737557714,1,0.57799,1,0.35,FALSE,0,116710,14,69.3,79.3,2600444.02,2021253.38,0.262442286,0.737557714,7.3,0
1691,10386,10387,"COSTA, JIM",CA,16,DEM,2018,0.526297812,12,DEM,0.578363985,1,0.4192,1,0.35,FALSE,0,43839,5,100,78.83158,1552290.47,1453052.99,0,10387,10388,"HENG, ELIZABETH",CA,16,REP,2018,0.526297812,12,DEM,0.421636015,0,0.4192,0,0.35,TRUE,0,43839,12,100,78.83158,1036674.64,697686.98,0.555,0.445,7.3,0
1692,10388,10389,"COHEN, RONALD H",CA,17,REP,2018,0.810020538,54.9,DEM,0,0,0.72363,1,0.35,TRUE,0,124131,43,23.9,78.09524,3446,2774,0,10390,10390,"KHANNA, ROHIT",CA,17,DEM,2018,0.810020538,54.9,DEM,1,1,0.72363,1,0.35,FALSE,0,124131,500,60.5,78.09524,2611287.19,1724513.62,0,1,7.3,0
1693,10393,10395,"ESHOO, ANNA G",CA,18,DEM,2018,0.789563908,60.5,DEM,0.712317907,1,0.37395,0,0.35,FALSE,4,134077,87,72.4,77.9,1200282.66,1071140.22,0,10396,10396,"RUSSELL, CHRISTINE",CA,18,REP,2018,0.789563908,60.5,DEM,0.287682093,0,0.37395,0,0.35,TRUE,4,134077,22,24.5,77.9,0,0,0.712317907,0.287682093,7.3,0
1694,10397,10399,"AGUILERA, JUSTIN",CA,19,REP,2018,0.7794624,33.5,DEM,0.260309856,0,0.57172,1,0.35,TRUE,0,101427,38,,76.9,11400,931.08,0,10398,10398,"LOFGREN, ZOE",CA,19,DEM,2018,0.7794624,33.5,DEM,0.739690144,1,0.57172,0,0.35,FALSE,0,101427,500,100,76.9,1526246.86,1592944.84,0.260309856,0.739690144,7.3,0
1695,10401,10402,"KABAT, RONALD P.",CA,20,NOP,2018,0.771435278,27.1,DEM,0,0,0.42127,1,0.35,FALSE,4,73076,43,,77.2,,,0,10402,10401,"PANETTA, JIMMY",CA,20,DEM,2018,0.771435278,27.1,DEM,0.706014796,1,0.42127,1,0.35,FALSE,4,73076,100,80.1,77.2,1036427.93,520270.39,0,0.706014796,7.3,0
1696,10404,10407,"COX, TJ",CA,21,DEM,2018,0.477193916,8.1,DEM,0.420261759,0,0.28366,1,0.35,FALSE,0,42621,500,100,77.2,2239084.62,1734201.06,0,10406,10406,"VALADAO, DAVID",CA,21,REP,2018,0.477193916,8.1,DEM,0.579738241,1,0.28366,1,0.35,TRUE,0,42621,4,100,77.2,2922781.71,1320902.09,0.445,0.555,7.3,0
1697,10410,10412,"JANZ, ANDREW",CA,22,DEM,2018,0.508858687,24,DEM,0.317900397,0,0.28875,1,0.35,FALSE,0,57667,28,31.9,77.3,7222481.46,5792590.74,0,10412,10411,"NUNES, DEVIN GERALD",CA,22,REP,2018,0.508858687,24,DEM,0.682099603,1,0.28875,1,0.35,TRUE,0,57667,500,58.1,77.3,10524567.35,8577453.05,0.455,0.545,7.3,0
1698,10416,10421,"MATTA, TATIANA",CA,23,DEM,2018,0.73162692,19.6,DEM,0.299933391,0,0.24786,0,0.35,FALSE,0,55680,500,11.7,77.4,34973.57,28834.46,0,10417,10420,"MCCARTHY, KEVIN",CA,23,REP,2018,0.73162692,19.6,DEM,0.700066609,1,0.24786,1,0.35,TRUE,0,55680,13,69.8,77.4,7454664.38,5010767.11,0.299933391,0.700066609,7.3,0
1699,10421,10424,"CARBAJAL, SALUD",CA,24,DEM,2018,0.600895187,33,DEM,0.532463085,1,0.19351,0,0.35,FALSE,0,71356,500,53.3,77.33333,2526864.09,1277421.16,0,10422,10422,"FAREED, JUSTIN",CA,24,REP,2018,0.600895187,33,DEM,0.467536915,0,0.19351,1,0.35,TRUE,0,71356,38,36.7,77.33333,1208420.92,1095308.5,0.505,0.495,7.3,0
1700,10428,10426,"HILL, KATHERINE LAUREN",CA,25,DEM,2018,0.746669879,27.3,DEM,0.458012919,0,0.36675,0,0.35,FALSE,0,76866,55,20.3,80.2,6262976.2,3902670.99,0,10429,10425,"KNIGHT, STEVE",CA,25,REP,2018,0.746669879,27.3,DEM,0.541987081,1,0.36675,1,0.35,TRUE,0,76866,159,52.9,80.2,2143389.75,1760692.8,0.491033333,0.508966667,7.3,0
1701,10434,10440,"BROWNLEY, JULIA",CA,26,DEM,2018,0.746669879,32.4,DEM,0.598637098,1,0.19641,0,0.35,FALSE,4,82029,131,53.9,79.3,2377711.77,1292238.55,0,10438,10435,"SABATO, ANTONIO",CA,26,REP,2018,0.746669879,32.4,DEM,0.401362902,0,0.19641,1,0.35,TRUE,4,82029,83,22.4,79.3,292394.44,249776.49,0.598637098,0.401362902,7.3,0
1702,10441,10443,"CHU, JUDY",CA,27,DEM,2018,0.729348049,41.2,DEM,0.664883914,1,0.62967,0,0.35,FALSE,4,77629,500,100,78.15263,11000.21,8948.45,0,10443,10441,"WITT, BRYAN",CA,27,DEM,2018,0.729348049,41.2,DEM,0.664883914,0,0.62967,1,0.35,FALSE,4,77629,46,100,78.15263,11000.21,8948.45,0.664883914,0.664883914,7.3,0
1703,10446,10447,"NALBANDIAN, JOHNNY",CA,28,REP,2018,0.761992105,44.3,DEM,0.220763928,0,0.31805,1,0.35,TRUE,0,65849,88,22.2,76.80952,28046,26487.34,0,10448,10449,"SCHIFF, ADAM",CA,28,DEM,2018,0.761992105,44.3,DEM,0.779236072,1,0.31805,1,0.35,FALSE,0,65849,36,72.2,76.80952,5683159.68,3218152.87,0.220763928,0.779236072,7.3,0
1704,10450,10455,"BERNAL, BENITO BENNY",CA,29,REP,2018,0.761992105,19.3,DEM,0,0,0.4335,1,0.35,TRUE,4,53347,500,18,75.6,3800,3768,0,10451,10452,"CARDENAS, TONY",CA,29,DEM,2018,0.761992105,19.3,DEM,1,0,0.4335,1,0.35,FALSE,4,53347,80,66.8,75.6,1355469,1259918.82,0,1,7.3,0
1705,10457,10458,"REED, MARK",CA,30,REP,2018,0.746669879,42.1,DEM,0.275608022,0,0.36903,1,0.35,TRUE,4,81276,18,28.6,75.7,0,0,0,10459,10459,"SHERMAN, BRAD",CA,30,DEM,2018,0.746669879,42.1,DEM,0.724391978,1,0.36903,1,0.35,FALSE,4,81276,123,61.5,75.7,1157511.26,492737.87,0.275608022,0.724391978,7.3,0
1706,10460,10461,"AGUILAR, PETE",CA,31,DEM,2018,0.556853032,23,DEM,0.556733353,1,0.40595,1,0.35,FALSE,4,61631,55,46,75.9,2475416.4,1397346.82,0,10462,10463,"FLYNN, SEAN",CA,31,REP,2018,0.556853032,23,DEM,0.443266647,0,0.40595,1,0.35,TRUE,4,61631,39,45.4,75.9,901761.57,792403.2,0.556733353,0.443266647,7.3,0
1707,10464,10467,"NAPOLITANO, GRACE",CA,32,DEM,2018,0.761992105,20.5,DEM,1,1,0.56649,0,0.35,FALSE,0,70390,500,100,76,335678.39,163702.43,0,10466,10465,"SCOTT, JOSHUA",CA,32,REP,2018,0.761992105,20.5,DEM,0,0,0.56649,1,0.35,TRUE,0,70390,24,,76,4574,3289.26,1,0,7.3,0
1708,10467,10468,"LIEU, TED",CA,33,DEM,2018,0.761992105,63.3,DEM,0.662554092,1,0.27814,1,0.35,FALSE,4,105200,181,60.7,76.1,1636257.36,886663.74,0,10469,10469,"WRIGHT, KENNETH",CA,33,REP,2018,0.761992105,63.3,DEM,0.337445908,0,0.27814,1,0.35,TRUE,4,105200,31,31.5,76.1,141908.27,92008.65,0.662554092,0.337445908,7.3,0
1709,10483,10491,"GOMEZ, JIMMY",CA,34,DEM,2018,0.761992105,24.2,DEM,1,1,0.62987,1,0.35,FALSE,0,46883,100,79.5,76.2,1410049.96,1317962.99,0,10488,10496,"MEJIA, KENNETH",CA,34,GRE,2018,0.761992105,24.2,DEM,0,0,0.62987,1,0.35,FALSE,0,46883,31,12.1,76.2,,,1,0,7.3,0
1710,10502,10502,"TORRES, NORMA",CA,35,DEM,2018,0.729348049,14.8,DEM,0.717637752,1,0.54162,0,0.35,FALSE,4,60741,500,50.6,76.12667,582329.32,523914.95,0,10503,10504,"VALIENTE, CHRISTIAN",CA,35,REP,2018,0.729348049,14.8,DEM,0.282362248,0,0.54162,1,0.35,TRUE,4,60741,108,35.1,76.12667,3194,3966.84,0.717637752,0.282362248,7.3,0
1711,10507,10510,"PELZER, KIMBERLIN BROWN",CA,36,REP,2018,0.528610713,20.6,DEM,0.38573439,0,0.29242,0,0.35,TRUE,4,46494,500,23.1,77.6,675034.23,496696.47,0,10508,10509,"RUIZ, RAUL DR",CA,36,DEM,2018,0.528610713,20.6,DEM,0.61426561,1,0.29242,1,0.35,FALSE,4,46494,500,54.7,77.6,2915343.57,1784502.33,0.38573439,0.61426561,7.3,0
1712,10510,10511,"BASS, KAREN",CA,37,DEM,2018,0.761992105,37.2,DEM,1,0,0.59333,0,0.35,FALSE,4,59069,25,100,76.4,720746.46,722531.21,0,10511,10512,"BASSILIAN, RON",CA,37,REP,2018,0.761992105,37.2,DEM,0,0,0.59333,1,0.35,TRUE,4,59069,43,100,76.4,7803.34,6114.08,1,0,7.3,0
1713,10512,10513,"DOWNING, RYAN",CA,38,REP,2018,0.706543872,21.9,DEM,0.302598121,0,0.58506,1,0.35,TRUE,4,72463,25,100,76.67368,0,0,0,10513,10514,"SANCHEZ, LINDA",CA,38,DEM,2018,0.706543872,21.9,DEM,0.697401879,0,0.58506,0,0.35,FALSE,4,72463,68,100,76.67368,1585120.97,1202612.81,0.302598121,0.697401879,7.3,0
1714,10518,10525,"CISNEROS, GILBERT",CA,39,DEM,2018,0.688084785,40.2,DEM,0.422563373,0,0.49831,1,0.35,FALSE,4,89300,500,19.1,76.5381,9954354.24,9671443.73,0,10524,10527,"KIM, YOUNG",CA,39,REP,2018,0.688084785,40.2,DEM,0.577436627,0,0.49831,1,0.35,TRUE,4,89300,500,21.7,76.5381,2191116.74,1850468.79,0.5207,0.4793,7.3,0
1715,10536,10539,"BARRAGAN, RODOLFO CORTES",CA,40,GRE,2018,0.761992105,9.2,DEM,0,0,0.46465,0,0.35,FALSE,4,47190,500,100,76.4,,,0,10538,10537,"ROYBAL-ALLARD, LUCILLE",CA,40,DEM,2018,0.761992105,9.2,DEM,0.718698185,1,0.46465,0,0.35,FALSE,4,47190,500,100,76.4,482335.97,467511.4,0,0.718698185,7.3,0
1716,10540,10540,"SMITH, AJA",CA,41,REP,2018,0.528610713,17,DEM,0.356381797,0,0.59523,0,0.35,TRUE,4,64658,500,100,76.4,36804.88,29975.8,0,10541,10542,"TAKANO, MARK",CA,41,DEM,2018,0.528610713,17,DEM,0.643618203,1,0.59523,1,0.35,FALSE,4,64658,18,100,76.4,959608.06,838905.73,0.356381797,0.643618203,7.3,0
1717,10542,10545,"CALVERT, KENNETH S",CA,42,REP,2018,0.528610713,24.3,DEM,0.590264008,1,0.42028,1,0.35,TRUE,4,83837,31,61.8,76.8,1375120.53,1234907.22,0,10543,10546,"PEACOCK, JULIA",CA,42,DEM,2018,0.528610713,24.3,DEM,0.409735992,0,0.42028,0,0.35,FALSE,4,83837,131,25.6,76.8,137462.18,114413.64,0.590264008,0.409735992,7.3,0
1718,10551,10551,"NAVARRO, OMAR",CA,43,REP,2018,0.761992105,24.9,DEM,0.244075551,0,0.65049,1,0.35,TRUE,4,56655,500,14.8,76.1,793860.25,637320.94,0,10552,10552,"WATERS, MAXINE",CA,43,DEM,2018,0.761992105,24.9,DEM,0.755924449,1,0.65049,0,0.35,FALSE,4,56655,500,71.5,76.1,1288394.1,836173.96,0.244075551,0.755924449,7.3,0
1719,10554,10555,"BARRAGAN, NANETTE",CA,44,DEM,2018,0.761992105,12.1,DEM,1,0,0.59055,0,0.35,FALSE,4,50346,500,65.9,77.8,1408038.79,710728.44,0,10555,10556,"BROWN, AJA",CA,44,DEM,2018,0.761992105,12.1,DEM,1,0,0.59055,0,0.35,FALSE,4,50346,500,16.6,77.8,1408038.79,710728.44,1,1,7.3,0
1720,10563,10567,"PORTER, KATHERINE",CA,45,DEM,2018,0.546017443,53.5,DEM,0.410362669,0,0.3925,0,0.35,FALSE,0,102040,55,20,78.4,4997375.43,4451241.64,0,10567,10564,"WALTERS, MIMI",CA,45,REP,2018,0.546017443,53.5,DEM,0.589637331,1,0.3925,0,0.35,TRUE,0,102040,500,52.6,78.4,3886352.7,3353557.14,0.50875,0.49125,7.3,0
1721,10568,10572,"CORREA, JOSE",CA,46,DEM,2018,0.546017443,17.6,DEM,1,1,0.48425,1,0.35,FALSE,0,65334,48,59.8,77.82667,994590.71,422264.05,0,10570,10569,"LAMBERT, RUSSELL RENE",CA,46,REP,2018,0.546017443,17.6,DEM,0,0,0.48425,1,0.35,TRUE,0,65334,81,35,77.82667,140,0,1,0,7.3,0
1722,10572,10573,"BRISCOE, JOHN",CA,47,REP,2018,0.706543872,30.4,DEM,0.374910759,0,0.4635,1,0.35,TRUE,0,68300,6,22.1,79.6,23775,11784.95,0,10574,10574,"LOWENTHAL, ALAN",CA,47,DEM,2018,0.706543872,30.4,DEM,0.625089241,1,0.4635,1,0.35,FALSE,0,68300,110,59.7,79.6,649144.79,475605.84,0.374910759,0.625089241,7.3,0
