COX,  JOHN R.#AK#0#REP#2010#0.503333091
WALSH,  DANA#CA#8#REP#2010#0.096807328
PELOSI,  NANCY#CA#8#DEM#2010#0.718661371
DENNIS,  JOHN#CA#8#REP#2010#0.096807328
HASIMOTO,  GERALD#CA#9#REP#2010#0.096963256
HELLER,  DAVE#CA#9#GRE#2010#0
ALLEN,  LARRY#CA#9#PAF#2010#0
EYER,  JAMES M.#CA#9#LIB#2010#0.042161383
LEE,  BARBARA#CA#9#DEM#2010#0.860644813
GARAMENDI,  JOHN#CA#10#DEM#2010#0.651249301
ATTWOOD,  TIFFANY#CA#10#DEM#2010#0.651249301
VANGUNDY,  GINO W#CA#10#IND#2010#0
PETERSON,  DAVID#CA#10#REP#2010#0.311273356
TOTH,  JOHN RICHARD#CA#10#REP#2010#0.311273356
BUCHANAN,  JOAN#CA#10#DEM#2010#0.651249301
MCILROY,  MARY#CA#10#PAF#2010#0
DENHAM,  JEROME 'JERRY'#CA#10#AIP#2010#0
HAMPTON,  ADRIEL#CA#10#DEM#2010#0.651249301
DESAULNIER,  MARK#CA#10#DEM#2010#0.651249301
WOODS,  ANTHONY MR#CA#10#DEM#2010#0.651249301
BUNCH,  CHRISTOPHER N#CA#10#REP#2010#0.311273356
LOOS,  MARK ALAN#CA#10#REP#2010#0.311273356
BURKE,  BUDDY#CA#10#REP#2010#0.311273356
CLIFT,  GARY WILLIAM#CA#10#REP#2010#0.311273356
CLOWARD,  JEREMY#CA#10#GRE#2010#0
BEADLES,  ROBERT#CA#11#REP#2010#0.44723402
HARMER,  DAVID#CA#11#REP#2010#0.44723402
DEL ARROZ,  JONATHAN MR.#CA#11#REP#2010#0.44723402
PEGRAM,  LARRY#CA#11#REP#2010#0.44723402
CHRISTENSEN,  DAVID#CA#11#AIP#2010#0
GOEHRING,  BRAD#CA#11#REP#2010#0.44723402
MCNERNEY,  JERRY#CA#11#DEM#2010#0.55272566
AMADOR,  ANTONIO C#CA#11#REP#2010#0.44723402
EMKEN,  ELIZABETH#CA#11#REP#2010#0.44723402
TAKADA,  JEFFREY DAVID#CA#11#REP#2010#0.44723402
HARDING,  JOSEPH MICHAEL#CA#12#NNE#2010#0
WILLIAMS,  MARK PAUL#CA#12#LIB#2010#0.020925378
PARKER,  MICHAEL DOUGLAS#CA#12#REP#2010#0.184588519
MOLONEY,  MICHAEL J.#CA#12#REP#2010#0.184588519
SPEIER,  JACKIE#CA#12#DEM#2010#0.751132646
BAKER,  FOREST#CA#13#REP#2010#0.235697007
JELINCIC,  JUSTIN#CA#13#DEM#2010#0.764302993
STARK,  FORTNEY P.#CA#13#DEM#2010#0.764302993
GARCIA,  LUIS 'COACH'#CA#13#REP#2010#0.235697007
PAREJA,  CHRISTOPHER JAMES#CA#13#W#2010#0
CHAPMAN,  DAVE#CA#14#REP#2010#0.222205114
LAZAGA,  PAUL#CA#14#LIB#2010#0.043733457
SANTANA,  RONNY#CA#14#REP#2010#0.222205114
ESHOO,  ANNA#CA#14#DEM#2010#0.697671264
BARICH,  DON#CA#15#REP#2010#0.232571493
GORDON,  KEVIN PATRICK#CA#15#REP#2010#0.232571493
SIMITIAN,  S. JOSEPH#CA#15#DEM#2010#0.716617279
KIRKLAND,  SCOTT SPENCER#CA#15#REP#2010#0.232571493
CHUKWU,  RAYMOND LEMMY#CA#15#REP#2010#0.232571493
HONDA,  MIKE#CA#15#DEM#2010#0.716617279
HOWELL,  ROBERT PAUL#CA#16#REP#2010#0
LOFGREN,  ZOE#CA#16#DEM#2010#0.713403498
SAHAGUN,  DANIEL#CA#16#REP#2010#0
GONZALEZ,  EDWARD M#CA#16#LIB#2010#0.046009536
TAYLOR,  JEFFREY E#CA#17#REP#2010#0.258225224
KABAT,  RONALD P.#CA#17#W#2010#0
CHANDLER,  WILLIAM THARON#CA#17#IND#2010#0
ARNOLD,  GARY RICHARD#CA#17#REP#2010#0.258225224
ANDRESEN,  PETE#CA#17#REP#2010#0.258225224
PETERSEN,  ERIC#CA#17#GRE#2010#0
LE BARRE,  MICHAEL ROBERT#CA#17#REP#2010#0.258225224
LARKIN,  MARY VIRGINIA#CA#17#LIB#2010#0
FARR,  SAM#CA#17#DEM#2010#0.738791738
DUNN,  ART#CA#17#DEM#2010#0.738791738
CARDOZA,  DENNIS#CA#18#DEM#2010#1
BERRYHILL,  MICHAEL CLARE SR#CA#18#REP#2010#0
DENHAM,  JEFF#CA#19#REP#2010#0.984316396
ESTRADA,  JOHN ANTHONY#CA#19#DEM#2010#0
WESTERLUND,  LARRY#CA#19#REP#2010#0.984316396
POMBO,  RICHARD W#CA#19#REP#2010#0.984316396
MARSDEN,  LES#CA#19#DEM#2010#0
PATTERSON,  NORWOOD JAMES JR#CA#19#REP#2010#0.984316396
GOODWIN,  LORAINE#CA#19#DEM#2010#0
QUINTANAR,  SERAFIN#CA#20#REP#2010#0.256654494
COSTA,  JIM MR.#CA#20#DEM#2010#0.743345506
LAKE,  RICHARD DAVID GEORGE#CA#20#REP#2010#0.256654494
MILLER,  JOSHUA THOMAS COULSTON#CA#20#REP#2010#0.256654494
HAZE,  ERNEST STEVEN#CA#20#DEM#2010#0.743345506
VIDAK,  JAMES ANDREW#CA#20#REP#2010#0.256654494
MACARENO,  RUBEN#CA#21#DEM#2010#0
NUNES,  DEVIN G#CA#21#REP#2010#0.683926316
UEBERSAX,  JOHN#CA#22#W#2010#0
MCCARTHY,  KEVIN#CA#22#REP#2010#1
MILLER,  CAROLE LEE#CA#23#REP#2010#0.319256676
STAFFORD,  DARRELL M#CA#23#LIB#2010#0
DAVIDSON,  JOHN#CA#23#REP#2010#0.319256676
STOCKDALE,  DAVID R#CA#23#REP#2010#0.319256676
HAGER,  JOHN VICTOR#CA#23#IND#2010#0
VANDEVENTER,  CLARK#CA#23#REP#2010#0.319256676
CAPPS,  LOIS G#CA#23#DEM#2010#0.680743324
WATSON,  THOMAS C#CA#23#REP#2010#0.319256676
AGUIAR,  LANCE#CA#24#UNK#2010#0
GALLEGLY,  ELTON#CA#24#REP#2010#0.5815392
PANEC,  MARIE#CA#24#DEM#2010#0.4184608
KALEMKARIAN,  TIMOTHY CHARLES#CA#24#REP#2010#0.5815392
MARTINEZ,  JILL MARIE#CA#24#DEM#2010#0.4184608
ALLISON,  TIMOTHY JAMES#CA#24#DEM#2010#0.4184608
STERN,  SHAWN#CA#24#DEM#2010#0.4184608
JORGENSEN,  MARTA ANN#CA#24#DEM#2010#0.4184608
CONAWAY,  JACQUESE LYNN#CA#25#DEM#2010#0.422720072
MCKEON,  HOWARD P 'BUCK'#CA#25#REP#2010#0.577279928
MILLER,  DAVID LAWRENCE#CA#26#IND#2010#0
BUTLER,  MARK#CA#26#REP#2010#0.526391645
WEISSBUNCH,  RANDALL#CA#26#LIB#2010#0.069164826
DREIER,  DAVID#CA#26#REP#2010#0.526391645
WARNER,  RUSS#CA#26#DEM#2010#0.404443529
BROWN,  ROBERT#CA#26#NNE#2010#0
DARIAN,  BRUCE HARRY#CA#27#FED#2010#0
SHERMAN,  BRAD#CA#27#DEM#2010#0.685094087
SINGH,  NAVRAJ#CA#27#REP#2010#0.248323819
REED,  MARK STEVEN SR#CA#27#REP#2010#0.248323819
WORMAN,  JENNY#CA#28#REP#2010#0
BERMAN,  HOWARD L.#CA#28#DEM#2010#0.99891005
RODRIQUEZ,  CARLOS A#CA#28#LIB#2010#0
FROYD,  ERIK MERLIN#CA#28#REP#2010#0
VALDEZ,  RICHARD A#CA#28#DEM#2010#0.99891005
CUSHING,  WILLIAM  (BILL) P#CA#29#LIB#2010#0.043456332
LARGE,  MORTON R#CA#29#REP#2010#0.267398559
COLBERT,  JOHN#CA#29#REP#2010#0.267398559
SCHIFF,  ADAM#CA#29#DEM#2010#0.689145109
PORTANTINO,  ANTHONY#CA#29#DEM#2010#0.689145109
MILLER,  ERICH D#CA#30#LIB#2010#0
CASTALDO,  RICHARD R#CA#30#PAF#2010#0
KOLSKI,  CHRIS#CA#30#REP#2010#0
DAVID,  ARI#CA#30#REP#2010#0
FLUTIE,  ROBERT A MR#CA#30#REP#2010#0
BENNING,  DAVID#CA#30#REP#2010#0
WILKERSON,  CHARLES EDWARD#CA#30#REP#2010#0
WAXMAN,  HENRY A.#CA#30#DEM#2010#1
SMITH,  STEPHEN CARLTON#CA#31#REP#2010#0
BECERRA,  XAVIER#CA#31#DEM#2010#1
GENOVESE,  SAL#CA#31#W#2010#0
HERNANDEZ,  TERESA#CA#32#REP#2010#0
TRUAX,  DAVID ALLEN#CA#32#REP#2010#0
JOHNSON,  HOWARD ESQ#CA#32#PAF#2010#0
SCHMERLING,  EDWARD #CA#32#REP#2010#0
BLAKE,  M. WAYNE#CA#32#REP#2010#0
SANTANA,  SALVADOR#CA#32#REP#2010#0
MORRISON,  WILLIAM (RODRIGUEZ)#CA#32#REP#2010#0
SCARBOROUGH,  LARRY DEAN#CA#32#REP#2010#0
CEDILLO,  GILBERT#CA#32#DEM#2010#0.999938532
NADAL,  RAFAEL F.#CA#32#DEM#2010#0.999938532
WONG,  MARGARITA MARIE#CA#32#DEM#2010#0.999938532
LYSENKO,  STEFAN (CONTRERAS)#CA#32#DEM#2010#0.999938532
DURAN,  BENITA#CA#32#DEM#2010#0.999938532
ESTRADA,  ANDRES#CA#32#DEM#2010#0.999938532
ALONSO,  FRANCISCO#CA#32#DEM#2010#0.999938532
AGRELLA,  CHRISTOPHER#CA#32#LIB#2010#0
ARIF,  MOHAMMAD#CA#32#PAF#2010#0
PLEITZ,  EMANUEL#CA#32#DEM#2010#0.999938532
CHU,  BETTY#CA#32#REP#2010#0
RATHBUN,  TERRENCE (TERRY)#CA#32#REP#2010#0
ROMERO,  GLORIA#CA#32##2010#0
CHU,  JUDY#CA#32#DEM#2010#0.999938532
BASS,  KAREN#CA#33#DEM#2010#0.875686311
DEGROOT,  BENJAMIN#CA#33#IND#2010#0
EVANS,  MERVIN LEON#CA#33#DEM#2010#0.875686311
MONTOYA,  LUIS#CA#33#REP#2010#0.124313689
GRIFFIN,  MORRIS F#CA#33#DEM#2010#0.875686311
ANDION,  JAMES L#CA#33#REP#2010#0.124313689
MANDEL,  HOWARD C#CA#33#DEM#2010#0.875686311
JENNERJAHN,  PHIL#CA#33#REP#2010#0.124313689
MOSTERT,  NICK JUAN#CA#33#DEM#2010#0.875686311
CROWLEY,  DAVID COCHRANE II#CA#33#REP#2010#0.124313689
NEWELL,  FELTON#CA#33#DEM#2010#0.875686311
SANCHEZ,  DAVID#CA#34#DEM#2010#0.770946004
ROYBAL-ALLARD,  LUCILLE#CA#34#DEM#2010#0.770946004
MILLER,  WAYNE#CA#34#REP#2010#0.229053996
WATERS,  MAXINE#CA#35#DEM#2010#0.825823342
 EDMONDSON,  SULEIMAN CHARLES#CA#35#W#2010#0
BROWN,  K BRUCE#CA#35#REP#2010#0.132375574
SHARP,  ANDREW JAMES#CA#36#REP#2010#0.313556176
PETERS,  HERB#CA#36#LIB#2010#0
KESTERSON,  PETE#CA#36#REP#2010#0.313556176
HARMAN,  JANE#CA#36#DEM#2010#0.686443824
FEIN,  MATTIE#CA#36#REP#2010#0.313556176
WINOGRAD,  MARCY#CA#36#DEM#2010#0.686443824
PONCHAK,  TERRANCE#CA#37#DEM#2010#0.749446511
POUESI,  JUNE#CA#37#REP#2010#0
MATHEWS,  PETER MR.#CA#37#DEM#2010#0.749446511
DAVIS,  LEE#CA#37#DEM#2010#0.749446511
RICHARDSON,  LAURA#CA#37#DEM#2010#0.749446511
DIBS,  NICHOLAS (NICK)#CA#37#IND#2010#0.244071394
PARKER,  STAR#CA#37#REP#2010#0
NAPOLITANO,  GRACE#CA#38#DEM#2010#0.817271723
SMITH,  CHRIS#CA#38#REP#2010#0
TURNER,  TRACY LYNN#CA#38#IND#2010#0
VAUGHN,  ROBERT WILLIAM#CA#38#REP#2010#0
SMITH,  JOHN ALBERT#CA#39#IND#2010#0
SANCHEZ,  LINDA#CA#39#DEM#2010#0.696738997
ANDION,  JAMES L.#CA#39#REP#2010#0.303261003
ANDRE,  LARRY STEVEN#CA#39#REP#2010#0.303261003
AVALOS,  CHRISTINA#CA#40#DEM#2010#0.374509592
ROYCE,  ED MR#CA#40#REP#2010#0.625490408
STONE,  ERIC#CA#41#REP#2010#0.616490143
LEWIS,  JERRY#CA#41#REP#2010#0.616490143
MEAGHER,  PATRICK HAROLD#CA#41#DEM#2010#0.383509857
WILLIAMSON,  MICHAEL DALE#CA#42#DEM#2010#0.398419372
LAMBERT,  MARK#CA#42#LIB#2010#0
SU,  DAVID SEOKBEOM#CA#42#REP#2010#0.601580628
LIBERATORE,  PHILIP LAURENCE#CA#42#REP#2010#0.601580628
MILLER,  GARY G. G#CA#42#REP#2010#0.601580628
MCGROARTY,  LEE#CA#42#REP#2010#0.601580628
FOLKENS,  SCOTT LLOYD#CA#43#REP#2010#0.308562888
BACA,  JOE#CA#43#DEM#2010#0.691437112
CALVERT,  KEN#CA#44#REP#2010#0.511911656
RIGGS,  CHRISTOPHER SCOTT#CA#44#REP#2010#0.511911656
HEDRICK,  WILLIAM EUGENE#CA#44#DEM#2010#0.488088344
LUSSENHEIDE,  BILL#CA#45#AIP#2010#0
THIBODEAU,  CLAYTON DEL#CA#45#REP#2010#0.58291008
BONO MACK,  MARY#CA#45#REP#2010#0.58291008
POUGNET,  STEPHEN P#CA#45#DEM#2010#0.41708992
SHAH,  JAYENDRA ARVINDLAL DR#CA#46#DEM#2010#0.430777805
ROHRABACHER,  DANA#CA#46#REP#2010#0.525166768
LURIE,  BARAK#CA#46#REP#2010#0.525166768
ARNOLD,  KENNETH#CA#46#DEM#2010#0.430777805
IGLESIAS,  CECILIA PATRICIA#CA#47#IND#2010#0
SANCHEZ,  LORETTA#CA#47#DEM#2010#0.694895779
PHAM,  QUANG X#CA#47#REP#2010#0.254337131
SCHANK,  GARY 'JET'#CA#47#IND#2010#0
SMITH,  KATHERINE H#CA#47#REP#2010#0.254337131
NGUYEN,  TAN D#CA#47#REP#2010#0.254337131
TRAN,  VAN#CA#47#REP#2010#0.254337131
CAMPBELL,  JOHN BT III#CA#48#REP#2010#0.556063777
KROM,  BETH#CA#48#DEM#2010#0.406660793
BINKLEY,  MIKE#CA#48#LIB#2010#0.037275431
CLARK,  DION#CA#49#AIP#2010#0
PASTER,  MIKE#CA#49#LIB#2010#0.042514647
KATZ,  HOWARD LOUIS#CA#49#DEM#2010#0.374529439
ISSA,  DARRELL#CA#49#REP#2010#0.582955915
BUSBY,  FRANCINE P#CA#50#DEM#2010#0.451783402
ROBERTS,  DAVID W#CA#50#DEM#2010#0.451783402
EMBLEM,  TRACY#CA#50#DEM#2010#0.451783402
GROSSMITH,  LARS#CA#50#LIB#2010#0.045821079
CLARK,  MIRIAM E.#CA#50#PAF#2010#0
BILBRAY,  BRIAN P#CA#50#REP#2010#0.502395519
MCLEROY,  WILLIAM DAVID#CA#51#REP#2010#0.242094934
FILNER,  BOB#CA#51#DEM#2010#0.727491721
POPADITCH,  NICHOLAS ALLEN#CA#51#REP#2010#0.242094934
SHAPIRO,  MARCUS JAY#CA#51#W#2010#0
LINNELL,  TERRI RUTH#CA#52#REP#2010#0.563670924
LUTZ,  RAYMOND CLARK#CA#52#DEM#2010#0.389464049
BENOIT,  MICHAEL#CA#52#LIB#2010#0.046700194
FRANKOWIAK,  CONNIE#CA#52#DEM#2010#0.389464049
