Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year
HIGGINS, MICKEY VERNON,AR,1,UNK,2010
COOK, DAVID RAY,AR,1,DEM,2010
BRYLES, STEVE MARK,AR,1,DEM,2010
PONDER, BEN,AR,1,DEM,2010
CRAWFORD, ERIC ALAN RICK,AR,1,REP,2010
CAUSEY, CHAD,AR,1,DEM,2010
WOOLRIDGE, TYMOTHE (TIM) LYNN,AR,1,DEM,2010
MEEKS, DAVID MARK EMERSON,AR,2,REP,2010
KENNEDY, LEWIS,AR,2,GRE,2010
LEVI, LANCE,AR,2,IND,2010
SUITS, DANIAL,AR,2,UNK,2010
ELLIOTT, JOYCE ANN,AR,2,DEM,2010
WALLACE, SCOTT,AR,2,REP,2010
ADAMS, JOHN,AR,2,DEM,2010
KENNEDY, PATRICK,AR,2,DEM,2010
GRIFFIN, JOHN TIMOTHY,AR,2,REP,2010
WILLS, ROBERT DALE JR,AR,2,DEM,2010
BOLING, DAVID ALAN,AR,2,DEM,2010
MATAYO, DOUG,AR,3,REP,2010
SKOCH, BERNARD KURT 'BERNIE',AR,3,REP,2010
MADDOX, KURT E,AR,3,REP,2010
BLEDSOE, CECILE H,AR,3,REP,2010
WHITAKER, DAVID JEFFREY,AR,3,DEM,2010
WOMACK, STEVE,AR,3,REP,2010
MOORE, MIKE C,AR,3,REP,2010
LOWRY, STEVE MR.,AR,3,REP,2010
DELAY, ROBERT GUNNER,AR,3,REP,2010
DRAKE, JOSHUA,AR,4,GRE,2010
ROSS, MICHAEL AVERY,AR,4,DEM,2010
GALLAS, GLENN EDWARD,AR,4,REP,2010
RANKIN, BETH ANNE,AR,4,REP,2010
TUIKA, TUIKA,AS,0,NNE,2010
AUMUA, AMATA,AS,0,REP,2010
FALEOMAVAEGA, ENI,AS,0,DEM,2010
LANCASTER, ROSIE FUALA'AU TAGO,AS,0,IND,2010
PATTI, NICOLE,AZ,1,LIB,2010
TOBIN, ANDREW (ANDY),AZ,1,REP,2010
JARACZEWSKI, JOE,AZ,1,REP,2010
JENSEN, JON RICHARD,AZ,1,REP,2010
GRESSLEY, FORREST DAYL,AZ,1,REP,2010
BEAUCHAMP, BRADLEY DON,AZ,1,REP,2010
GOSAR, PAUL ANTHONY ANTHONY,AZ,1,REP,2010
BOWERS, RUSSELL WESLEY,AZ,1,REP,2010
HAY, SYDNEY,AZ,1,REP,2010
ZALESKI, THOMAS J,AZ,1,REP,2010
KIRKPATRICK, ANN,AZ,1,DEM,2010
MEHTA, STEVE,AZ,1,REP,2010
BLACK, CHARLES ROLAND,AZ,2,REP,2010
SCHALLENBERGER, STEVEN CRAIG,AZ,2,DEM,2010
GAMMILL, POWELL,AZ,2,LIB,2010
CRUM, WILLIAM STEPHEN,AZ,2,GRE,2010
THRASHER, JOHN ARMIN,AZ,2,DEM,2010
FRANKS, TRENT,AZ,2,REP,2010
ADAIR, CLAY,AZ,3,LIB,2010
SCOTT, BRIAN ALAN,AZ,3,IND,2010
WARING, JAMES F,AZ,3,REP,2010
WINKLER, EDWIN ROBERT MR,AZ,3,REP,2010
CLARK, LEONARD,AZ,3,GRE,2010
BAKER, SCOTT,AZ,3,REP,2010
SHOEN, MICHAEL LEONARD,AZ,3,LIB,2010
MOAK, STEVEN CARL,AZ,3,REP,2010
HULL, LEANN,AZ,3,REP,2010
CHARLES, ROBERT LINCOLN,AZ,3,REP,2010
GORMAN, PAMELA DIANE,AZ,3,REP,2010
PARKER, VERNON,AZ,3,REP,2010
CRUMP, SAMUEL TURRENTINE SR,AZ,3,REP,2010
QUAYLE, BEN,AZ,3,REP,2010
HULBURD, JON,AZ,3,DEM,2010
BRANCH, ROBERT ALLEN,AZ,3,REP,2010
MORRIS, PAULINA VASQUEZ,AZ,3,REP,2010
HILL, BRIAN,AZ,4,IND,2010
DEWITT, REBECCA,AZ,4,GRE,2010
PASTOR, ED L,AZ,4,DEM,2010
CONTRERAS, JANET L,AZ,4,REP,2010
PENALOSA, JOE,AZ,4,REP,2010
SPINKS, MARK VINCENT,AZ,5,REP,2010
SMITH, SUSAN BITTER,AZ,5,REP,2010
GENTRY, LEE ADAM,AZ,5,REP,2010
HILL, JONATHON RYAN,AZ,5,REP,2010
COONS, NICK,AZ,5,LIB,2010
SCHWEIKERT, DAVID,AZ,5,REP,2010
BLACKMAN, RYAN,AZ,5,GRE,2010
WNUCK, ERIC,AZ,5,REP,2010
WARD, JIM,AZ,5,REP,2010
SALVINO, CHRIS,AZ,5,REP,2010
MITCHELL, HARRY E.,AZ,5,DEM,2010
TAPP, DARELL,AZ,6,LIB,2010
BERGREN, SCOTT,AZ,6,REP,2010
SCHNEIDER, REBECCA,AZ,6,DEM,2010
FLAKE, JEFF MR.,AZ,6,REP,2010
GRAYSON, RICHARD,AZ,6,GRE,2010
SMITH, JEFFREY W,AZ,6,REP,2010
KELSEY, EASTON CLINT,AZ,6,REP,2010
WILSON, ROBERT,AZ,7,REP,2010
MCCLUNG, RUTH CRAWFORD,AZ,7,REP,2010
IBARRA, ANDREW,AZ,7,LIB,2010
KEANE, GEORGE,AZ,7,LIB,2010
MEYER, HARLEY DEAN,AZ,7,IND,2010
FLOWERS, CHRISTOPHER JOHN,AZ,7,REP,2010
SWEENEY, JOSEPH DUDLEY,AZ,7,REP,2010
MYERS, TERRY LON,AZ,7,REP,2010
GRIJALVA, RAUL M,AZ,7,DEM,2010
CARLSON, THOMAS A JR,AZ,8,REP,2010
GOSS, VINCENT ANDREW,AZ,8,REP,2010
MILLER, BRIAN ALLAN,AZ,8,REP,2010
QUICK, JAY DUDLEY,AZ,8,REP,2010
GIFFORDS, GABRIELLE,AZ,8,DEM,2010
STOLTZ, STEVEN,AZ,8,LIB,2010
PATON, JONATHAN,AZ,8,REP,2010
KELLY, JESSE,AZ,8,REP,2010
WOLMAN, CAROL STONE,CA,1,GRE,2010
FRANCK, RANDY,CA,1,REP,2010
RODRIGUES, MIKE,CA,1,LIB,2010
HANKS, LOREN L,CA,1,REP,2010
THOMPSON, MIKE MR.,CA,1,DEM,2010
JENSEN, MARK A.,CA,2,W,2010
REED, JAMES E,CA,2,DEM,2010
STIGLICH, PETER VINCENT,CA,2,REP,2010
HERGER, WALLY,CA,2,REP,2010
DURSTON, BILL,CA,3,DEM,2010
SLATON, BILL,CA,3,DEM,2010
DAVIS, GARY,CA,3,DEM,2010
LEIDECKER, JERRY L,CA,3,AIP,2010
ROSKEY, MICHAEL,CA,3,PAF,2010
LUNGREN, DANIEL E.,CA,3,REP,2010
FAVIS, STEVE DONALD,CA,3,IND,2010
BERA, AMERISH,CA,3,DEM,2010
BROWN, CHARLES,CA,4,DEM,2010
BABICH, MICHAEL,CA,4,REP,2010
EMERY, BENJAMIN 'BEN',CA,4,GRE,2010
CURTIS, CLINT,CA,4,DEM,2010
MCCLINTOCK, THOMAS,CA,4,REP,2010
LACY , TONY,CA,5,W,2010
FRINK, GERALD ALLEN,CA,5,PAF,2010
MATSUI, DORIS,CA,5,DEM,2010
SMITH, PAUL,CA,5,REP,2010
SMITT, ERIK,CA,5,REP,2010
ROMANOWSKY, PETER CHRISTIAN,CA,6,REP,2010
SMOLLEN, JOEL,CA,6,LIB,2010
RUYLE, EUGENE E,CA,6,PAF,2010
ROBERTS, DANIEL W,CA,6,AIP,2010
HALLIWELL, MIKE,CA,6,DEM,2010
WOOLSEY, LYNN C.,CA,6,DEM,2010
JUDD, JAMES O JR.,CA,6,REP,2010
PETERSEN, ROGER ALLEN,CA,7,REP,2010
FITZGERALD, JOHN,CA,7,DEM,2010
RAY, EUGENE,CA,7,REP,2010
MILLER, GEORGE,CA,7,DEM,2010
TUBBS, RICHARD STEPHEN II,CA,7,REP,2010
FULLER-KENDALL, VIRGINIA,CA,7,REP,2010
SHIELDS, SUMMER J,CA,8,W,2010
LA RIVA, GLORIA E,CA,8,PAF,2010
BERG, PHILIP ZIMT,CA,8,LIB,2010
WALSH, DANA,CA,8,REP,2010
PELOSI, NANCY,CA,8,DEM,2010
DENNIS, JOHN,CA,8,REP,2010
HASIMOTO, GERALD,CA,9,REP,2010
HELLER, DAVE,CA,9,GRE,2010
ALLEN, LARRY,CA,9,PAF,2010
EYER, JAMES M.,CA,9,LIB,2010
LEE, BARBARA,CA,9,DEM,2010
GARAMENDI, JOHN,CA,10,DEM,2010
ATTWOOD, TIFFANY,CA,10,DEM,2010
VANGUNDY, GINO W,CA,10,IND,2010
PETERSON, DAVID,CA,10,REP,2010
TOTH, JOHN RICHARD,CA,10,REP,2010
BUCHANAN, JOAN,CA,10,DEM,2010
MCILROY, MARY,CA,10,PAF,2010
DENHAM, JEROME 'JERRY',CA,10,AIP,2010
HAMPTON, ADRIEL,CA,10,DEM,2010
DESAULNIER, MARK,CA,10,DEM,2010
WOODS, ANTHONY MR,CA,10,DEM,2010
BUNCH, CHRISTOPHER N,CA,10,REP,2010
LOOS, MARK ALAN,CA,10,REP,2010
BURKE, BUDDY,CA,10,REP,2010
CLIFT, GARY WILLIAM,CA,10,REP,2010
CLOWARD, JEREMY,CA,10,GRE,2010
BEADLES, ROBERT,CA,11,REP,2010
HARMER, DAVID,CA,11,REP,2010
DEL ARROZ, JONATHAN MR.,CA,11,REP,2010
PEGRAM, LARRY,CA,11,REP,2010
CHRISTENSEN, DAVID,CA,11,AIP,2010
GOEHRING, BRAD,CA,11,REP,2010
MCNERNEY, JERRY,CA,11,DEM,2010
AMADOR, ANTONIO C,CA,11,REP,2010
EMKEN, ELIZABETH,CA,11,REP,2010
TAKADA, JEFFREY DAVID,CA,11,REP,2010
HARDING, JOSEPH MICHAEL,CA,12,NNE,2010
WILLIAMS, MARK PAUL,CA,12,LIB,2010
PARKER, MICHAEL DOUGLAS,CA,12,REP,2010
MOLONEY, MICHAEL J.,CA,12,REP,2010
SPEIER, JACKIE,CA,12,DEM,2010
BAKER, FOREST,CA,13,REP,2010
JELINCIC, JUSTIN,CA,13,DEM,2010
STARK, FORTNEY P.,CA,13,DEM,2010
GARCIA, LUIS 'COACH',CA,13,REP,2010
PAREJA, CHRISTOPHER JAMES,CA,13,W,2010
CHAPMAN, DAVE,CA,14,REP,2010
LAZAGA, PAUL,CA,14,LIB,2010
SANTANA, RONNY,CA,14,REP,2010
ESHOO, ANNA,CA,14,DEM,2010
BARICH, DON,CA,15,REP,2010
GORDON, KEVIN PATRICK,CA,15,REP,2010
SIMITIAN, S. JOSEPH,CA,15,DEM,2010
KIRKLAND, SCOTT SPENCER,CA,15,REP,2010
CHUKWU, RAYMOND LEMMY,CA,15,REP,2010
HONDA, MIKE,CA,15,DEM,2010
HOWELL, ROBERT PAUL,CA,16,REP,2010
LOFGREN, ZOE,CA,16,DEM,2010
SAHAGUN, DANIEL,CA,16,REP,2010
GONZALEZ, EDWARD M,CA,16,LIB,2010
TAYLOR, JEFFREY E,CA,17,REP,2010
KABAT, RONALD P.,CA,17,W,2010
CHANDLER, WILLIAM THARON,CA,17,IND,2010
ARNOLD, GARY RICHARD,CA,17,REP,2010
ANDRESEN, PETE,CA,17,REP,2010
PETERSEN, ERIC,CA,17,GRE,2010
LE BARRE, MICHAEL ROBERT,CA,17,REP,2010
LARKIN, MARY VIRGINIA,CA,17,LIB,2010
FARR, SAM,CA,17,DEM,2010
DUNN, ART,CA,17,DEM,2010
CARDOZA, DENNIS,CA,18,DEM,2010
BERRYHILL, MICHAEL CLARE SR,CA,18,REP,2010
DENHAM, JEFF,CA,19,REP,2010
ESTRADA, JOHN ANTHONY,CA,19,DEM,2010
WESTERLUND, LARRY,CA,19,REP,2010
POMBO, RICHARD W,CA,19,REP,2010
MARSDEN, LES,CA,19,DEM,2010
PATTERSON, NORWOOD JAMES JR,CA,19,REP,2010
GOODWIN, LORAINE,CA,19,DEM,2010
QUINTANAR, SERAFIN,CA,20,REP,2010
COSTA, JIM MR.,CA,20,DEM,2010
LAKE, RICHARD DAVID GEORGE,CA,20,REP,2010
MILLER, JOSHUA THOMAS COULSTON,CA,20,REP,2010
HAZE, ERNEST STEVEN,CA,20,DEM,2010
VIDAK, JAMES ANDREW,CA,20,REP,2010
MACARENO, RUBEN,CA,21,DEM,2010
NUNES, DEVIN G,CA,21,REP,2010
UEBERSAX, JOHN,CA,22,W,2010
MCCARTHY, KEVIN,CA,22,REP,2010
MILLER, CAROLE LEE,CA,23,REP,2010
STAFFORD, DARRELL M,CA,23,LIB,2010
DAVIDSON, JOHN,CA,23,REP,2010
STOCKDALE, DAVID R,CA,23,REP,2010
HAGER, JOHN VICTOR,CA,23,IND,2010
VANDEVENTER, CLARK,CA,23,REP,2010
CAPPS, LOIS G,CA,23,DEM,2010
WATSON, THOMAS C,CA,23,REP,2010
AGUIAR, LANCE,CA,24,UNK,2010
GALLEGLY, ELTON,CA,24,REP,2010
PANEC, MARIE,CA,24,DEM,2010
KALEMKARIAN, TIMOTHY CHARLES,CA,24,REP,2010
MARTINEZ, JILL MARIE,CA,24,DEM,2010
ALLISON, TIMOTHY JAMES,CA,24,DEM,2010
STERN, SHAWN,CA,24,DEM,2010
JORGENSEN, MARTA ANN,CA,24,DEM,2010
CONAWAY, JACQUESE LYNN,CA,25,DEM,2010
MCKEON, HOWARD P 'BUCK',CA,25,REP,2010
MILLER, DAVID LAWRENCE,CA,26,IND,2010
BUTLER, MARK,CA,26,REP,2010
WEISSBUNCH, RANDALL,CA,26,LIB,2010
DREIER, DAVID,CA,26,REP,2010
WARNER, RUSS,CA,26,DEM,2010
BROWN, ROBERT,CA,26,NNE,2010
DARIAN, BRUCE HARRY,CA,27,FED,2010
SHERMAN, BRAD,CA,27,DEM,2010
SINGH, NAVRAJ,CA,27,REP,2010
REED, MARK STEVEN SR,CA,27,REP,2010
WORMAN, JENNY,CA,28,REP,2010
BERMAN, HOWARD L.,CA,28,DEM,2010
RODRIQUEZ, CARLOS A,CA,28,LIB,2010
FROYD, ERIK MERLIN,CA,28,REP,2010
VALDEZ, RICHARD A,CA,28,DEM,2010
CUSHING, WILLIAM  (BILL) P,CA,29,LIB,2010
LARGE, MORTON R,CA,29,REP,2010
COLBERT, JOHN,CA,29,REP,2010
SCHIFF, ADAM,CA,29,DEM,2010
PORTANTINO, ANTHONY,CA,29,DEM,2010
MILLER, ERICH D,CA,30,LIB,2010
CASTALDO, RICHARD R,CA,30,PAF,2010
KOLSKI, CHRIS,CA,30,REP,2010
DAVID, ARI,CA,30,REP,2010
FLUTIE, ROBERT A MR,CA,30,REP,2010
BENNING, DAVID,CA,30,REP,2010
WILKERSON, CHARLES EDWARD,CA,30,REP,2010
WAXMAN, HENRY A.,CA,30,DEM,2010
SMITH, STEPHEN CARLTON,CA,31,REP,2010
BECERRA, XAVIER,CA,31,DEM,2010
GENOVESE, SAL,CA,31,W,2010
HERNANDEZ, TERESA,CA,32,REP,2010
TRUAX, DAVID ALLEN,CA,32,REP,2010
JOHNSON, HOWARD ESQ,CA,32,PAF,2010
SCHMERLING, EDWARD ,CA,32,REP,2010
BLAKE, M. WAYNE,CA,32,REP,2010
SANTANA, SALVADOR,CA,32,REP,2010
MORRISON, WILLIAM (RODRIGUEZ),CA,32,REP,2010
SCARBOROUGH, LARRY DEAN,CA,32,REP,2010
CEDILLO, GILBERT,CA,32,DEM,2010
NADAL, RAFAEL F.,CA,32,DEM,2010
WONG, MARGARITA MARIE,CA,32,DEM,2010
LYSENKO, STEFAN (CONTRERAS),CA,32,DEM,2010
DURAN, BENITA,CA,32,DEM,2010
ESTRADA, ANDRES,CA,32,DEM,2010
ALONSO, FRANCISCO,CA,32,DEM,2010
AGRELLA, CHRISTOPHER,CA,32,LIB,2010
ARIF, MOHAMMAD,CA,32,PAF,2010
PLEITZ, EMANUEL,CA,32,DEM,2010
CHU, BETTY,CA,32,REP,2010
RATHBUN, TERRENCE (TERRY),CA,32,REP,2010
ROMERO, GLORIA,CA,32,,2010
CHU, JUDY,CA,32,DEM,2010
BASS, KAREN,CA,33,DEM,2010
DEGROOT, BENJAMIN,CA,33,IND,2010
EVANS, MERVIN LEON,CA,33,DEM,2010
MONTOYA, LUIS,CA,33,REP,2010
GRIFFIN, MORRIS F,CA,33,DEM,2010
ANDION, JAMES L,CA,33,REP,2010
MANDEL, HOWARD C,CA,33,DEM,2010
JENNERJAHN, PHIL,CA,33,REP,2010
MOSTERT, NICK JUAN,CA,33,DEM,2010
CROWLEY, DAVID COCHRANE II,CA,33,REP,2010
NEWELL, FELTON,CA,33,DEM,2010
SANCHEZ, DAVID,CA,34,DEM,2010
ROYBAL-ALLARD, LUCILLE,CA,34,DEM,2010
MILLER, WAYNE,CA,34,REP,2010
WATERS, MAXINE,CA,35,DEM,2010
 EDMONDSON, SULEIMAN CHARLES,CA,35,W,2010
BROWN, K BRUCE,CA,35,REP,2010
SHARP, ANDREW JAMES,CA,36,REP,2010
PETERS, HERB,CA,36,LIB,2010
KESTERSON, PETE,CA,36,REP,2010
HARMAN, JANE,CA,36,DEM,2010
FEIN, MATTIE,CA,36,REP,2010
WINOGRAD, MARCY,CA,36,DEM,2010
PONCHAK, TERRANCE,CA,37,DEM,2010
POUESI, JUNE,CA,37,REP,2010
MATHEWS, PETER MR.,CA,37,DEM,2010
DAVIS, LEE,CA,37,DEM,2010
RICHARDSON, LAURA,CA,37,DEM,2010
DIBS, NICHOLAS (NICK),CA,37,IND,2010
PARKER, STAR,CA,37,REP,2010
NAPOLITANO, GRACE,CA,38,DEM,2010
SMITH, CHRIS,CA,38,REP,2010
TURNER, TRACY LYNN,CA,38,IND,2010
VAUGHN, ROBERT WILLIAM,CA,38,REP,2010
SMITH, JOHN ALBERT,CA,39,IND,2010
SANCHEZ, LINDA,CA,39,DEM,2010
ANDION, JAMES L.,CA,39,REP,2010
ANDRE, LARRY STEVEN,CA,39,REP,2010
AVALOS, CHRISTINA,CA,40,DEM,2010
ROYCE, ED MR,CA,40,REP,2010
STONE, ERIC,CA,41,REP,2010
LEWIS, JERRY,CA,41,REP,2010
MEAGHER, PATRICK HAROLD,CA,41,DEM,2010
WILLIAMSON, MICHAEL DALE,CA,42,DEM,2010
LAMBERT, MARK,CA,42,LIB,2010
SU, DAVID SEOKBEOM,CA,42,REP,2010
LIBERATORE, PHILIP LAURENCE,CA,42,REP,2010
MILLER, GARY G. G,CA,42,REP,2010
MCGROARTY, LEE,CA,42,REP,2010
FOLKENS, SCOTT LLOYD,CA,43,REP,2010
BACA, JOE,CA,43,DEM,2010
CALVERT, KEN,CA,44,REP,2010
RIGGS, CHRISTOPHER SCOTT,CA,44,REP,2010
HEDRICK, WILLIAM EUGENE,CA,44,DEM,2010
LUSSENHEIDE, BILL,CA,45,AIP,2010
THIBODEAU, CLAYTON DEL,CA,45,REP,2010
BONO MACK, MARY,CA,45,REP,2010
POUGNET, STEPHEN P,CA,45,DEM,2010
SHAH, JAYENDRA ARVINDLAL DR,CA,46,DEM,2010
ROHRABACHER, DANA,CA,46,REP,2010
LURIE, BARAK,CA,46,REP,2010
ARNOLD, KENNETH,CA,46,DEM,2010
IGLESIAS, CECILIA PATRICIA,CA,47,IND,2010
SANCHEZ, LORETTA,CA,47,DEM,2010
PHAM, QUANG X,CA,47,REP,2010
SCHANK, GARY 'JET',CA,47,IND,2010
SMITH, KATHERINE H,CA,47,REP,2010
NGUYEN, TAN D,CA,47,REP,2010
TRAN, VAN,CA,47,REP,2010
CAMPBELL, JOHN BT III,CA,48,REP,2010
KROM, BETH,CA,48,DEM,2010
BINKLEY, MIKE,CA,48,LIB,2010
CLARK, DION,CA,49,AIP,2010
PASTER, MIKE,CA,49,LIB,2010
KATZ, HOWARD LOUIS,CA,49,DEM,2010
ISSA, DARRELL,CA,49,REP,2010
BUSBY, FRANCINE P,CA,50,DEM,2010
ROBERTS, DAVID W,CA,50,DEM,2010
EMBLEM, TRACY,CA,50,DEM,2010
GROSSMITH, LARS,CA,50,LIB,2010
CLARK, MIRIAM E.,CA,50,PAF,2010
BILBRAY, BRIAN P,CA,50,REP,2010
MCLEROY, WILLIAM DAVID,CA,51,REP,2010
FILNER, BOB,CA,51,DEM,2010
POPADITCH, NICHOLAS ALLEN,CA,51,REP,2010
SHAPIRO, MARCUS JAY,CA,51,W,2010
LINNELL, TERRI RUTH,CA,52,REP,2010
LUTZ, RAYMOND CLARK,CA,52,DEM,2010
BENOIT, MICHAEL,CA,52,LIB,2010
FRANKOWIAK, CONNIE,CA,52,DEM,2010
HUNTER, DUNCAN D.,CA,52,REP,2010
MERRIMAN, CHARLES MILLER II,CA,53,REP,2010
WEAVER, CLARENCE MASON,CA,53,REP,2010
ARRINGTON, RANDALL STEVEN PHD,CA,53,REP,2010
DEKKER, PAUL,CA,53,LIB,2010
FINK, MARI HAMLIN,CA,53,REP,2010
FRIEDMAN, MATT,CA,53,REP,2010
DAVIS, SUSAN A,CA,53,DEM,2010
CRIMMINS, MICHAEL PETER,CA,53,REP,2010
COTTON, STANLEY S,CA,NA,DEM,2010
STANDLEY, KELLY D,CO,1,REP,2010
DEGETTE, DIANA L.,CO,1,DEM,2010
SCHITTER, JEFFREY,CO,1,LIB,2010
SWING, GARY,CO,1,GRE,2010
BARTON, STEVEN DR,CO,1,REP,2010
STYSKAL, CHRISTOPHER THOMAS,CO,1,CST,2010
FALLON, MICHAEL PETER,CO,1,REP,2010
JONES, CLINTON DOUGLAS,CO,1,LIB,2010
HAMMONS, WILLIAM ROBERT,CO,2,OTH,2010
GOSS, JENNA,CO,2,OTH,2010
POLKE, KENNETH JEFFREY DR,CO,2,REP,2010
RAIBOURN, HENRY,CO,2,DEM,2010
POLIS, JARED,CO,2,DEM,2010
BRANCATO, BOB,CO,2,REP,2010
HARRIS, CURTIS LEE,CO,2,LIB,2010
BAILEY, STEPHEN,CO,2,REP,2010
FRITZ, JIM,CO,3,UNK,2010
THOMPSON, DOUGLAS BOMAR,CO,3,REP,2010
BEESON, MARTIN C,CO,3,REP,2010
GILMAN, GREGORY,CO,3,LIB,2010
HARGIS, JOHN W., SR,CO,3,UNK,2010
MCCONNELL, ROBERT M,CO,3,REP,2010
SEGREST, JAKE,CO,3,IND,2010
SALAZAR, JOHN TONY MR.,CO,3,DEM,2010
TIPTON, SCOTT R. MR.,CO,3,REP,2010
NELSON, MICHAEL,CO,4,OTH,2010
ADEN, DOUG,CO,4,OTH,2010
MADERE, DEAN MATTHEW,CO,4,REP,2010
MARKEY, BETSY,CO,4,DEM,2010
BOWMAN, JASSEN,CO,4,LIB,2010
WASZKIEWICZ, KEN 'WASKO',CO,4,UNK,2010
FAHLANEIGH, ROCHE,CO,4,UNK,2010
BROWN, DIGGS,CO,4,REP,2010
LUCERO, THOMAS JOSEPH,CO,4,REP,2010
GARDNER, CORY SCOTT REP.,CO,4,REP,2010
SCOTT, BRIAN 'CONSTITUTION',CO,5,OTH,2010
LAMBORN, DOUGLAS,CO,5,REP,2010
KLAVER, JERELL,CO,5,LIB,2010
BRADLEY, KEVIN,CO,5,DEM,2010
KEARNS, MICHAEL SHAWN,CO,6,UNK,2010
MCNEALY, ROBERT LEE,CO,6,LIB,2010
FLERLAGE, JOHN,CO,6,DEM,2010
CANTER, DAVID,CO,6,DEM,2010
COFFMAN, MIKE,CO,6,REP,2010
SIAS, LANGHORNE C,CO,7,REP,2010
SHEELY, MICHEL L,CO,7,REP,2010
CAMPBELL, BRIAN T SR,CO,7,REP,2010
LAKEY, JIMMY,CO,7,REP,2010
PERLMUTTER, EDWIN G,CO,7,DEM,2010
MOORE, BUDDY,CO,7,UNK,2010
BAILEY, BUCK,CO,7,LIB,2010
DEMING, MICHAEL,CO,7,REP,2010
FRAZIER, RYAN L,CO,7,REP,2010
HUTCHINSON, CHRISTOPHER J,CT,1,OTH,2010
KRAYESKE, KENNETH JAMES,CT,1,GRE,2010
STEPANEK, DANIEL J,CT,1,W,2010
LARSON, JOHN B,CT,1,DEM,2010
VISCONTI, JOSEPH B,CT,1,REP,2010
ZYDANOWICZ, MARK,CT,1,REP,2010
BRICKLEY, ANN,CT,1,REP,2010
BIANCHI, MURIEL P.,CT,2,W,2010
DUBITSKY, DOUG,CT,2,REP,2010
PECKINPAUGH, JANET,CT,2,REP,2010
MULLEN, WESLEY MARTIN,CT,2,REP,2010
COURTNEY, JOSEPH D,CT,2,DEM,2010
DALY, MATTHEW MOULTON,CT,2,REP,2010
REALE, DANIEL J,CT,2,W,2010
DESHEFY, GREGORY SCOTT,CT,2,GRE,2010
NOVAK, DARIA IRENE,CT,2,REP,2010
PILLSBURY, CHARLES A,CT,3,GRE,2010
DELAURO, ROSA L,CT,3,DEM,2010
CHENEY, JEFFREY M,CT,3,REP,2010
LABRIOLA, JERRY JR.,CT,3,REP,2010
ROGERS, MARGARET H,CT,3,REP,2010
JOSEFF, MATTHEW JASON,CT,3,IND,2010
FLANAGAN, EUGENE,CT,4,W,2010
TORRES, ENRIQUE RAUL,CT,4,REP,2010
RUSSO, ROBERT,CT,4,REP,2010
DEBICELLA, DAN,CT,4,REP,2010
HERRMANN, THOMAS A,CT,4,REP,2010
GREGORY, WILL,CT,4,REP,2010
HIMES, JIM,CT,4,DEM,2010
MERKLE, ROBERT,CT,4,REP,2010
GREENBERG, MARK DANIEL,CT,5,REP,2010
SMITH, ELMON,CT,5,W,2010
EVANS, WILLIAM J JR,CT,5,REP,2010
WESTBY, KIE,CT,5,REP,2010
CARTER, DANIEL E,CT,5,REP,2010
MURPHY, CHRISTOPHER,CT,5,DEM,2010
