Bonner, Jo#AL#1#REP#2010#1
Levi, Lance#AR#2#IND#2010#0
Kennedy, Lewis#AR#2#GRE#2010#0.232176979
Suits, Danial#AR#2#WRI#2010#0.002397554
Womack, Steve#AR#3#REP#2010#0.78525503
Whitaker, David#AR#3#DEM#2010#0
Ross, Mike#AR#4#DEM#2010#0.861723379
Rankin, Beth Anne#AR#4#REP#2010#0
Drake, Josh#AR#4#GRE#2010#0.138276621
Thompson, Mike#CA#1#DEM#2010#0.681001955
Hanks, Loren#CA#1#REP#2010#0.233595665
Wolman, Carol#CA#1#GRE#2010#0.085354182
Rodrigues, Mike#CA#1#LIB#2010#0
Herger, Wally#CA#2#REP#2010#0.578949978
Reed, Jim#CA#2#DEM#2010#0.421050022
Jensen, Mark A.#CA#2#WRI#2010#0
Lungren, Dan#CA#3#REP#2010#0.494908389
Bera, Ami#CA#3#DEM#2010#0.439333728
Leidecker, Jerry L.#CA#3#OTHER#2010#0.042598855
Tuma, Douglas Arthur#CA#3#LIB#2010#0.023159028
Roskey, Mike#CA#3#OTHER#2010#0.042598855
McClintock, Tom#CA#4#REP#2010#0.50243388
Curtis, Clint#CA#4#DEM#2010#0.49756612
"""""""Emery, Benjamin """"""""Ben"""""""""""""""#CA#4#GRE#2010#0
Matsui, Doris#CA#5#DEM#2010#0.742655604
Smith, Paul A.#CA#5#REP#2010#0.208007958
Frink, Gerald Allen#CA#5#OTHER#2010#0.048522529
Lacy, Tony#CA#5#WRI#2010#0.000813909
Woolsey, Lynn C.#CA#6#DEM#2010#0.716913991
Judd, Jim#CA#6#REP#2010#0.240580968
Ruyle, Eugene E.#CA#6#OTHER#2010#0
Smollen, Joel#CA#6#LIB#2010#0.042505041
Miller, George#CA#7#DEM#2010#0.728201284
Tubbs, Rick#CA#7#REP#2010#0.217938179
Pelosi, Nancy#CA#8#DEM#2010#0.718661371
Dennis, John#CA#8#REP#2010#0.096807328
La Riva, Gloria E.#CA#8#OTHER#2010#0
Berg, Philip#CA#8#LIB#2010#0.022801292
Shields, Summer#CA#8#WRI#2010#5.26E-05
Lee, Barbara#CA#9#DEM#2010#0.860644813
Hashimoto, Gerald#CA#9#REP#2010#0.096963256
Heller, Dave#CA#9#GRE#2010#0
Eyer, James#CA#9#LIB#2010#0.042161383
Allen, Larry#CA#9#OTHER#2010#0
Garamendi, John#CA#10#DEM#2010#0.651249301
Clift, Gary#CA#10#REP#2010#0.311273356
Cloward, Jeremy#CA#10#GRE#2010#0
McNerney, Jerry#CA#11#DEM#2010#0.55272566
Harmer, David#CA#11#REP#2010#0.44723402
Christensen, David#CA#11#OTHER#2010#0
Speier, Jackie#CA#12#DEM#2010#0.751132646
Moloney, Mike#CA#12#REP#2010#0.184588519
Williams, Mark Paul#CA#12#LIB#2010#0.020925378
Harding, Joseph Michael#CA#12#WRI#2010#0
Stark, Fortney Pete#CA#13#DEM#2010#0.764302993
Baker, Forest#CA#13#REP#2010#0.235697007
Pareja, Chris#CA#13#WRI#2010#0
Eshoo, Anna G.#CA#14#DEM#2010#0.697671264
Chapman, Dave#CA#14#REP#2010#0.222205114
Lazaga, Paul#CA#14#LIB#2010#0.043733457
Honda, Mike#CA#15#DEM#2010#0.716617279
Kirkland, Scott#CA#15#REP#2010#0.232571493
Lofgren, Zoe#CA#16#DEM#2010#0.713403498
Sahagun, Daniel#CA#16#OTHER#2010#0
Gonzalez, Edward#CA#16#LIB#2010#0.046009536
Farr, Sam#CA#17#DEM#2010#0.738791738
Taylor, Jeff#CA#17#REP#2010#0.258225224
Petersen, Eric#CA#17#GRE#2010#0
Larkin, Mary V.#CA#17#LIB#2010#0
Kabat, Ronald P.#CA#17#WRI#2010#0.002983038
Cardoza, Dennis#CA#18#DEM#2010#1
Berryhill, Michael Clare, Sr.#CA#18#REP#2010#0
Denham, Jeff#CA#19#REP#2010#0.984316396
Goodwin, Loraine#CA#19#DEM#2010#0
Marsden, Les#CA#19#OTHER#2010#0
Costa, Jim#CA#20#DEM#2010#0.743345506
Vidak, Andy#CA#20#REP#2010#0.256654494
Nunes, Devin G.#CA#21#REP#2010#0.683926316
McCarthy, Kevin#CA#22#REP#2010#1
Uebersax, John#CA#22#WRI#2010#0
Capps, Lois#CA#23#DEM#2010#0.680743324
Watson, Tom#CA#23#REP#2010#0.319256676
Hager, John V.#CA#23#IND#2010#0
Stafford, Darrell M.#CA#23#LIB#2010#0
Gallegly, Elton#CA#24#REP#2010#0.5815392
Allison, Timothy J.#CA#24#DEM#2010#0.4184608
"""""""McKeon, Howard P. """"""""Buck"""""""""""""""#CA#25#REP#2010#0.577279928
Conaway, Jackie#CA#25#DEM#2010#0.422720072
Dreier, David#CA#26#REP#2010#0.526391645
Warner, Russ#CA#26#DEM#2010#0.404443529
Miller, David L.#CA#26#OTHER#2010#0
Weissbuch, Randall#CA#26#LIB#2010#0.069164826
Sherman, Brad#CA#27#DEM#2010#0.685094087
Reed, Mark#CA#27#REP#2010#0.248323819
Berman, Howard L.#CA#28#DEM#2010#0.99891005
Froyd, Merlin#CA#28#REP#2010#0
Rodriquez, Carlos A.#CA#28#LIB#2010#0
Schiff, Adam B.#CA#29#DEM#2010#0.689145109
Colbert, John P.#CA#29#REP#2010#0.267398559
Cushing, William P.#CA#29#LIB#2010#0.043456332
Waxman, Henry A.#CA#30#DEM#2010#1
Wilkerson, Charles E.#CA#30#REP#2010#0
Miller, Erich D.#CA#30#LIB#2010#0
Castaldo, Richard R.#CA#30#OTHER#2010#0
Becerra, Xavier#CA#31#DEM#2010#1
Genoves, Sal#CA#31#OTHER#2010#0
Smith, Stephen C.#CA#31#REP#2010#0
Chu, Judy#CA#32#DEM#2010#0.999938532
"""""""Schmerling, Edward """"""""Ed"""""""""""""""#CA#32#REP#2010#0
Bass, Karen#CA#33#DEM#2010#0.875686311
Andion, James L.#CA#33#REP#2010#0.124313689
Evans, Mervin Leon#CA#33#WRI#2010#0
Roybal-Allard, Lucille#CA#34#DEM#2010#0.770946004
Miller, Wayne#CA#34#REP#2010#0.229053996
Waters, Maxine#CA#35#DEM#2010#0.825823342
Brown, K. Bruce#CA#35#REP#2010#0.132375574
Edmondson, Suleiman Charles#CA#35#WRI#2010#0
Harman, Jane#CA#36#DEM#2010#0.686443824
Fein, Mattie#CA#36#REP#2010#0.313556176
Peters, Herb#CA#36#LIB#2010#0
Richardson, Laura#CA#37#DEM#2010#0.749446511
Parker, Star#CA#37#REP#2010#0
Dibs, Nicholas#CA#37#IND#2010#0.244071394
Napolitano, Grace F.#CA#38#DEM#2010#0.817271723
Vaughn, Robert#CA#38#REP#2010#0
Sanchez, Linda T.#CA#39#DEM#2010#0.696738997
Andre, Larry S.#CA#39#REP#2010#0.303261003
Smith, John A.#CA#39#OTHER#2010#0
Royce, Ed#CA#40#REP#2010#0.625490408
Avalos, Christina#CA#40#DEM#2010#0.374509592
Lewis, Jerry#CA#41#REP#2010#0.616490143
Meagher, Pat#CA#41#DEM#2010#0.383509857
Zander, Pamela#CA#41#WRI#2010#0
Miller, Gary G.#CA#42#REP#2010#0.601580628
Williamson, Michael#CA#42#DEM#2010#0.398419372
Lambert, Mark#CA#42#LIB#2010#0
Baca, Joe#CA#43#DEM#2010#0.691437112
Folkens, Scott#CA#43#REP#2010#0.308562888
Calvert, Ken#CA#44#REP#2010#0.511911656
Hedrick, Bill#CA#44#DEM#2010#0.488088344
Mack, Mary Bono#CA#45#REP#2010#0.58291008
Pougnet, Steve#CA#45#DEM#2010#0.41708992
Lussenheide, Bill#CA#45#OTHER#2010#0
Rohrabacher, Dana#CA#46#REP#2010#0.525166768
Arnold, Ken#CA#46#DEM#2010#0.430777805
Shah, Jay A.#CA#46#OTHER#2010#0
Sanchez, Loretta#CA#47#DEM#2010#0.694895779
Tran, Van#CA#47#REP#2010#0.254337131
"""""""Iglesias, Cecilia """"""""Ceci"""""""""""""""#CA#47#IND#2010#0
Campbell, John#CA#48#REP#2010#0.556063777
Krom, Beth#CA#48#DEM#2010#0.406660793
Binkley, Mike#CA#48#LIB#2010#0.037275431
Issa, Darrell#CA#49#REP#2010#0.582955915
Katz, Howard#CA#49#DEM#2010#0.374529439
Clark, Dion#CA#49#OTHER#2010#0
Paster, Mike#CA#49#LIB#2010#0.042514647
Bilbray, Brian P.#CA#50#REP#2010#0.502395519
Busby, Francine#CA#50#DEM#2010#0.451783402
Grossmith, Lars#CA#50#LIB#2010#0.045821079
Clark, Miriam E.#CA#50#OTHER#2010#0
Filner, Bob#CA#51#DEM#2010#0.727491721
Popaditch, Nick#CA#51#REP#2010#0.242094934
Shapiro, Marcus Jay#CA#51#WRI#2010#0
Hunter, Duncan D.#CA#52#REP#2010#0.563670924
Lutz, Ray#CA#52#DEM#2010#0.389464049
Benoit, Michael#CA#52#LIB#2010#0.046700194
Davis, Susan A.#CA#53#DEM#2010#0.684867242
Crimmins, Michael#CA#53#REP#2010#0.274507307
Dekker, Paul#CA#53#LIB#2010#0.040625451
DeGette, Diana#CO#1#DEM#2010#0.719352937
Fallon, Mike#CO#1#REP#2010#0.237762534
Swing, Gary#CO#1#GRE#2010#0
Jones, Clint#CO#1#LIB#2010#0.042845694
Styskal, Chris#CO#1#OTHER#2010#0
Polis, Jared#CO#2#DEM#2010#0.625971175
Bailey, Stephen#CO#2#REP#2010#0.338587455
Goss, Jenna#CO#2#OTHER#2010#0.006317721
Harris, Curtis#CO#2#LIB#2010#0
Raibourn, Henry#CO#2#WRI#2010#0
Tipton, Scott R.#CO#3#REP#2010#0.383872521
Salazar, John#CO#3#DEM#2010#0.616127479
Gilman, Gregory#CO#3#LIB#2010#0
Segrest, Jake#CO#3#OTHER#2010#0
Hargis, John W., Sr#CO#3#WRI#2010#0
Fritz, James#CO#3#WRI#2010#0
Gardner, Cory#CO#4#REP#2010#0.438031304
Markey, Betsy#CO#4#DEM#2010#0.561968696
Aden, Doug#CO#4#OTHER#2010#0
"""""""Waszkiewicz, Ken """"""""Wasko"""""""""""""""#CO#4#OTHER#2010#0
Lamborn, Doug#CO#5#REP#2010#0.600301496
Bradley, Kevin#CO#5#DEM#2010#0.370404234
"""""""Scott, Brian """"""""Barron X"""""""""""""""#CO#5#OTHER#2010#0.029146799
Klaver, Jerell#CO#5#LIB#2010#0
Coffman, Mike#CO#6#REP#2010#0.606689431
Flerlage, John#CO#6#DEM#2010#0.393310569
McNealy, Rob#CO#6#LIB#2010#0
Kearns, Michael Shawn#CO#6#WRI#2010#0
Perlmutter, Ed#CO#7#DEM#2010#0.634820471
Frazier, Ryan#CO#7#REP#2010#0.365179529
Bailey, Buck#CO#7#LIB#2010#0
Larson, John B.#CT#1#OTHER#2010#0.715574322
Brickley, Ann#CT#1#REP#2010#0.260051361
Krayeske, Kenneth J.#CT#1#GRE#2010#0.024364167
Hutchinson, Christopher J.#CT#1#OTHER#2010#0.715574322
Stepanek, Daniel J.#CT#1#WRI#2010#1.02E-05
Courtney, Joe#CT#2#OTHER#2010#0.656721593
Peckinpaugh, Janet#CT#2#REP#2010#0.323717423
Deshefy, G. Scott#CT#2#GRE#2010#0.019502168
Reale, Daniel#CT#2#WRI#2010#5.88E-05
Bianchi, Muriel P.#CT#2#WRI#2010#5.88E-05
DeLauro, Rosa L.#CT#3#OTHER#2010#0.77403083
Labriola, Jerry, Jr.#CT#3#REP#2010#0.197005058
Pillsbury, Charles A.#CT#3#GRE#2010#0.028964112
Itshaky, Boaz#CT#3#WRI#2010#0
Himes, Jim#CT#4#OTHER#2010#0.513236132
Debicella, Dan#CT#4#REP#2010#0.475600435
Flanagan, Eugene#CT#4#WRI#2010#3.24E-05
Murphy, Chris#CT#5#OTHER#2010#0.592509012
Caligiuri, Sam S. F.#CT#5#OTHER#2010#0.592509012
Pistone, John#CT#5#WRI#2010#3.30E-05
Smith, Elmon#CT#5#WRI#2010#3.30E-05
Carney, John C., Jr.#DE#0#DEM#2010#0.379897109
Urquhart, Glen#DE#0#REP#2010#0.610799648
Lofland, Earl R.#DE#0#OTHER#2010#0
Wangen, Brent A.#DE#0#LIB#2010#0.009303243
Brown, Jeffrey#DE#0#OTHER#2010#0
Miller, Jeff#FL#1#REP#2010#0.701840317
Cantrell, Joe#FL#1#NON#2010#0
Krause, John#FL#1#NON#2010#0
Bryan, Jim#FL#1#WRI#2010#0
Southerland, Steve#FL#2#REP#2010#0.380755037
Boyd, Allen#FL#2#DEM#2010#0.618791153
McKain, Paul C.#FL#2#NON#2010#0
Berryhill, Dianne#FL#2#NON#2010#0
Netherwood, Ray#FL#2#WRI#2010#0.00045381
Brown, Corinne#FL#3#DEM#2010#1
"""""""Yost, Michael """"""""Mike"""""""""""""""#FL#3#REP#2010#0
Martin-Back, Terry#FL#3#NON#2010#0
Crenshaw, Ander#FL#4#REP#2010#0.652546864
Stanley, Troy D.#FL#4#NON#2010#0
"""""""Pueschel, Deborah """"""""Deb"""""""" Katz"""""""#FL#4#WRI#2010#0
Koniz, Gary L.#FL#4#WRI#2010#0
"""""""Nugent, Richard B. """"""""Rich"""""""""""""""#FL#5#REP#2010#0.611546196
"""""""Piccillo, James """"""""Jim"""""""""""""""#FL#5#DEM#2010#0.388453804
"""""""Stearns, Clifford B. """"""""Cliff"""""""""""""""#FL#6#REP#2010#0.608875151
Schonberg, Steve#FL#6#NON#2010#0
Mica, John L.#FL#7#REP#2010#0.620033609
Beaven, Heather#FL#7#DEM#2010#0.379966391
Webster, Daniel#FL#8#REP#2010#0.479894326
Grayson, Alan#FL#8#DEM#2010#0.520105674
Dunmire, Peg#FL#8#OTHER#2010#0
Metcalfe, George L.#FL#8#NON#2010#0
Gerritzen, Steven J.#FL#8#WRI#2010#0
Bilirakis, Gus Michael#FL#9#REP#2010#0.621712622
de Palma, Anita#FL#9#DEM#2010#0.362669285
Young, C.W. Bill#FL#10#REP#2010#0.606802337
Justice, Charlie#FL#10#DEM#2010#0.393167784
Castor, Kathy#FL#11#DEM#2010#0.716558142
Prendergast, Mike#FL#11#REP#2010#0.283441858
Ross, Dennis A.#FL#12#REP#2010#0.574626427
Edwards, Lori#FL#12#DEM#2010#0.425373573
Wilkinson, Randy#FL#12#OTHER#2010#0
Buchanan, Vern#FL#13#REP#2010#0.555391906
Golden, James T.#FL#13#DEM#2010#0.374914401
Mack, Connie#FL#14#REP#2010#0.594356574
Roach, James Lloyd#FL#14#DEM#2010#0.247664009
St. Claire, William Maverick#FL#14#NON#2010#0.157979417
Posey, Bill#FL#15#REP#2010#0.530993089
Roberts, Shannon#FL#15#DEM#2010#0.419903778
Rooney, Tom#FL#16#REP#2010#0.600932864
Horn, Jim#FL#16#DEM#2010#0.399067136
Dean, William#FL#16#WRI#2010#0
Wilson, Frederica S.#FL#17#DEM#2010#1
Vereen, Roderick D.#FL#17#NON#2010#0
Ros-Lehtinen, Ileana#FL#18#REP#2010#0.578696978
Banciella, Rolando A.#FL#18#DEM#2010#0.421303022
Deutch, Ted#FL#19#DEM#2010#0.661572495
Budd, Joe#FL#19#REP#2010#0.272376452
Smilan, Stan#FL#19#WRI#2010#0
Schultz, Debbie Wasserman#FL#20#DEM#2010#0.774762318
Harrington, Karen#FL#20#REP#2010#0
Blumenthal, Stanley#FL#20#NON#2010#0.225203305
Kunst, Robert#FL#20#NON#2010#0.225203305
Schock, Clayton#FL#20#WRI#2010#3.44E-05
Diaz-Balart, Mario#FL#21#REP#2010#0.579007772
West, Allen#FL#22#REP#2010#0.453189542
Klein, Ron#FL#22#DEM#2010#0.54679105
Hastings, Alcee L.#FL#23#DEM#2010#0.821826291
Sansaricq, Bernard#FL#23#REP#2010#0.17798351
"""""""Adams, Sandra """"""""Sandy"""""""""""""""#FL#24#REP#2010#0.411140591
Kosmas, Suzanne#FL#24#DEM#2010#0.572011804
Ruiz, Nicholas, III#FL#24#WRI#2010#0
Rivera, David#FL#25#REP#2010#0.530543835
Garcia, Joe#FL#25#DEM#2010#0.469456165
Arrojo, Roly#FL#25#OTHER#2010#0
Porter, Craig#FL#25#OTHER#2010#0
Kingston, Jack#GA#1#REP#2010#0.665332446
Harris, Oscar L., II#GA#1#DEM#2010#0.334667554
Bishop, Sanford#GA#2#DEM#2010#0.689489351
Keown, Mike#GA#2#REP#2010#0.310510649
Westmoreland, Lynn#GA#3#REP#2010#0.656941444
Saunders, Frank#GA#3#DEM#2010#0.343049799
Agrawal, Jagdish#GA#3#WRI#2010#8.76E-06
Johnson, Hank, Jr.#GA#4#DEM#2010#0.999109901
"""""""Carter, Lisbeth """"""""Liz"""""""""""""""#GA#4#REP#2010#0
Lewis, John#GA#5#DEM#2010#0.999542065
Little, Fenn#GA#5#REP#2010#0
Price, Tom#GA#6#REP#2010#0.68482656
Greenberg, Sean#GA#6#WRI#2010#0
Woodall, Rob#GA#7#REP#2010#0.620284256
Heckman, Doug#GA#7#DEM#2010#0.379715744
Scott, Austin#GA#8#REP#2010#0.427563008
Marshall, Jim#GA#8#DEM#2010#0.572436992
Graves, Tom#GA#9#REP#2010#0.755105371
Broun, Paul#GA#10#REP#2010#0.607273649
Edwards, Russell#GA#10#DEM#2010#0.392726351
Gingrey, Phil#GA#11#REP#2010#0.681859794
Barrow, John#GA#12#DEM#2010#0.66000361
Mckinney, Raymond#GA#12#REP#2010#0.33999639
Scott, David#GA#13#DEM#2010#0.690449606
Crane, Mike#GA#13#REP#2010#0.309550394
Hanabusa, Colleen#HI#1#DEM#2010#0.771360114
Djou, Charles#HI#1#REP#2010#0.190654121
Hirono, Mazie#HI#2#DEM#2010#0.760611985
Willoughby, John W.#HI#2#REP#2010#0.203864827
Brock, Pat#HI#2#LIB#2010#0.016974586
Von Sonn, Andrew Vsevolod#HI#2#OTHER#2010#0
Labrador, Raul R.#ID#1#REP#2010#0.493942489
Minnick, Walt#ID#1#DEM#2010#0.506057511
Olson, Dave#ID#1#IND#2010#0
Washburn, Mike#ID#1#LIB#2010#0
Simpson, Mike#ID#2#REP#2010#0.708923164
Crawford, Mike#ID#2#DEM#2010#0.288968433
Schad, Brian#ID#2#IND#2010#0
Rush, Bobby L.#IL#1#DEM#2010#0.858653559
Wardingley, Raymond G.#IL#1#OTHER#2010#0
Adams, Jeff#IL#1#GRE#2010#0
Jackson, Jesse L., Jr.#IL#2#DEM#2010#0.894136251
Hayes, Isaac C.#IL#2#REP#2010#0.105853064
Williams, Anthony W.#IL#2#GRE#2010#0
Lipinski, Daniel William#IL#3#DEM#2010#0.73275335
Bendas, Michael A.#IL#3#REP#2010#0.213719196
Schmidt, Laurel Lambert#IL#3#GRE#2010#0.053527454
Gutierrez, Luis V.#IL#4#DEM#2010#0.806047018
Vasquez, Israel#IL#4#REP#2010#0.114780167
Burns, Robert J.#IL#4#GRE#2010#0.079172815
Quigley, Mike#IL#5#DEM#2010#0.739427958
Ratowitz, David#IL#5#REP#2010#0.220367098
Reichel, Matthew#IL#5#GRE#2010#0.040204944
Roskam, Peter J.#IL#6#REP#2010#0.575704616
Lowe, Benjamin S.#IL#6#DEM#2010#0.424295384
Davis, Danny K.#IL#7#DEM#2010#0.850175387
Weiman, Mark M.#IL#7#REP#2010#0.149824613
Clemons, Clarence Desmond#IL#7#IND#2010#0
Walsh, Joe#IL#8#REP#2010#0.392795872
Bean, Melissa#IL#8#DEM#2010#0.607204128
Scheurer, Bill#IL#8#GRE#2010#0
Schakowsky, Janice D.#IL#9#DEM#2010#0.746624866
Pollak, Joel Barry#IL#9#REP#2010#0.219919243
Ribeiro, Simon#IL#9#GRE#2010#0.033402546
Dold, Robert#IL#10#REP#2010#0.525588997
Seals, Daniel J.#IL#10#DEM#2010#0.474411003
Brumfield, Author C.#IL#10#WRI#2010#0
Kinzinger, Adam#IL#11#REP#2010#0.344793092
"""""""Halvorson, Deborah """"""""Debbie"""""""""""""""#IL#11#DEM#2010#0.584004152
Costello, Jerry F.#IL#12#DEM#2010#0.713965679
Newman, Teri#IL#12#REP#2010#0.249452514
Jennings, Rodger W.#IL#12#GRE#2010#0.036578454
Biggert, Judy#IL#13#REP#2010#0.53553443
Harper, Scott#IL#13#DEM#2010#0.436479153
"""""""Hultgren, Randall M. """"""""Randy"""""""""""""""#IL#14#REP#2010#0.422519989
Foster, Bill#IL#14#DEM#2010#0.577480011
Kairis, Daniel J.#IL#14#GRE#2010#0
Marks, Doug#IL#14#WRI#2010#0
Johnson, Timothy V.#IL#15#REP#2010#0.6418937
Gill, David#IL#15#DEM#2010#0.3581063
Manzullo, Donald A.#IL#16#REP#2010#0.608670168
Gaulrapp, George W.#IL#16#DEM#2010#0.360796874
Campbell, Terry G.#IL#16#GRE#2010#0.030532958
Schilling, Bobby#IL#17#REP#2010#0
Hare, Phil#IL#17#DEM#2010#0.997665682
Davis, Roger K.#IL#17#GRE#2010#0
Schock, Aaron#IL#18#REP#2010#0.588829623
"""""""Hirner, Deirdre """"""""DK"""""""""""""""#IL#18#DEM#2010#0.379382627
Schafer, Sheldon#IL#18#GRE#2010#0.031787751
Shimkus, John M.#IL#19#REP#2010#0.644616891
Bagwell, Tim#IL#19#DEM#2010#0.333782229
Visclosky, Peter J.#IN#1#DEM#2010#0.709001425
Leyva, Mark#IN#1#REP#2010#0.27177667
Morris, Jon#IN#1#LIB#2010#0.019221905
Donnelly, Joe#IN#2#DEM#2010#0.670909911
Walorski, Jackie#IN#2#REP#2010#0.302331159
Vogel, Mark#IN#2#LIB#2010#0.02675893
Stutzman, Marlin A.#IN#3#REP#2010#0.550387268
Hayhurst, Thomas#IN#3#DEM#2010#0.397021341
Wise, Scott#IN#3#LIB#2010#0.052591391
Metzger, Tom#IN#3#WRI#2010#0
Stephens, Wes#IN#3#WRI#2010#0
Rokita, Todd#IN#4#REP#2010#0.598717518
Sanders, David#IN#4#DEM#2010#0.401282482
Duncan, John#IN#4#LIB#2010#0
Burton, Dan#IN#5#REP#2010#0.655487039
Crawford, Tim#IN#5#DEM#2010#0.344512961
Reid, Richard (Chard)#IN#5#LIB#2010#0
Trueblood, Jesse C.#IN#5#IND#2010#0
Pence, Mike#IN#6#REP#2010#0.639519567
Welsh, Barry#IN#6#DEM#2010#0.333785392
Thompson, Talmage (T.J.), Jr.#IN#6#LIB#2010#0.026695041
Carson, Andre D.#IN#7#DEM#2010#0.650775163
Scott, Marvin B.#IN#7#REP#2010#0.34920976
Wilson, Dav#IN#7#LIB#2010#0
Bucshon, Larry D.#IN#8#REP#2010#0.35259828
VanHaaften, W. Trent#IN#8#DEM#2010#0.64740172
Cunningham, John#IN#8#LIB#2010#0
Young, Todd#IN#9#REP#2010#0.384090069
Hill, Baron P.#IN#9#DEM#2010#0.577688621
"""""""Knott, Greg """"""""No Bull"""""""""""""""#IN#9#LIB#2010#0.03822131
Lucas, Jerry R.#IN#9#WRI#2010#0
Braley, Bruce#IA#1#DEM#2010#0.646066406
Lange, Benjamin M.#IA#1#REP#2010#0.353933594
Petsche, Rob J.#IA#1#LIB#2010#0
Faulkner, Jason A.#IA#1#OTHER#2010#0
Loebsack, Dave#IA#2#DEM#2010#0.572426388
Miller-Meeks, Mariannette#IA#2#REP#2010#0.388040392
Sicard, Gary#IA#2#LIB#2010#0
Tack, Jon#IA#2#OTHER#2010#0.017762343
Boswell, Leonard L.#IA#3#DEM#2010#0.564036998
Zaun, Brad#IA#3#REP#2010#0.421299647
Williamson, Rebecca#IA#3#OTHER#2010#0.014663355
Latham, Tom#IA#4#REP#2010#0.605668117
Maske, Bill#IA#4#DEM#2010#0.394331883
Lensing, Dan#IA#4#OTHER#2010#0
King, Steve#IA#5#REP#2010#0.598377853
Campbell, Matthew#IA#5#DEM#2010#0.373825707
Monroe, Martin James#IA#5#OTHER#2010#0
Huelskamp, Tim#KS#1#REP#2010#0.818804932
Jilka, Alan#KS#1#DEM#2010#0.132700065
Warner, Jack#KS#1#LIB#2010#0.02122682
Jenkins, Lynn#KS#2#REP#2010#0.506111133
Hudspeth, Cheryl#KS#2#DEM#2010#0.462119437
Garrard, Robert#KS#2#LIB#2010#0.015238783
Yoder, Kevin#KS#3#REP#2010#0.396555183
Moore, Stephene#KS#3#DEM#2010#0.564404305
Talbert, Jasmin#KS#3#LIB#2010#0.028069599
Pompeo, Mike#KS#4#REP#2010#0.634099583
Goyle, Raj#KS#4#DEM#2010#0.32382394
Ducey, Susan G.#KS#4#OTHER#2010#0.02299462
Smith, Shawn#KS#4#LIB#2010#0.019081857
Whitfield, Edward#KY#1#REP#2010#0.643482691
Hatchett, Charles Kendall#KY#1#DEM#2010#0.356499245
Guthrie, S. Brett#KY#2#REP#2010#0.525729785
Marksberry, Ed#KY#2#DEM#2010#0.474270215
Yarmuth, John#KY#3#DEM#2010#0.593654076
Lally, Todd#KY#3#REP#2010#0.406345924
Martin, Edward A.#KY#3#LIB#2010#0
Hansen, Michael D.#KY#3#IND#2010#0
Davis, Geoff#KY#4#REP#2010#0.630337455
Waltz, John#KY#4#DEM#2010#0.369662545
"""""""Rogers, Harold """"""""Hal"""""""""""""""#KY#5#REP#2010#0.841096984
"""""""Holbert, James E. """"""""Jim"""""""""""""""#KY#5#DEM#2010#0
Chandler, Ben#KY#6#DEM#2010#0.646578368
"""""""Barr, Garland """"""""Andy"""""""""""""""#KY#6#REP#2010#0.353421632
