Bonner, Jo#AL#1#REP#2008#210660#1
Winston, Charel#CA#16#REP#2008#49399#0.240586966
Wells, Steven#CA#16#LIB#2008#9447#0.046009536
Farr, Sam#CA#17#DEM#2008#168907#0.738791738
Taylor, Jeff#CA#17#REP#2008#59037#0.258225224
Andresen, Peter#CA#17#WRI#2008#682#0.002983038
Cardoza, Dennis A.#CA#18#DEM#2008#130192#1
Radanovich, George P.#CA#19#REP#2008#179245#0.984316396
Leinau, Peter#CA#19#WRI#2008#2490#0.013673731
Rockey, Phil#CA#19#WRI#2008#366#0.002009874
Costa, Jim#CA#20#DEM#2008#93023#0.743345506
Lopez, Jim#CA#20#REP#2008#32118#0.256654494
Nunes, Devin G.#CA#21#REP#2008#143498#0.683926316
Johnson, Larry#CA#21#DEM#2008#66317#0.316073684
McCarthy, Kevin#CA#22#REP#2008#224549#1
Capps, Lois#CA#23#DEM#2008#171403#0.680743324
Kokkonen, Matt T.#CA#23#REP#2008#80385#0.319256676
Gallegly, Elton#CA#24#REP#2008#174492#0.5815392
Jorgensen, Marta Ann#CA#24#DEM#2008#125560#0.4184608
"""McKeon, Howard P. """"Buck"""""""#CA#25#REP#2008#144660#0.577279928
Conaway, Jackie#CA#25#DEM#2008#105929#0.422720072
Dreier, David#CA#26#REP#2008#140615#0.526391645
Warner, Russ#CA#26#DEM#2008#108039#0.404443529
Brown, Ted#CA#26#LIB#2008#18476#0.069164826
Sherman, Brad#CA#27#DEM#2008#145812#0.685094087
Singh, Navraj#CA#27#REP#2008#52852#0.248323819
Denton, Tim#CA#27#LIB#2008#14171#0.066582094
Berman, Howard L.#CA#28#DEM#2008#137471#0.99891005
Koch, Michael J.#CA#28#WRI#2008#150#0.00108995
Schiff, Adam B.#CA#29#DEM#2008#146198#0.689145109
Hahn, Charles#CA#29#REP#2008#56727#0.267398559
Pyeatt, Alan#CA#29#LIB#2008#9219#0.043456332
Waxman, Henry A.#CA#30#DEM#2008#242792#1
Becerra, Xavier#CA#31#DEM#2008#110955#1
Solis, Hilda L.#CA#32#DEM#2008#130142#0.999938532
Osunwa, Innocent O.#CA#32#WRI#2008#8#6.15E-05
Watson, Diane E.#CA#33#DEM#2008#186924#0.875686311
Crowley, David C., II#CA#33#REP#2008#26536#0.124313689
Roybal-Allard, Lucille#CA#34#DEM#2008#98503#0.770946004
Balding, Christopher#CA#34#REP#2008#29266#0.229053996
Waters, Maxine#CA#35#DEM#2008#150778#0.825823342
Hayes, Ted#CA#35#REP#2008#24169#0.132375574
Peters, Herb#CA#35#LIB#2008#7632#0.041801083
Harman, Jane#CA#36#DEM#2008#171948#0.686443824
Gibson, Brian#CA#36#REP#2008#78543#0.313556176
Richardson, Laura#CA#37#DEM#2008#131342#0.749446511
Davis, Lee#CA#37#OTHER#2008#10#5.71E-05
"""Dibs, Nicholas """"Nick"""""""#CA#37#IND#2008#42774#0.244071394
Mathews, Peter#CA#37#WRI#2008#600#0.003423641
Pouesi, June Viena#CA#37#WRI#2008#526#0.003001392
Napolitano, Grace F.#CA#38#DEM#2008#130211#0.817271723
Agrella, Christopher M.#CA#38#LIB#2008#29113#0.182728277
Sanchez, Linda T.#CA#39#DEM#2008#125289#0.696738997
Lenning, Diane A.#CA#39#REP#2008#54533#0.303261003
Royce, Ed#CA#40#REP#2008#144923#0.625490408
Avalos, Christina#CA#40#DEM#2008#86772#0.374509592
Lewis, Jerry#CA#41#REP#2008#159486#0.616490143
Prince, Tim#CA#41#DEM#2008#99214#0.383509857
Miller, Gary G.#CA#42#REP#2008#158404#0.601580628
"""Chau, Edwin """"Ed"""""""#CA#42#DEM#2008#104909#0.398419372
Baca, Joe#CA#43#DEM#2008#108259#0.691437112
Roberts, John#CA#43#REP#2008#48312#0.308562888
Calvert, Ken#CA#44#REP#2008#129937#0.511911656
Hedrick, Bill#CA#44#DEM#2008#123890#0.488088344
Mack, Mary Bono#CA#45#REP#2008#155166#0.58291008
Bornstein, Julie#CA#45#DEM#2008#111026#0.41708992
Rohrabacher, Dana#CA#46#REP#2008#149818#0.525166768
Cook, Debbie#CA#46#DEM#2008#122891#0.430777805
Lash, Thomas#CA#46#GRE#2008#8257#0.028943798
Gasteiger, Ernst P.#CA#46#LIB#2008#4311#0.015111628
Sanchez, Loretta#CA#47#DEM#2008#85878#0.694895779
"""Avila, Rosemarie """"Rosie"""""""#CA#47#REP#2008#31432#0.254337131
Lauten, Robert#CA#47#OTHER#2008#6274#0.05076709
Campbell, John#CA#48#REP#2008#171658#0.556063777
Young, Steve#CA#48#DEM#2008#125537#0.406660793
Patterson, Don#CA#48#LIB#2008#11507#0.037275431
Issa, Darrell#CA#49#REP#2008#140300#0.582955915
Hamilton, Robert#CA#49#DEM#2008#90138#0.374529439
Grossmith, Lars R.#CA#49#LIB#2008#10232#0.042514647
Bilbray, Brian#CA#50#REP#2008#157502#0.502395519
Leibham, Nick#CA#50#DEM#2008#141635#0.451783402
Dunlap, Wayne#CA#50#LIB#2008#14365#0.045821079
Filner, Bob#CA#51#DEM#2008#148281#0.727491721
Joy, David Lee#CA#51#REP#2008#49345#0.242094934
"""Litwin, Dan """"Frodo"""""""#CA#51#LIB#2008#6199#0.030413345
Hunter, Duncan D.#CA#52#REP#2008#160724#0.563670924
Lumpkin, Mike#CA#52#DEM#2008#111051#0.389464049
Benoit, Michael#CA#52#LIB#2008#13316#0.046700194
Ryan, Joseph M.#CA#52#WRI#2008#47#0.000164832
Davis, Susan A.#CA#53#DEM#2008#161315#0.684867242
Crimmins, Michael#CA#53#REP#2008#64658#0.274507307
Teyssier, Edward M.#CA#53#LIB#2008#9569#0.040625451
DeGette, Diana#CO#1#DEM#2008#203756#0.719352937
Lilly, George C.#CO#1#REP#2008#67346#0.237762534
Buchanan, Martin L.#CO#1#LIB#2008#12136#0.042845694
Swing, Gary#CO#1#WRI#2008#11#3.88E-05
Polis, Jared#CO#2#DEM#2008#215602#0.625971175
Starin, Scott#CO#2#REP#2008#116619#0.338587455
Calhoun, J. A.#CO#2#GRE#2008#10031#0.029123648
"""Hammons, William Robert """"Bill"""""""#CO#2#OTHER#2008#2176#0.006317721
Salazar, John T.#CO#3#DEM#2008#203457#0.616127479
Wolf, Wayne#CO#3#REP#2008#126762#0.383872521
Markey, Betsy#CO#4#DEM#2008#187348#0.561968696
Musgrave, Marilyn N.#CO#4#REP#2008#146030#0.438031304
Bidlack, Hal#CO#5#DEM#2008#113027#0.370404234
Lamborn, Doug#CO#5#REP#2008#183179#0.600301496
Scott, Brian X.#CO#5#OTHER#2008#8894#0.029146799
Hand, Rich#CO#5#WRI#2008#45#0.000147471
Coffman, Mike#CO#6#REP#2008#250877#0.606689431
Eng, Hank#CO#6#DEM#2008#162641#0.393310569
Perlmutter, Ed#CO#7#DEM#2008#173937#0.634820471
Lerew, John W.#CO#7#REP#2008#100057#0.365179529
Larson, John B.#CT#1#OTHER#2008#211493#0.715574322
Visconti, Joe#CT#1#REP#2008#76860#0.260051361
Fournier, Stephen E.D.#CT#1#GRE#2008#7201#0.024364167
Coleman, Matthew#CT#1#WRI#2008#3#1.02E-05
Courtney, Joe#CT#2#OTHER#2008#212148#0.656721593
Sullivan, Sean#CT#2#REP#2008#104574#0.323717423
Deshefy, G. Scott#CT#2#GRE#2008#6300#0.019502168
Vachon, Todd#CT#2#WRI#2008#19#5.88E-05
DeLauro, Rosa L.#CT#3#OTHER#2008#230172#0.77403083
Itshaky, Bo#CT#3#REP#2008#58583#0.197005058
Ferrucci, Ralph A.#CT#3#GRE#2008#8613#0.028964112
Himes, Jim#CT#4#OTHER#2008#158475#0.513236132
Shays, Christopher#CT#4#REP#2008#146854#0.475600435
Carrano, Michael Anthony#CT#4#LIB#2008#2049#0.006635878
Duffee, Richard Z.#CT#4#GRE#2008#1388#0.004495168
Flanagan, Eugene#CT#4#WRI#2008#10#3.24E-05
Murphy, Chris#CT#5#OTHER#2008#179327#0.592509012
Cappiello, David J.#CT#5#REP#2008#117914#0.389596143
Winn, Thomas L.#CT#5#IND#2008#3082#0.010183145
Burbank, Harold H., II#CT#5#GRE#2008#2324#0.007678659
Gengarelly, Walter#CT#5#WRI#2008#10#3.30E-05
Castle, Michael N.#DE#0#REP#2008#235437#0.610799648
Hartley-Nagle, Karen#DE#0#DEM#2008#146434#0.379897109
Parks, Mark Anthony#DE#0#LIB#2008#3586#0.009303243
Miller, Jeff#FL#1#REP#2008#232559#0.701840317
Bryan, James Jim#FL#1#DEM#2008#98797#0.298159683
Boyd, Allen#FL#2#DEM#2008#216804#0.618791153
Mulligan, Mark#FL#2#REP#2008#133404#0.380755037
Ortiz, Robert#FL#2#WRI#2008#159#0.00045381
Brown, Corrine#FL#3#DEM#2008#1#1
Crenshaw, Ander#FL#4#REP#2008#224112#0.652546864
McGovern, Jay#FL#4#DEM#2008#119330#0.347453136
"""Brown-Waite, Virginia """"Ginny"""""""#FL#5#REP#2008#265186#0.611546196
Russell, John#FL#5#DEM#2008#168446#0.388453804
Stearns, Clifford B. (Cliff)#FL#6#REP#2008#228302#0.608875151
Cunha, Tim#FL#6#DEM#2008#146655#0.391124849
Mica, John L.#FL#7#REP#2008#238721#0.620033609
Armitage, Faye#FL#7#DEM#2008#146292#0.379966391
Grayson, Alan#FL#8#DEM#2008#172854#0.520105674
Keller, Ric#FL#8#REP#2008#159490#0.479894326
Bilirakis, Gus Michael#FL#9#REP#2008#216591#0.621712622
Mitchell, Bill#FL#9#DEM#2008#126346#0.362669285
Kalimnios, John (Johnny K.)#FL#9#NON#2008#3394#0.009742291
Emmons, Richard O.#FL#9#OTHER#2008#2042#0.005861449
Pasayan, Andrew#FL#9#WRI#2008#5#1.44E-05
Young, C. W. Bill#FL#10#REP#2008#182781#0.606802337
Hackworth, Bob#FL#10#DEM#2008#118430#0.393167784
Callahan, Don#FL#10#WRI#2008#9#2.99E-05
Castor, Kathy#FL#11#DEM#2008#184106#0.716558142
Adams, Eddie, Jr.#FL#11#REP#2008#72825#0.283441858
Putnam, Adam H.#FL#12#REP#2008#185698#0.574626427
Tudor, Doug#FL#12#DEM#2008#137465#0.425373573
Buchanan, Vern#FL#13#REP#2008#204382#0.555391906
Jennings, Christine#FL#13#DEM#2008#137967#0.374914401
Schneider, Jan#FL#13#NON#2008#20289#0.055133751
Baldauf, Don#FL#13#NON#2008#5358#0.014559941
Mack, Connie#FL#14#REP#2008#224602#0.594356574
Neeld, Robert M.#FL#14#DEM#2008#93590#0.247664009
Saunders, Burt#FL#14#NON#2008#54750#0.144883048
George, Jeff#FL#14#NON#2008#4949#0.013096369
Posey, Bill#FL#15#REP#2008#192151#0.530993089
Blythe, Stephen#FL#15#DEM#2008#151951#0.419903778
Zilaitis, Frank#FL#15#NON#2008#14274#0.039444996
Lowing, Trevor#FL#15#NON#2008#3495#0.009658138
Rooney, Tom#FL#16#REP#2008#209874#0.600932864
Mahoney, Tim#FL#16#DEM#2008#139373#0.399067136
Meek, Kendrick B.#FL#17#DEM#2008#1#1
Ros-Lehtinen, Ileana#FL#18#REP#2008#140617#0.578696978
Taddeo, Annette#FL#18#DEM#2008#102372#0.421303022
Wexler, Robert#FL#19#DEM#2008#202465#0.661572495
Lynch, Edward J.#FL#19#REP#2008#83357#0.272376452
Graber, Ben#FL#19#NON#2008#20214#0.066051053
Schultz, Debbie Wasserman#FL#20#DEM#2008#202832#0.774762318
Hostetter, Margaret#FL#20#NON#2008#58958#0.225203305
Luzietti, Marc#FL#20#WRI#2008#9#3.44E-05
Diaz-Balart, Lincoln#FL#21#REP#2008#137226#0.579007772
Martinez, Raul L.#FL#21#DEM#2008#99776#0.420992228
Klein, Ron#FL#22#DEM#2008#169041#0.54679105
West, Allen#FL#22#REP#2008#140104#0.453189542
Blass, Piotr#FL#22#WRI#2008#6#1.94E-05
Hastings, Alcee L.#FL#23#DEM#2008#172835#0.821826291
Thorpe, Marion D., Jr.#FL#23#REP#2008#37431#0.17798351
Cook, April#FL#23#WRI#2008#40#0.000190199
Kosmas, Suzanne M.#FL#24#DEM#2008#211284#0.572011804
Feeney, Tom#FL#24#REP#2008#151863#0.411140591
Bhola, Gaurav#FL#24#NON#2008#6223#0.016847605
Diaz-Balart, Mario#FL#25#REP#2008#130891#0.530543835
Garcia, Joe#FL#25#DEM#2008#115820#0.469456165
Kingston, Jack#GA#1#REP#2008#165890#0.665332446
Gillespie, Bill#GA#1#DEM#2008#83444#0.334667554
Bishop, Sanford#GA#2#DEM#2008#158435#0.689489351
Ferrell, Lee#GA#2#REP#2008#71351#0.310510649
Westmoreland, Lynn#GA#3#REP#2008#225055#0.656941444
Camp, Stephen#GA#3#DEM#2008#117522#0.343049799
VanPelt, Loretta#GA#3#WRI#2008#3#8.76E-06
"""Johnson, Henry C. """"Hank,"""" Jr."""#GA#4#DEM#2008#224494#0.999109901
Collins, Loren Christopher#GA#4#WRI#2008#159#0.000707629
Coffield, Faye#GA#4#WRI#2008#35#0.000155767
Perasso, Jacob#GA#4#WRI#2008#6#2.67E-05
Lewis, John#GA#5#DEM#2008#231368#0.999542065
Kash, Shira#GA#5#WRI#2008#81#0.000349931
Fitzmaurice, Jeanne#GA#5#WRI#2008#25#0.000108003
Price, Tom#GA#6#REP#2008#231520#0.68482656
Jones, Bill#GA#6#DEM#2008#106551#0.31517344
Linder, John#GA#7#REP#2008#209354#0.620284256
Heckman, Doug#GA#7#DEM#2008#128159#0.379715744
Marshall, Jim#GA#8#DEM#2008#157241#0.572436992
Goddard, Rick#GA#8#REP#2008#117446#0.427563008
Deal, Nathan#GA#9#REP#2008#217493#0.755105371
Scott, Jeff#GA#9#DEM#2008#70537#0.244894629
Broun, Paul#GA#10#REP#2008#177265#0.607273649
Saxon, Bobby#GA#10#DEM#2008#114638#0.392726351
Gingrey, Phil#GA#11#REP#2008#204082#0.681859794
"""Gammon, Hugh """"Bud"""""""#GA#11#DEM#2008#95220#0.318140206
Barrow, John#GA#12#DEM#2008#164562#0.66000361
Stone, John#GA#12#REP#2008#84773#0.33999639
Scott, David#GA#13#DEM#2008#205919#0.690449606
Honeycutt, Deborah#GA#13#REP#2008#92320#0.309550394
Abercrombie, Neil#HI#1#DEM#2008#154208#0.771360114
Tataii, Steve#HI#1#REP#2008#38115#0.190654121
Zhao, Li#HI#1#LIB#2008#7594#0.037985764
Hirono, Mazie#HI#2#DEM#2008#165748#0.760611985
Evans, Roger B.#HI#2#REP#2008#44425#0.203864827
Stenshol, Shaun#HI#2#IND#2008#4042#0.018548602
Mallan, Lloyd J. (Jeff)#HI#2#LIB#2008#3699#0.016974586
Minnick, Walt#ID#1#DEM#2008#175898#0.506057511
Sali, Bill#ID#1#REP#2008#171687#0.493942489
Simpson, Mike#ID#2#REP#2008#205777#0.708923164
Holmes, Deborah#ID#2#DEM#2008#83878#0.288968433
Nemitz, Gregory#ID#2#WRI#2008#612#0.002108404
Rush, Bobby L.#IL#1#DEM#2008#233036#0.858653559
Members, Antoine#IL#1#REP#2008#38361#0.141346441
Jackson, Jesse L., Jr.#IL#2#DEM#2008#251052#0.894136251
Williams, Anthony W.#IL#2#REP#2008#29721#0.105853064
Peoples, Nathan#IL#2#WRI#2008#3#1.07E-05
Lipinski, Daniel William#IL#3#DEM#2008#172581#0.73275335
Hawkins, Michael#IL#3#REP#2008#50336#0.213719196
Pohlen, Jerome#IL#3#GRE#2008#12607#0.053527454
Gutierrez, Luis V.#IL#4#DEM#2008#112529#0.806047018
Cunningham, Daniel#IL#4#REP#2008#16024#0.114780167
López, Omar N.#IL#4#GRE#2008#11053#0.079172815
Emanuel, Rahm#IL#5#DEM#2008#170728#0.739427958
Hanson, Tom#IL#5#REP#2008#50881#0.220367098
Augustson, Alan#IL#5#GRE#2008#9283#0.040204944
Roskam, Peter J.#IL#6#REP#2008#147906#0.575704616
Morgenthaler, Jill#IL#6#DEM#2008#109007#0.424295384
Davis, Danny K.#IL#7#DEM#2008#235343#0.850175387
Miller, Steve#IL#7#REP#2008#41474#0.149824613
Bean, Melissa#IL#8#DEM#2008#179444#0.607204128
Greenberg, Steve#IL#8#REP#2008#116081#0.392795872
Schakowsky, Janice D.#IL#9#DEM#2008#181948#0.746624866
Younan, Michael Benjamin#IL#9#REP#2008#53593#0.219919243
Shanfield, Morris#IL#9#GRE#2008#8140#0.033402546
Atanus, Susanne#IL#9#WRI#2008#13#5.33E-05
Kirk, Mark Steven#IL#10#REP#2008#153082#0.525588997
Seals, Daniel J.#IL#10#DEM#2008#138176#0.474411003
"""Halvorson, Deborah """"Debbie"""""""#IL#11#DEM#2008#185652#0.584004152
Ozinga, Marty#IL#11#REP#2008#109608#0.344793092
Wallace, Jason M.#IL#11#GRE#2008#22635#0.071202756
Costello, Jerry F.#IL#12#DEM#2008#212891#0.713965679
Richardson, Timmy Jay, Jr.#IL#12#REP#2008#74382#0.249452514
Jennings, Rodger W.#IL#12#GRE#2008#10907#0.036578454
Wiegand, Harold#IL#12#WRI#2008#1#3.35E-06
Biggert, Judy#IL#13#REP#2008#180888#0.53553443
Harper, Scott#IL#13#DEM#2008#147430#0.436479153
Alesch, Steve#IL#13#GRE#2008#9402#0.027835427
Knapp, Theodore#IL#13#WRI#2008#51#0.00015099
Foster, Bill#IL#14#DEM#2008#185404#0.577480011
Oberweis, Jim#IL#14#REP#2008#135653#0.422519989
Johnson, Timothy V.#IL#15#REP#2008#187121#0.6418937
Cox, Steve#IL#15#DEM#2008#104393#0.3581063
Manzullo, Donald A.#IL#16#REP#2008#190039#0.608670168
Abboud, Robert G.#IL#16#DEM#2008#112648#0.360796874
Summers, Scott#IL#16#GRE#2008#9533#0.030532958
Hare, Phil#IL#17#DEM#2008#220961#0.997665682
Lioen, Mark Edward#IL#17#WRI#2008#517#0.002334318
Schock, Aaron#IL#18#REP#2008#182589#0.588829623
Callahan, Colleen#IL#18#DEM#2008#117642#0.379382627
Schafer, Sheldon#IL#18#GRE#2008#9857#0.031787751
Shimkus, John M.#IL#19#REP#2008#203434#0.644616891
Davis, Daniel#IL#19#DEM#2008#105338#0.333782229
Dennis, Troy#IL#19#GRE#2008#6817#0.02160088
Visclosky, Peter J.#IN#1#DEM#2008#199954#0.709001425
Leyva, Mark#IN#1#REP#2008#76647#0.27177667
Duensing, Jeff#IN#1#LIB#2008#5421#0.019221905
Donnelly, Joe#IN#2#DEM#2008#187416#0.670909911
Puckett, Luke#IN#2#REP#2008#84455#0.302331159
Vogel, Mark#IN#2#LIB#2008#7475#0.02675893
Souder, Mark Edward#IN#3#REP#2008#155693#0.550387268
Montagano, Michael A. (Mike)#IN#3#DEM#2008#112309#0.397021341
Larsen, William R.#IN#3#LIB#2008#14877#0.052591391
Buyer, Steve#IN#4#REP#2008#192526#0.598717518
Ackerson, Nels#IN#4#DEM#2008#129038#0.401282482
Burton, Dan#IN#5#REP#2008#234705#0.655487039
Ruley, Mary Etta#IN#5#DEM#2008#123357#0.344512961
Pence, Mike#IN#6#REP#2008#180608#0.639519567
Welsh, Barry A.#IN#6#DEM#2008#94265#0.333785392
Holland, George T.#IN#6#LIB#2008#7539#0.026695041
Carson, Andre D.#IN#7#DEM#2008#172650#0.650775163
Campo, Gabrielle#IN#7#REP#2008#92645#0.34920976
Suits, Delbert#IN#7#WRI#2008#4#1.51E-05
Ellsworth, Brad#IN#8#DEM#2008#188693#0.64740172
Goode, Greg#IN#8#REP#2008#102769#0.35259828
Hill, Baron P.#IN#9#DEM#2008#181281#0.577688621
Sodrel, Mike#IN#9#REP#2008#120529#0.384090069
Schansberg, D. Eric#IN#9#LIB#2008#11994#0.03822131
Braley, Bruce#IA#1#DEM#2008#186991#0.646066406
Hartusch, David#IA#1#REP#2008#102439#0.353933594
Loebsack, Dave#IA#2#DEM#2008#175218#0.572426388
Miller-Meeks, Mariannette#IA#2#REP#2008#118778#0.388040392
Barth, Wendy#IA#2#GRE#2008#6664#0.021770877
White, Brian#IA#2#OTHER#2008#5437#0.017762343
Boswell, Leonard L.#IA#3#DEM#2008#176904#0.564036998
Schmett, Kim#IA#3#REP#2008#132136#0.421299647
Forrestal, Frank V.#IA#3#OTHER#2008#4599#0.014663355
Latham, Tom#IA#4#REP#2008#185458#0.605668117
Greenwald, Becky#IA#4#DEM#2008#120746#0.394331883
King, Steve#IA#5#REP#2008#159430#0.598377853
Hubler, Rob#IA#5#DEM#2008#99601#0.373825707
Vara, Victor#IA#5#IND#2008#7406#0.02779644
Moran, Jerry#KS#1#REP#2008#214549#0.818804932
Bordonaro, James#KS#1#DEM#2008#34771#0.132700065
Burton, Kathleen M.#KS#1#OTHER#2008#7145#0.027268182
Warner, Jack#KS#1#LIB#2008#5562#0.02122682
Jenkins, Lynn#KS#2#REP#2008#155532#0.506111133
Boyda, Nancy E.#KS#2#DEM#2008#142013#0.462119437
Martin, Leslie S.#KS#2#OTHER#2008#5080#0.016530647
Garrard, Robert#KS#2#LIB#2008#4683#0.015238783
Moore, Dennis#KS#3#DEM#2008#202541#0.564404305
Jordan, Nick#KS#3#REP#2008#142307#0.396555183
Bellis, Joe#KS#3#LIB#2008#10073#0.028069599
Tucker, Roger D.#KS#3#OTHER#2008#3937#0.010970913
Tiahrt, Todd#KS#4#REP#2008#177617#0.634099583
Betts, Donald, Jr.#KS#4#DEM#2008#90706#0.32382394
Ducey, Susan G.#KS#4#OTHER#2008#6441#0.02299462
