Bonner, Jo#AL#1#REP#2006#112944#
Smith, James R.#CA#36#OTHER#2006#4592#
Binkley, Mike#CA#36#LIB#2006#3170#[0.633891654077868, 0.31939236727594444, 0.02763717778192389, 0.01907880086426366]
Millender-McDonald, Juanita#CA#37#DEM#2006#80716#
Peters, Herb#CA#37#LIB#2006#17246#[0.823952144709173, 0.17604785529082706]
Napolitano, Grace F.#CA#38#DEM#2006#75181#
Street, Sidney W.#CA#38#REP#2006#24620#[0.7533090850793078, 0.24669091492069217]
Sanchez, Linda T.#CA#39#DEM#2006#72149#
Andion, James L.#CA#39#REP#2006#37384#[0.6586964659052523, 0.34130353409474773]
Royce, Ed#CA#40#REP#2006#100995#
Hoffman, Florice Orea#CA#40#DEM#2006#46418#
Inman, Philip H.#CA#40#LIB#2006#3876#[0.6675634051385098, 0.30681675468804737, 0.02561984017344288]
Lewis, Jerry#CA#41#REP#2006#109761#
Contreras, Louie A.#CA#41#DEM#2006#54235#
Petersen, Carol#CA#41#WRI#2006#48#[0.6690948769842238, 0.33061251859257273, 0.0002926044232035308]
Miller, Gary G.#CA#42#REP#2006#129720#[1.0]
Baca, Joe#CA#43#DEM#2006#52791#
Folkens, Scott#CA#43#REP#2006#29069#[0.6448937209870511, 0.35510627901294894]
Calvert, Ken#CA#44#REP#2006#89555#
Vandenberg, Louis#CA#44#DEM#2006#55275#
Akin, Kevin#CA#44#OTHER#2006#4486#[0.5997682766749712, 0.3701880575423933, 0.030043665782635485]
Bono, Mary#CA#45#REP#2006#99638#
Roth, David#CA#45#DEM#2006#64613#[0.606620355431626, 0.393379644568374]
Rohrabacher, Dana#CA#46#REP#2006#116176#
Brandt, Jim#CA#46#DEM#2006#71573#
Chang, Dennis#CA#46#LIB#2006#7303#[0.5956155281668478, 0.3669431741279249, 0.037441297705227326]
Sanchez, Loretta#CA#47#DEM#2006#47134#
Nguyen, Tan#CA#47#REP#2006#28485#[0.6233089567436755, 0.37669104325632446]
Campbell, John#CA#48#REP#2006#120130#
Young, Steve#CA#48#DEM#2006#74647#
Cohen, Bruce#CA#48#LIB#2006#5750#[0.5990714467378457, 0.3722541104190458, 0.02867444284310841]
Issa, Darrell#CA#49#REP#2006#98831#
Criscenzo, Jeeni#CA#49#DEM#2006#52227#
Grossmith, Lars R.#CA#49#LIB#2006#4952#
Ford, Frank#CA#49#WRI#2006#127#[0.6329761683649615, 0.3344947065717927, 0.03171573682086885, 0.000813388242376887]
Bilbray, Brian P.#CA#50#REP#2006#118018#
Busby, Francine#CA#50#DEM#2006#96612#
King, Paul#CA#50#LIB#2006#4119#
Clark, Miriam E.#CA#50#OTHER#2006#3353#[0.5313684703424553, 0.43498932922711186, 0.018545533133425184, 0.015096667297007682]
Filner, Bob#CA#51#DEM#2006#78114#
Miles, Blake L.#CA#51#REP#2006#34931#
Litwin, Dan#CA#51#LIB#2006#2790#
Arguello, David#CA#51#WRI#2006#4#[0.6743324786988838, 0.30154783794749607, 0.024085152668790303, 3.4530684829806886e-05]
Hunter, Duncan#CA#52#REP#2006#123696#
Rinaldi, John#CA#52#DEM#2006#61208#
Benoit, Michael#CA#52#LIB#2006#6465#[0.6463742821460111, 0.31984281675715504, 0.033782901096833864]
Davis, Susan A.#CA#53#DEM#2006#97541#
"""""""""""""""Woodrum, John """"""""""""""""Woody"""""""""""""""""""""""""""""""#CA#53#REP#2006#43312#
Lippe, Ernie#CA#53#LIB#2006#3534#[0.6755525081897955, 0.29997160409178114, 0.024475887718423402]
DeGette, Diana L.#CO#1#DEM#2006#129446#
Kelly, Thomas D.#CO#1#GRE#2006#32825#[0.7977149336603583, 0.20228506633964172]
Udall, Mark#CO#2#DEM#2006#157850#
Mancuso, Rich#CO#2#REP#2006#65481#
Olsen, Norm#CO#2#LIB#2006#5025#
Calhoun, J.A.#CO#2#GRE#2006#2951#[0.6824263857124947, 0.28309130290047424, 0.021724374964873523, 0.012757936422157565]
Salazar, John#CO#3#DEM#2006#146488#
Tipton, Scott#CO#3#REP#2006#86930#
Sargent, Bert L.#CO#3#LIB#2006#4417#
Lohmiller, Bruce E.#CO#3#WRI#2006#23#[0.6158632461384523, 0.36547015446190584, 0.018569903051400414, 9.669634824138772e-05]
Musgrave, Marilyn N.#CO#4#REP#2006#109732#
Paccione, Angie#CO#4#DEM#2006#103748#
Eidsness, Eric#CO#4#OTHER#2006#27133#[0.45605183427329365, 0.4311820225839834, 0.11276614314272296]
Lamborn, Doug#CO#5#REP#2006#123264#
Fawcett, Jay#CO#5#DEM#2006#83431#
Hand, Richard D.#CO#5#WRI#2006#41#
Scott, Brian X.#CO#5#WRI#2006#12#
Hollister, Gregory S.#CO#5#WRI#2006#8#[0.5961810056298246, 0.4035239606105748, 0.00019830137940374162, 5.8039428118168274e-05, 3.869295207877885e-05]
Tancredo, Tom#CO#6#REP#2006#158806#
Winter, Bill#CO#6#DEM#2006#108007#
Woehr, Jack J.#CO#6#LIB#2006#4093#
Botero, Juan B.#CO#6#WRI#2006#25#[0.5861492409506479, 0.39865131712502444, 0.015107167507594185, 9.227441673341182e-05]
Perlmutter, Ed#CO#7#DEM#2006#103918#
O'Donnell, Rick#CO#7#REP#2006#79571#
Chandler, Dave#CO#7#GRE#2006#3073#
McCarville, Roger#CO#7#OTHER#2006#2605#
Heckman, John#CO#7#WRI#2006#2#
Moore, Steve#CO#7#WRI#2006#2#
Sexton, John David#CO#7#WRI#2006#1#[0.5493307677668999, 0.42062778846763793, 0.01624447592666991, 0.013770536865920962, 1.0572389148499777e-05, 1.0572389148499777e-05, 5.286194574249889e-06]
Larson, John B.#CT#1#DEM#2006#154539#
MacLean, Scott#CT#1#REP#2006#53010#
Masullo, Miriam J.#CT#1#WRI#2006#43#[0.7444362017804155, 0.2553566611430113, 0.00020713707657327835]
Courtney, Joe#CT#2#DEM#2006#121248#
Simmons, Rob#CT#2#REP#2006#121165#[0.5001711954391885, 0.4998288045608115]
DeLauro, Rosa L.#CT#3#DEM#2006#150436#
Vollano, Joseph#CT#3#REP#2006#44386#
Sumrall, Daniel A.#CT#3#GRE#2006#3089#[0.7601194476305005, 0.22427252653970725, 0.015608025829792179]
Shays, Christopher#CT#4#REP#2006#106510#
Farrell, Diane#CT#4#DEM#2006#99450#
Maymin, Philip Z.#CT#4#LIB#2006#3058#
Vacancy in Nomination#CT#4#GRE#2006#1#[0.509570900253087, 0.475794066568111, 0.014630248924738899, 4.784254063027763e-06]
Murphy, Chris#CT#5#OTHER#2006#122980#
Johnson, Nancy L.#CT#5#REP#2006#94824#[0.5646360948375604, 0.4353639051624396]
Castle, Michael N.#DE#0#REP#2006#143897#
Spivack, Dennis#DE#0#DEM#2006#97565#
Hartley-Nagle, Karen M.#DE#0#OTHER#2006#5769#
Berg, Michael#DE#0#GRE#2006#4463#[0.5717140654922247, 0.38763339610797237, 0.022920689408567545, 0.01773184899123539]
Miller, Jeff#FL#1#REP#2006#135786#
Roberts, Joe#FL#1#DEM#2006#62340#[0.685351745858696, 0.31464825414130404]
Boyd, Allen#FL#2#DEM#2006#1#[1.0]
Brown, Corrine#FL#3#DEM#2006#1#[1.0]
Crenshaw, Ander#FL#4#REP#2006#141759#
Harms, Robert J.#FL#4#DEM#2006#61704#
Blade, John#FL#4#WRI#2006#16#[0.6966763154920164, 0.3032450523149809, 7.863219300271772e-05]
"""""""""""""""Brown-Waite, Virginia """"""""""""""""Ginny"""""""""""""""""""""""""""""""#FL#5#REP#2006#162421#
Russell, John T.#FL#5#DEM#2006#108959#[0.5985002579408947, 0.4014997420591053]
Stearns, Clifford (Cliff) B.#FL#6#REP#2006#136601#
Bruderly, David E.#FL#6#DEM#2006#91528#[0.5987884048060527, 0.4012115951939473]
Mica, John L.#FL#7#REP#2006#149656#
Chagnon, John F.#FL#7#DEM#2006#87584#[0.6308211094250548, 0.3691788905749452]
Keller, Ric#FL#8#REP#2006#95258#
Stuart, Charlie#FL#8#DEM#2006#82526#
Hoaglund, Wes#FL#8#IND#2006#2640#
Mauro, D.J.#FL#8#WRI#2006#17#
Sapp, Larry#FL#8#WRI#2006#3#[0.5279089357362949, 0.45734964864445476, 0.014630577907827359, 9.421205470949435e-05, 1.662565671344018e-05]
Bilirakis, Gus Michael#FL#9#REP#2006#123016#
Busansky, Phyllis#FL#9#DEM#2006#96978#
Pasayan, Andrew#FL#9#WRI#2006#19#[0.5591305968283692, 0.4407830446382714, 8.63585333593924e-05]
Young, C.W. Bill#FL#10#REP#2006#131488#
Simpson, Samm#FL#10#DEM#2006#67950#
Fiorella, Salvatore A.#FL#10#WRI#2006#7#[0.6592694727869839, 0.34069542981774426, 3.509739527187946e-05]
Castor, Kathy#FL#11#DEM#2006#97470#
Adams, Eddie , Jr.#FL#11#REP#2006#42454#
Greenwald, Jim#FL#11#WRI#2006#13#
Spencer, R. J.#FL#11#WRI#2006#5#[0.6965028368895685, 0.3033685383944777, 9.289562818882108e-05, 3.572908776493118e-05]
Putnam, Adam H.#FL#12#REP#2006#124452#
Viscusi, Joe#FL#12#IND#2006#34976#
Bowlin, Ed#FL#12#IND#2006#20636#[0.6911542562644393, 0.19424204727208103, 0.11460369646347965]
Buchanan, Vern#FL#13#REP#2006#119309#
Jennings, Christine#FL#13#DEM#2006#118940#[0.5007743998925493, 0.4992256001074506]
Mack, Connie#FL#14#REP#2006#151615#
Neeld, Robert M.#FL#14#DEM#2006#83920#
Grayson, Richard#FL#14#WRI#2006#3#
Dan#FL#14#WRI#2006#1#[0.6436938256509538, 0.35628919202340165, 1.2736744233439048e-05, 4.24558141114635e-06]
Weldon, Dave#FL#15#REP#2006#125965#
Bowman, Bob#FL#15#DEM#2006#97834#[0.5628488062949343, 0.4371511937050657]
Mahoney, Tim#FL#16#DEM#2006#115832#
Negron, Joe#FL#16#REP#2006#111415#
Ross, Emmie#FL#16#IND#2006#6526#[0.49548921389553113, 0.4765948163389271, 0.027915969765541785]
Meek, Kendrick B.#FL#17#DEM#2006#90663#
Simpson, Eric#FL#17#WRI#2006#23#[0.9997463776106565, 0.0002536223893434488]
Ros-Lehtinen, Ileana#FL#18#REP#2006#79631#
"""""""""""""""Patlak, David """"""""""""""""Big Dave"""""""""""""""""""""""""""""""#FL#18#DEM#2006#48499#
Trowe, Margaret#FL#18#WRI#2006#2#[0.6214762900758593, 0.3785081010208223, 1.5608903318452845e-05]
Wexler, Robert#FL#19#DEM#2006#1#[1.0]
Wasserman Schultz, Debbie#FL#20#DEM#2006#1#[1.0]
Diaz-Balart, Lincoln#FL#21#REP#2006#66784#
Gonzalez, Frank J.#FL#21#DEM#2006#45522#[0.5946610154399586, 0.4053389845600413]
Klein, Ron#FL#22#DEM#2006#108688#
Shaw, E. Clay#FL#22#REP#2006#100663#
Evangelista, Neil#FL#22#IND#2006#4254#[0.5088270405655299, 0.47125769527866856, 0.019915264155801596]
Hastings, Alcee L.#FL#23#DEM#2006#1#[1.0]
Feeney, Tom#FL#24#REP#2006#123795#
Curtis, Clint#FL#24#DEM#2006#89863#[0.5794072770502392, 0.42059272294976086]
Diaz-Balart, Mario#FL#25#REP#2006#60765#
Calderin, Michael#FL#25#DEM#2006#43168#[0.5846554992158409, 0.415344500784159]
Kingston, Jack#GA#1#REP#2006#94961#
Nelson, Jim#GA#1#DEM#2006#43668#[0.6850009738222161, 0.31499902617778386]
Bishop, Sanford#GA#2#DEM#2006#88662#
Hughes, Bradley C.#GA#2#REP#2006#41967#[0.6787313689915716, 0.32126863100842845]
Westmoreland, Lynn#GA#3#REP#2006#130428#
McGraw, Mike#GA#3#DEM#2006#62371#[0.676497284736954, 0.32350271526304597]
"""""""""""""""Johnson, Henry C. """"""""""""""""Hank,"""""""""""""""" Jr."""""""""""""""#GA#4#DEM#2006#106352#
Davis, Catherine#GA#4#REP#2006#34778#
Collins, Loren#GA#4#WRI#2006#64#[0.7532331402184229, 0.24631358273014434, 0.00045327705143278043]
Lewis, John#GA#5#DEM#2006#122380#
Garcia, Eleanor#GA#5#WRI#2006#48#[0.9996079328258242, 0.0003920671741758421]
Price, Tom#GA#6#REP#2006#144958#
Sinton, Steve#GA#6#DEM#2006#55294#[0.723877913828576, 0.27612208617142403]
Linder, John#GA#7#REP#2006#130561#
Burns, Allan#GA#7#DEM#2006#53553#[0.7091312990864356, 0.2908687009135644]
Marshall, Jim#GA#8#DEM#2006#80660#
Collins, Mac#GA#8#REP#2006#78908#[0.5054898225208062, 0.49451017747919385]
Deal, Nathan#GA#9#REP#2006#128685#
Bradbury, John D.#GA#9#DEM#2006#39240#
Brown, Brian Russell#GA#9#WRI#2006#1#[0.7663196884341913, 0.2336743565618189, 5.955003989852673e-06]
Norwood, Charlie#GA#10#REP#2006#117721#
Holley, Terry#GA#10#DEM#2006#57032#[0.6736422264567704, 0.3263577735432296]
Gingrey, Phil#GA#11#REP#2006#118524#
Pillion, Patrick Samuel#GA#11#DEM#2006#48261#
Satterwhite, William#GA#11#WRI#2006#3#[0.7106266637887618, 0.28935534930570544, 1.7986905532772142e-05]
Barrow, John#GA#12#DEM#2006#71651#
Burns, Max#GA#12#REP#2006#70787#[0.5030328985242702, 0.4969671014757298]
Scott, David#GA#13#DEM#2006#103019#
Honeycutt, Deborah Travis#GA#13#REP#2006#45770#[0.6923831734872874, 0.30761682651271266]
Abercrombie, Neil#HI#1#DEM#2006#112904#
Hough, Richard (Noah)#HI#1#REP#2006#49890#[0.6935390739216433, 0.3064609260783567]
Hirono, Mazie K.#HI#2#DEM#2006#106906#
Hogue, Bob#HI#2#REP#2006#68244#[0.6103682557807594, 0.3896317442192406]
Sali, Bill#ID#1#REP#2006#115843#
Grant, Larry#ID#1#DEM#2006#103935#
Olson, Dave#ID#1#IND#2006#6857#
Hedden-Nicely, Andy#ID#1#OTHER#2006#2882#
Smith, Paul#ID#1#OTHER#2006#2457#[0.49937924077698365, 0.4480459016958797, 0.029559347168217127, 0.012423806116202678, 0.010591704242716856]
Simpson, Mike#ID#2#REP#2006#132262#
Hansen, Jim#ID#2#DEM#2006#73441#
Forth, Cameron#ID#2#IND#2006#5113#
Hedrick, Travis J.#ID#2#OTHER#2006#2516#[0.6199819998874992, 0.3442568391052444, 0.0239673372958581, 0.011793823711398196]
Rush, Bobby L.#IL#1#DEM#2006#146623#
Tabour, Jason E.#IL#1#REP#2006#27804#[0.8405980725461081, 0.1594019274538919]
Jackson, Jesse L., Jr.#IL#2#DEM#2006#146347#
Belin, Robert#IL#2#REP#2006#20395#
Williams, Anthony W.#IL#2#LIB#2006#5748#[0.8484375905849615, 0.1182387384775929, 0.03332367093744565]
Lipinski, Daniel William#IL#3#DEM#2006#127768#
Wardingley, Raymond G.#IL#3#REP#2006#37954#[0.7709779027528029, 0.2290220972471971]
Gutierrez, Luis V.#IL#4#DEM#2006#69910#
Melichar, Ann#IL#4#REP#2006#11532#[0.8584022985683063, 0.14159770143169373]
Emanuel, Rahm#IL#5#DEM#2006#114319#
White, Kevin Edward#IL#5#REP#2006#32250#
Houlihan, John#IL#5#WRI#2006#12#[0.7799032616778436, 0.2200148723231524, 8.186599900396368e-05]
Roskam, Peter J.#IL#6#REP#2006#91382#
Duckworth, L. Tammy#IL#6#DEM#2006#86572#
Beard, Patricia Elaine#IL#6#WRI#2006#3#[0.513506071691476, 0.4864770703035003, 1.6858005023685498e-05]
Davis, Danny K.#IL#7#DEM#2006#143071#
Hutchinson, Charles#IL#7#REP#2006#21939#
Seida, Lowell M.#IL#7#WRI#2006#1#[0.8670391670858306, 0.13295477271212222, 6.0602020471362515e-06]
Bean, Melissa#IL#8#DEM#2006#93355#
McSweeney, David#IL#8#REP#2006#80720#
Scheurer, Bill#IL#8#OTHER#2006#9312#
Farnick, Jonathan#IL#8#WRI#2006#7#[0.5090406447321069, 0.4401452610227161, 0.05077592505752642, 3.816918765063197e-05]
Schakowsky, Janice D.#IL#9#DEM#2006#122852#
Shannon, Michael P.#IL#9#REP#2006#41858#
Ribeiro, Simon M.#IL#9#OTHER#2006#3#[0.7458549112699059, 0.2541268752314632, 1.821349863095202e-05]
Kirk, Mark Steven#IL#10#REP#2006#107929#
Seals, Daniel J.#IL#10#DEM#2006#94278#
Brumfield, Arthur C.#IL#10#WRI#2006#1#[0.5337523737933217, 0.46624268080392467, 4.9454027536002535e-06]
"""""""""""""""Weller, Gerald C. """"""""""""""""Jerry"""""""""""""""""""""""""""""""#IL#11#REP#2006#109009#
Pavich, John#IL#11#DEM#2006#88846#
